z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.00538806,0.0933949,0.000229734,0.000998778,0.0495399,0.858709,0.00211226,0.00918314,0.172148,292.778,100000035,1
,0.15,0.00546707,0.0947645,0.000233103,0.00101342,0.0495399,0.858709,0.00211226,0.00918314,0.174672,309.882,100000035,1
,0.2,0.0056908,0.0986425,0.000242642,0.0010549,0.0495399,0.858709,0.00211226,0.00918314,0.181821,307.879,100000035,1
,0.25,0.00725934,0.0979836,0.000256468,0.00104862,0.0597004,0.805811,0.00210918,0.00862378,0.192462,306.526,100000035,1
,0.3,0.00652184,0.105735,0.000268452,0.00112154,0.0505158,0.818984,0.00207933,0.00868702,0.204347,303.809,100000035,1
,0.35,0.00669679,0.11488,0.000285942,0.00122314,0.049082,0.841978,0.00209572,0.00896461,0.215958,304.3,100000035,1
,0.4,0.00705464,0.12198,0.000301713,0.00130183,0.0492207,0.851062,0.00210507,0.00908292,0.226857,309.63,100000035,1
,0.45,0.00739553,0.128077,0.000316046,0.00136824,0.049346,0.854584,0.00210879,0.00912946,0.237215,311.7,100000035,1
,0.5,0.0077128,0.133632,0.000329403,0.00142819,0.0494119,0.856114,0.00211032,0.00914966,0.247061,307.997,100000035,1
,0.55,0.00799112,0.138478,0.000341161,0.00148027,0.0494465,0.85686,0.00211099,0.00915943,0.255798,307.556,100000035,1
,0.6,0.008195,0.142022,0.000349781,0.00151831,0.049466,0.857264,0.00211132,0.00916468,0.262221,305.724,100000035,1
,0.65,0.00828833,0.143646,0.000353706,0.00153576,0.0494782,0.857514,0.00211149,0.00916788,0.265141,305.88,100000035,1
,0.7,0.00824359,0.142875,0.000351754,0.00152756,0.0494867,0.857684,0.0021116,0.00917005,0.263665,302.77,100000035,1
,0.75,0.00806335,0.139754,0.000344028,0.00149424,0.0494933,0.857815,0.00211166,0.0091717,0.257866,308.751,100000035,1
,0.8,0.00777966,0.134839,0.000331895,0.00144172,0.0494989,0.857925,0.00211171,0.00917308,0.248766,305.767,100000035,1
