z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0464213,0.000242339,-0,-nan,-0.00256715,1.34016e-05,0,-nan,0.237628,0.00124052,-0,-nan,27.9005,26.1577,0.195353,-0.0108032,119.947,10000000,0
0.15,0.0459685,0.000239975,-0,-nan,-0.00429033,2.23973e-05,0,-nan,0.237628,0.00124052,-0,-nan,13.4601,12.7186,0.193448,-0.0180548,119.321,10000000,0
0.2,0.0463843,0.000242145,-0,-nan,-0.00660707,3.44917e-05,0,-nan,0.237628,0.00124052,-0,-nan,7.5318,7.0952,0.195197,-0.0278043,117.953,10000000,0
0.25,0.047607,0.000248528,-0,-nan,-0.00919625,4.80082e-05,0,-nan,0.237628,0.00124052,-0,-nan,4.54132,4.2214,0.200343,-0.0387002,118.491,10000000,0
0.3,0.0491982,0.000256835,-0,-nan,-0.0117901,6.15493e-05,0,-nan,0.237628,0.00124052,-0,-nan,2.86252,2.61228,0.207039,-0.0496159,118.145,10000000,0
0.35,0.0507736,0.00026506,-0,-nan,-0.0142778,7.45361e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.85835,1.66446,0.213669,-0.0600848,116.45,10000000,0
0.4,0.0521477,0.000272233,-0,-nan,-0.0166659,8.7003e-05,0,-nan,0.237628,0.00124051,-0,-nan,1.24093,1.09334,0.219451,-0.0701346,118.56,10000000,0
0.45,0.0533458,0.000278487,-0,-nan,-0.0189665,9.90126e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.851501,0.739513,0.224493,-0.0798159,117.005,10000000,0
0.5,0.0545298,0.000284667,-0,-nan,-0.0210728,0.000110008,0,-nan,0.237628,0.00124051,-0,-nan,0.599567,0.513144,0.229476,-0.0886799,119.216,10000000,0
0.55,0.0558658,0.000291641,-0,-nan,-0.0227376,0.000118699,0,-nan,0.237628,0.00124051,-0,-nan,0.431962,0.363263,0.235098,-0.0956856,118.773,10000000,0
0.6,0.05744,0.000299858,-0,-nan,-0.0236215,0.000123313,0,-nan,0.237628,0.00124051,-0,-nan,0.315884,0.259811,0.241722,-0.0994054,117.912,10000000,0
0.65,0.0591794,0.000308939,-0,-nan,-0.0234985,0.000122671,0,-nan,0.237628,0.00124051,-0,-nan,0.231447,0.185432,0.249042,-0.098888,117.874,10000000,0
0.7,0.0609818,0.000318347,-0,-nan,-0.0222168,0.00011598,0,-nan,0.237628,0.00124051,-0,-nan,0.167703,0.130513,0.256627,-0.0934939,118.295,10000000,0
0.75,0.0626914,0.000327272,-0,-nan,-0.0198751,0.000103755,0,-nan,0.237628,0.0012405,-0,-nan,0.117831,0.0890438,0.263822,-0.0836397,119.841,10000000,0
0.8,0.0641735,0.000335009,-0,-nan,-0.016792,8.76604e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.0780711,0.0574188,0.270059,-0.0706652,118.095,10000000,0
0.1,0.0581861,0.000303756,-0,-nan,0.000923299,4.82001e-06,-0,-nan,0.237628,0.00124052,-0,-nan,27.9005,26.1577,0.244862,0.00388549,119.938,10000000,0
0.15,0.0574732,0.000300034,-0,-nan,-0.000201336,1.05106e-06,0,-nan,0.237628,0.00124052,-0,-nan,13.4601,12.7186,0.241862,-0.000847275,116.691,10000000,0
0.2,0.0578435,0.000301967,-0,-nan,-0.00206108,1.07597e-05,0,-nan,0.237628,0.00124052,-0,-nan,7.5318,7.0952,0.243421,-0.00867358,119.575,10000000,0
0.25,0.0592422,0.000309269,-0,-nan,-0.00439726,2.29555e-05,0,-nan,0.237628,0.00124052,-0,-nan,4.54132,4.2214,0.249307,-0.0185048,118.701,10000000,0
0.3,0.0611262,0.000319104,-0,-nan,-0.00694555,3.62587e-05,0,-nan,0.237628,0.00124052,-0,-nan,2.86252,2.61228,0.257235,-0.0292287,120.616,10000000,0
0.35,0.0630078,0.000328927,-0,-nan,-0.00956432,4.99297e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.85835,1.66446,0.265153,-0.0402492,118.814,10000000,0
0.4,0.0646454,0.000337476,-0,-nan,-0.0122277,6.38335e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.24093,1.09334,0.272045,-0.0514572,118.732,10000000,0
0.45,0.0660695,0.00034491,-0,-nan,-0.0149313,7.79473e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.851501,0.739513,0.278038,-0.0628347,117.736,10000000,0
0.5,0.0674938,0.000352345,-0,-nan,-0.0175575,9.16571e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.599567,0.513144,0.284032,-0.0738866,118.863,10000000,0
0.55,0.0691459,0.000360969,-0,-nan,-0.0198271,0.000103505,0,-nan,0.237628,0.00124051,-0,-nan,0.431962,0.363263,0.290984,-0.0834378,119.842,10000000,0
0.6,0.0711526,0.000371444,-0,-nan,-0.0213292,0.000111347,0,-nan,0.237628,0.00124051,-0,-nan,0.315884,0.259811,0.299429,-0.0897591,119.98,10000000,0
0.65,0.0734263,0.000383313,-0,-nan,-0.0217387,0.000113484,0,-nan,0.237628,0.00124051,-0,-nan,0.231447,0.185432,0.308997,-0.091482,118.67,10000000,0
0.7,0.075835,0.000395887,-0,-nan,-0.0207944,0.000108555,0,-nan,0.237628,0.00124051,-0,-nan,0.167703,0.130513,0.319134,-0.0875084,118.052,10000000,0
0.75,0.0781652,0.000408051,-0,-nan,-0.0185173,9.66673e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.117831,0.0890438,0.32894,-0.0779258,119.889,10000000,0
0.8,0.0802233,0.000418795,-0,-nan,-0.0152071,7.93866e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.0780711,0.0574188,0.337601,-0.0639954,118.441,10000000,0
0.1,0.056819,0.000296619,-0,-nan,0.000694906,3.6277e-06,-0,-nan,0.237628,0.00124052,-0,-nan,27.9005,26.1577,0.239109,0.00292435,118.939,10000000,0
0.15,0.0561292,0.000293018,-0,-nan,-0.000482179,2.51718e-06,0,-nan,0.237628,0.00124052,-0,-nan,13.4601,12.7186,0.236206,-0.00202914,118.158,10000000,0
0.2,0.0564988,0.000294948,-0,-nan,-0.00240638,1.25623e-05,0,-nan,0.237628,0.00124052,-0,-nan,7.5318,7.0952,0.237762,-0.0101267,118.282,10000000,0
0.25,0.0578735,0.000302124,-0,-nan,-0.00481365,2.51293e-05,0,-nan,0.237628,0.00124052,-0,-nan,4.54132,4.2214,0.243547,-0.0202571,120.394,10000000,0
0.3,0.0597219,0.000311773,-0,-nan,-0.00743576,3.88178e-05,0,-nan,0.237628,0.00124052,-0,-nan,2.86252,2.61228,0.251325,-0.0312916,118.965,10000000,0
