z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0488868,0.000255209,-0,-nan,-0.0164723,8.59921e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.65212,1.42016,0.205728,-0.0693196,118.588,10000000,0
0.15,0.049045,0.000256035,-0,-nan,-0.0182493,9.52685e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.793168,0.694488,0.206394,-0.0767977,119.316,10000000,0
0.2,0.0499281,0.000260644,-0,-nan,-0.0211851,0.000110594,0,-nan,0.237628,0.00124051,-0,-nan,0.444944,0.386846,0.21011,-0.0891522,118.459,10000000,0
0.25,0.0513809,0.000268228,-0,-nan,-0.0249586,0.000130293,0,-nan,0.237628,0.00124051,-0,-nan,0.270759,0.228186,0.216224,-0.105032,117.146,10000000,0
0.3,0.0530147,0.000276756,-0,-nan,-0.0290953,0.000151888,0,-nan,0.237628,0.00124051,-0,-nan,0.172748,0.139444,0.2231,-0.12244,119.17,10000000,0
0.35,0.0545552,0.000284798,-0,-nan,-0.033254,0.000173598,0,-nan,0.237628,0.0012405,-0,-nan,0.113483,0.0876768,0.229583,-0.139941,117.308,10000000,0
0.4,0.0559075,0.000291858,-0,-nan,-0.0372884,0.000194659,0,-nan,0.237628,0.0012405,-0,-nan,0.0765458,0.0569011,0.235274,-0.156919,118.85,10000000,0
0.45,0.0571038,0.000298102,-0,-nan,-0.0411964,0.00021506,0,-nan,0.237628,0.0012405,-0,-nan,0.0529773,0.0380705,0.240308,-0.173365,118.61,10000000,0
0.5,0.0582121,0.000303888,-0,-nan,-0.0449766,0.000234794,0,-nan,0.237628,0.0012405,-0,-nan,0.0376223,0.0261181,0.244972,-0.189273,119.577,10000000,0
0.55,0.0592588,0.000309352,-0,-nan,-0.0485059,0.000253218,0,-nan,0.237628,0.0012405,-0,-nan,0.027376,0.0182308,0.249377,-0.204126,117.019,10000000,0
0.6,0.0602076,0.000314305,-0,-nan,-0.0515002,0.00026885,0,-nan,0.237628,0.0012405,-0,-nan,0.020264,0.0127992,0.25337,-0.216726,120.061,10000000,0
0.65,0.060982,0.000318348,-0,-nan,-0.053623,0.000279931,0,-nan,0.237628,0.0012405,-0,-nan,0.0150542,0.00892748,0.256628,-0.22566,116.624,10000000,0
0.7,0.0615252,0.000321183,-0,-nan,-0.0545317,0.000284675,0,-nan,0.237628,0.0012405,-0,-nan,0.0110694,0.00611706,0.258914,-0.229484,119.493,10000000,0
0.75,0.0618169,0.000322706,-0,-nan,-0.0540481,0.00028215,0,-nan,0.237628,0.0012405,-0,-nan,0.00788929,0.00405528,0.260142,-0.227449,117.776,10000000,0
0.8,0.0618847,0.00032306,-0,-nan,-0.0522532,0.00027278,0,-nan,0.237628,0.0012405,-0,-nan,0.00529414,0.00254296,0.260427,-0.219895,116.755,10000000,0
0.1,0.0730965,0.000381594,-0,-nan,-0.0129505,6.7607e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.65212,1.42016,0.307609,-0.0544991,118.276,10000000,0
0.15,0.0726455,0.000379239,-0,-nan,-0.0139504,7.28269e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.793168,0.694488,0.305711,-0.058707,117.416,10000000,0
0.2,0.0732682,0.000382489,-0,-nan,-0.0163311,8.52548e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.444944,0.386846,0.308332,-0.0687255,116.837,10000000,0
0.25,0.0748527,0.00039076,-0,-nan,-0.0198477,0.000103613,0,-nan,0.237628,0.00124051,-0,-nan,0.270759,0.228186,0.315,-0.0835243,117.743,10000000,0
0.3,0.0768439,0.000401154,-0,-nan,-0.0240327,0.00012546,0,-nan,0.237628,0.00124051,-0,-nan,0.172748,0.139444,0.323379,-0.101136,118.149,10000000,0
0.35,0.0787928,0.000411328,-0,-nan,-0.0285133,0.00014885,0,-nan,0.237628,0.00124051,-0,-nan,0.113483,0.0876768,0.331581,-0.119991,118.873,10000000,0
