z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.2,0.0553942,0.000289179,-0,-nan,-0.0199488,0.000104141,0,-nan,0.237628,0.00124051,-0,-nan,0.444944,0.386846,0.233113,-0.0839499,118.467,10000000,0
0.25,0.0568723,0.000296895,-0,-nan,-0.023713,0.000123791,0,-nan,0.237628,0.00124051,-0,-nan,0.270759,0.228186,0.239334,-0.0997906,116.719,10000000,0
0.3,0.0585994,0.000305911,-0,-nan,-0.0279472,0.000145895,0,-nan,0.237628,0.00124051,-0,-nan,0.172748,0.139444,0.246602,-0.117609,117.934,10000000,0
0.35,0.0602536,0.000314546,-0,-nan,-0.0322895,0.000168563,0,-nan,0.237628,0.0012405,-0,-nan,0.113483,0.0876768,0.253563,-0.135883,118.492,10000000,0
0.4,0.0617132,0.000322165,-0,-nan,-0.0365771,0.000190946,0,-nan,0.237628,0.0012405,-0,-nan,0.0765458,0.0569011,0.259705,-0.153926,117.701,10000000,0
0.45,0.0630104,0.000328937,-0,-nan,-0.0407994,0.000212988,0,-nan,0.237628,0.0012405,-0,-nan,0.0529773,0.0380705,0.265164,-0.171695,118.415,10000000,0
0.5,0.0642331,0.00033532,-0,-nan,-0.0449469,0.000234639,0,-nan,0.237628,0.0012405,-0,-nan,0.0376223,0.0261181,0.27031,-0.189148,119.351,10000000,0
0.55,0.065429,0.000341563,-0,-nan,-0.0488751,0.000255145,0,-nan,0.237628,0.0012405,-0,-nan,0.027376,0.0182308,0.275342,-0.205679,118.881,10000000,0
0.6,0.0665719,0.000347529,-0,-nan,-0.0522564,0.000272797,0,-nan,0.237628,0.0012405,-0,-nan,0.020264,0.0127992,0.280152,-0.219909,117.281,10000000,0
0.65,0.0675713,0.000352746,-0,-nan,-0.0546973,0.000285539,0,-nan,0.237628,0.0012405,-0,-nan,0.0150542,0.00892748,0.284358,-0.23018,117.576,10000000,0
0.7,0.0683521,0.000356822,-0,-nan,-0.0557887,0.000291237,0,-nan,0.237628,0.0012405,-0,-nan,0.0110694,0.00611706,0.287643,-0.234773,118.524,10000000,0
