z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0570812,0.000297988,-0,-nan,-0.00892181,4.65756e-05,0,-nan,0.237628,0.00124052,-0,-nan,3.62675,3.22789,0.240213,-0.0375453,117.572,10000000,0
0.15,0.0567095,0.000296047,-0,-nan,-0.0101212,5.28371e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.74467,1.57498,0.238648,-0.0425928,118.742,10000000,0
0.2,0.0572944,0.0002991,-0,-nan,-0.0124082,6.4776e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.97784,0.877926,0.24111,-0.0522171,117.991,10000000,0
0.25,0.0587381,0.000306637,-0,-nan,-0.0155137,8.09877e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.592957,0.519743,0.247186,-0.0652857,117.683,10000000,0
0.3,0.0605526,0.000316108,-0,-nan,-0.0190442,9.94181e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.376567,0.319296,0.254821,-0.080143,119.581,10000000,0
0.35,0.0623359,0.000325417,-0,-nan,-0.0227238,0.000118627,0,-nan,0.237628,0.00124051,-0,-nan,0.246268,0.201892,0.262326,-0.0956279,118.162,10000000,0
0.4,0.0639109,0.000333639,-0,-nan,-0.0264434,0.000138045,0,-nan,0.237628,0.00124051,-0,-nan,0.16548,0.131701,0.268954,-0.111281,120.718,10000000,0
0.45,0.0653086,0.000340935,-0,-nan,-0.0301922,0.000157614,0,-nan,0.237628,0.0012405,-0,-nan,0.114159,0.0885279,0.274836,-0.127057,118.387,10000000,0
0.5,0.0666687,0.000348035,-0,-nan,-0.0339033,0.000176988,0,-nan,0.237628,0.0012405,-0,-nan,0.0808133,0.0610326,0.28056,-0.142674,117.418,10000000,0
0.55,0.0681084,0.00035555,-0,-nan,-0.0373459,0.000194959,0,-nan,0.237628,0.0012405,-0,-nan,0.058587,0.0428626,0.286618,-0.157161,118.793,10000000,0
0.6,0.069653,0.000363614,-0,-nan,-0.0401074,0.000209375,0,-nan,0.237628,0.0012405,-0,-nan,0.0431724,0.0303378,0.293118,-0.168782,118.837,10000000,0
0.65,0.0711995,0.000371687,-0,-nan,-0.0417681,0.000218044,0,-nan,0.237628,0.0012405,-0,-nan,0.0319105,0.0213772,0.299626,-0.175771,117.257,10000000,0
0.7,0.0726376,0.000379195,-0,-nan,-0.0419267,0.000218872,0,-nan,0.237628,0.0012405,-0,-nan,0.0233391,0.0148254,0.305678,-0.176439,119.074,10000000,0
0.75,0.07385,0.000385523,-0,-nan,-0.0404361,0.000211091,0,-nan,0.237628,0.0012405,-0,-nan,0.0165489,0.00995835,0.31078,-0.170166,119.763,10000000,0
0.8,0.0747687,0.00039032,-0,-nan,-0.0374811,0.000195665,0,-nan,0.237628,0.0012405,-0,-nan,0.0110551,0.0063264,0.314646,-0.15773,118.277,10000000,0
0.1,0.0512233,0.000267407,-0,-nan,-0.0106007,5.53399e-05,0,-nan,0.237628,0.00124052,-0,-nan,3.62675,3.22789,0.215561,-0.0446104,118.418,10000000,0
0.15,0.0510299,0.000266397,-0,-nan,-0.0120717,6.30191e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.74467,1.57498,0.214747,-0.0508007,118.224,10000000,0
0.2,0.0517007,0.000269899,-0,-nan,-0.0145834,7.61313e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.97784,0.877926,0.21757,-0.0613708,118.296,10000000,0
0.25,0.053123,0.000277323,-0,-nan,-0.0178317,9.30887e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.592957,0.519743,0.223556,-0.0750406,119.566,10000000,0
0.3,0.0548521,0.000286349,-0,-nan,-0.021409,0.000111763,0,-nan,0.237628,0.00124051,-0,-nan,0.376567,0.319296,0.230832,-0.0900947,118.96,10000000,0
0.35,0.0565336,0.000295127,-0,-nan,-0.0250421,0.000130729,0,-nan,0.237628,0.00124051,-0,-nan,0.246268,0.201892,0.237908,-0.105384,117.35,10000000,0
0.4,0.0580178,0.000302874,-0,-nan,-0.02863,0.000149459,0,-nan,0.237628,0.00124051,-0,-nan,0.16548,0.131701,0.244154,-0.120482,117.355,10000000,0
