z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0714436,0.000372962,-0,-nan,-0.0156385,8.16389e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.159396,0.116304,0.300654,-0.065811,119.809,10000000,0
0.15,0.0715245,0.000373384,-0,-nan,-0.0175591,9.16651e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.075876,0.0575463,0.300994,-0.0738935,117.858,10000000,0
0.2,0.0719735,0.000375728,-0,-nan,-0.0211813,0.000110574,0,-nan,0.237628,0.0012405,-0,-nan,0.0427249,0.0319367,0.302883,-0.0891366,118.553,10000000,0
0.25,0.072696,0.000379499,-0,-nan,-0.0263712,0.000137667,0,-nan,0.237628,0.0012405,-0,-nan,0.0263869,0.0184807,0.305924,-0.110977,120.388,10000000,0
0.3,0.0734914,0.000383651,-0,-nan,-0.0327374,0.000170901,0,-nan,0.237628,0.0012405,-0,-nan,0.0171611,0.0109744,0.309271,-0.137768,119.049,10000000,0
0.35,0.074236,0.000387539,-0,-nan,-0.0398929,0.000208255,0,-nan,0.237628,0.0012405,-0,-nan,0.0114812,0.0066856,0.312405,-0.16788,119.771,10000000,0
0.4,0.0749006,0.000391008,-0,-nan,-0.0475734,0.00024835,0,-nan,0.237628,0.0012405,-0,-nan,0.00786201,0.00421073,0.315202,-0.200201,118.889,10000000,0
0.45,0.0755031,0.000394153,-0,-nan,-0.0557256,0.000290907,0,-nan,0.237628,0.0012405,-0,-nan,0.00551021,0.00273922,0.317737,-0.234508,116.961,10000000,0
0.5,0.0760559,0.000397039,-0,-nan,-0.0644597,0.000336503,0,-nan,0.237628,0.0012405,-0,-nan,0.00396131,0.00182265,0.320063,-0.271263,119.827,10000000,0
0.55,0.0765372,0.000399551,-0,-nan,-0.0738792,0.000385676,0,-nan,0.237628,0.0012405,-0,-nan,0.00292304,0.0012227,0.322089,-0.310903,118.645,10000000,0
0.6,0.0768973,0.000401431,-0,-nan,-0.0839404,0.000438199,0,-nan,0.237628,0.0012405,-0,-nan,0.00220007,0.000811839,0.323604,-0.353243,118.369,10000000,0
0.65,0.0770957,0.000402467,-0,-nan,-0.0943281,0.000492426,0,-nan,0.237628,0.0012405,-0,-nan,0.0016649,0.000525113,0.324439,-0.396957,119.495,10000000,0
0.7,0.0771155,0.00040257,-0,-nan,-0.104496,0.000545506,0,-nan,0.237628,0.0012405,-0,-nan,0.00124772,0.000325965,0.324522,-0.439746,118.77,10000000,0
0.75,0.0769777,0.000401851,-0,-nan,-0.113521,0.000592619,0,-nan,0.237628,0.0012405,-0,-nan,0.000905338,0.000191333,0.323943,-0.477725,116.854,10000000,0
0.8,0.0767302,0.000400559,-0,-nan,-0.120108,0.000627006,0,-nan,0.237628,0.0012405,-0,-nan,0.000617041,0.000104352,0.322901,-0.505446,117.962,10000000,0
0.1,0.0640376,0.0003343,-0,-nan,-0.0156461,8.16782e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.159396,0.116304,0.269487,-0.0658427,118.65,10000000,0
0.15,0.0642118,0.000335209,-0,-nan,-0.0180391,9.41706e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.075876,0.0575463,0.27022,-0.0759132,119.456,10000000,0
0.2,0.0647113,0.000337816,-0,-nan,-0.0220004,0.00011485,0,-nan,0.237628,0.0012405,-0,-nan,0.0427249,0.0319367,0.272322,-0.0925836,117.615,10000000,0
0.25,0.0654305,0.000341571,-0,-nan,-0.0273532,0.000142793,0,-nan,0.237628,0.0012405,-0,-nan,0.0263869,0.0184807,0.275349,-0.115109,118.146,10000000,0
0.3,0.0661874,0.000345522,-0,-nan,-0.0337011,0.000175932,0,-nan,0.237628,0.0012405,-0,-nan,0.0171611,0.0109744,0.278534,-0.141823,117.756,10000000,0
0.35,0.0668804,0.00034914,-0,-nan,-0.0406684,0.000212303,0,-nan,0.237628,0.0012405,-0,-nan,0.0114812,0.0066856,0.28145,-0.171143,120.959,10000000,0
0.4,0.0674922,0.000352333,-0,-nan,-0.0480033,0.000250594,0,-nan,0.237628,0.0012405,-0,-nan,0.00786201,0.00421073,0.284025,-0.20201,119.598,10000000,0
0.45,0.0680407,0.000355197,-0,-nan,-0.0556508,0.000290517,0,-nan,0.237628,0.0012405,-0,-nan,0.00551021,0.00273922,0.286333,-0.234193,118.189,10000000,0
0.5,0.0685318,0.000357761,-0,-nan,-0.0637036,0.000332555,0,-nan,0.237628,0.0012405,-0,-nan,0.00396131,0.00182265,0.2884,-0.268081,119.994,10000000,0
0.55,0.0689383,0.000359882,-0,-nan,-0.0722468,0.000377154,0,-nan,0.237628,0.0012405,-0,-nan,0.00292304,0.0012227,0.29011,-0.304033,121.01,10000000,0
0.6,0.0692115,0.000361309,-0,-nan,-0.0812362,0.000424082,0,-nan,0.237628,0.0012405,-0,-nan,0.00220007,0.000811839,0.29126,-0.341863,120.722,10000000,0
0.65,0.0693208,0.000361879,-0,-nan,-0.0903944,0.000471891,0,-nan,0.237628,0.0012405,-0,-nan,0.0016649,0.000525113,0.29172,-0.380403,118.565,10000000,0
0.7,0.069259,0.000361557,-0,-nan,-0.0992522,0.000518132,0,-nan,0.237628,0.0012405,-0,-nan,0.00124772,0.000325965,0.29146,-0.417679,118.174,10000000,0
0.75,0.0690562,0.000360498,-0,-nan,-0.10703,0.000558734,0,-nan,0.237628,0.0012405,-0,-nan,0.000905338,0.000191333,0.290607,-0.45041,118.637,10000000,0
0.8,0.0687641,0.000358973,-0,-nan,-0.112649,0.000588067,0,-nan,0.237628,0.0012405,-0,-nan,0.000617041,0.000104352,0.289377,-0.474056,119.26,10000000,0
0.1,0.0770019,0.000401979,-0,-nan,-0.0159526,8.32787e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.159396,0.116304,0.324044,-0.0671328,118.785,10000000,0
0.15,0.0770923,0.00040245,-0,-nan,-0.0184061,9.60863e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.075876,0.0575463,0.324425,-0.0774575,117.438,10000000,0
0.2,0.0775543,0.000404861,-0,-nan,-0.0224785,0.000117346,0,-nan,0.237628,0.0012405,-0,-nan,0.0427249,0.0319367,0.326369,-0.0945952,119.966,10000000,0
0.25,0.0782876,0.000408689,-0,-nan,-0.027986,0.000146097,0,-nan,0.237628,0.0012405,-0,-nan,0.0263869,0.0184807,0.329455,-0.117772,117.916,10000000,0
0.3,0.0790841,0.000412847,-0,-nan,-0.0345196,0.000180205,0,-nan,0.237628,0.0012405,-0,-nan,0.0171611,0.0109744,0.332807,-0.145268,118.483,10000000,0
0.35,0.0798168,0.000416672,-0,-nan,-0.0416919,0.000217647,0,-nan,0.237628,0.0012405,-0,-nan,0.0114812,0.0066856,0.33589,-0.175451,115.902,10000000,0
0.4,0.0804556,0.000420007,-0,-nan,-0.0492435,0.000257069,0,-nan,0.237628,0.0012405,-0,-nan,0.00786201,0.00421073,0.338578,-0.207229,118.83,10000000,0
0.45,0.081021,0.000422959,-0,-nan,-0.0571178,0.000298175,0,-nan,0.237628,0.0012405,-0,-nan,0.00551021,0.00273922,0.340958,-0.240367,119.227,10000000,0
0.5,0.0815329,0.000425631,-0,-nan,-0.0654108,0.000341467,0,-nan,0.237628,0.0012405,-0,-nan,0.00396131,0.00182265,0.343112,-0.275266,117.056,10000000,0
0.55,0.0819808,0.000427969,-0,-nan,-0.0742108,0.000387407,0,-nan,0.237628,0.0012405,-0,-nan,0.00292304,0.0012227,0.344997,-0.312298,117.777,10000000,0
0.6,0.0823278,0.00042978,-0,-nan,-0.0834729,0.000435758,0,-nan,0.237628,0.0012405,-0,-nan,0.00220007,0.000811839,0.346457,-0.351276,118.983,10000000,0
0.65,0.0825399,0.000430888,-0,-nan,-0.092912,0.000485034,0,-nan,0.237628,0.0012405,-0,-nan,0.0016649,0.000525113,0.34735,-0.390998,119.747,10000000,0
0.7,0.0826028,0.000431216,-0,-nan,-0.102045,0.000532713,0,-nan,0.237628,0.0012405,-0,-nan,0.00124772,0.000325965,0.347614,-0.429434,118.642,10000000,0
0.75,0.0825325,0.000430849,-0,-nan,-0.11007,0.000574607,0,-nan,0.237628,0.0012405,-0,-nan,0.000905338,0.000191333,0.347318,-0.463205,116.933,10000000,0
0.8,0.0823669,0.000429985,-0,-nan,-0.115876,0.000604915,0,-nan,0.237628,0.0012405,-0,-nan,0.000617041,0.000104352,0.346622,-0.487638,118.823,10000000,0
0.1,0.0715867,0.000373709,-0,-nan,-0.01568,8.18554e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.159396,0.116304,0.301255,-0.0659855,120.069,10000000,0
0.15,0.0716736,0.000374162,-0,-nan,-0.0176718,9.22532e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.075876,0.0575463,0.301621,-0.0743676,117.945,10000000,0
0.2,0.0721273,0.00037653,-0,-nan,-0.0213566,0.000111489,0,-nan,0.237628,0.0012405,-0,-nan,0.0427249,0.0319367,0.30353,-0.0898742,119.242,10000000,0
0.25,0.0728519,0.000380313,-0,-nan,-0.0265931,0.000138826,0,-nan,0.237628,0.0012405,-0,-nan,0.0263869,0.0184807,0.30658,-0.111911,120.386,10000000,0
0.3,0.0736467,0.000384462,-0,-nan,-0.032987,0.000172204,0,-nan,0.237628,0.0012405,-0,-nan,0.0171611,0.0109744,0.309925,-0.138818,119.707,10000000,0
0.35,0.0743889,0.000388337,-0,-nan,-0.0401502,0.000209598,0,-nan,0.237628,0.0012405,-0,-nan,0.0114812,0.0066856,0.313048,-0.168962,118.408,10000000,0
0.4,0.0750496,0.000391786,-0,-nan,-0.0478186,0.00024963,0,-nan,0.237628,0.0012405,-0,-nan,0.00786201,0.00421073,0.315828,-0.201233,117.839,10000000,0
0.45,0.0756469,0.000394904,-0,-nan,-0.0559379,0.000292016,0,-nan,0.237628,0.0012405,-0,-nan,0.00551021,0.00273922,0.318342,-0.235401,117.328,10000000,0
0.5,0.0761937,0.000397758,-0,-nan,-0.0646162,0.000337319,0,-nan,0.237628,0.0012405,-0,-nan,0.00396131,0.00182265,0.320643,-0.271922,118.397,10000000,0
0.55,0.0766686,0.000400237,-0,-nan,-0.0739542,0.000386067,0,-nan,0.237628,0.0012405,-0,-nan,0.00292304,0.0012227,0.322641,-0.311219,117.539,10000000,0
0.6,0.077023,0.000402087,-0,-nan,-0.0839077,0.000438028,0,-nan,0.237628,0.0012405,-0,-nan,0.00220007,0.000811839,0.324133,-0.353106,119.782,10000000,0
0.65,0.0772175,0.000403103,-0,-nan,-0.0941655,0.000491578,0,-nan,0.237628,0.0012405,-0,-nan,0.0016649,0.000525113,0.324952,-0.396273,116.805,10000000,0
0.7,0.0772361,0.0004032,-0,-nan,-0.10419,0.000543907,0,-nan,0.237628,0.0012405,-0,-nan,0.00124772,0.000325965,0.32503,-0.438458,117.866,10000000,0
0.75,0.0770999,0.000402489,-0,-nan,-0.113074,0.000590287,0,-nan,0.237628,0.0012405,-0,-nan,0.000905338,0.000191333,0.324457,-0.475845,117.417,10000000,0
0.8,0.0768562,0.000401217,-0,-nan,-0.11955,0.000624094,0,-nan,0.237628,0.0012405,-0,-nan,0.000617041,0.000104352,0.323431,-0.503098,116.874,10000000,0
0.1,0.0774665,0.000404404,-0,-nan,-0.015889,8.29465e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.159396,0.116304,0.325999,-0.0668651,119.668,10000000,0
0.15,0.0775415,0.000404795,-0,-nan,-0.018179,9.49013e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.075876,0.0575463,0.326315,-0.0765022,118.884,10000000,0
0.2,0.0779952,0.000407163,-0,-nan,-0.0221291,0.000115522,0,-nan,0.237628,0.0012405,-0,-nan,0.0427249,0.0319367,0.328224,-0.093125,118.273,10000000,0
0.25,0.0787298,0.000410998,-0,-nan,-0.0275687,0.000143918,0,-nan,0.237628,0.0012405,-0,-nan,0.0263869,0.0184807,0.331316,-0.116016,120.177,10000000,0
0.3,0.0795344,0.000415198,-0,-nan,-0.0340907,0.000177966,0,-nan,0.237628,0.0012405,-0,-nan,0.0171611,0.0109744,0.334701,-0.143463,118.763,10000000,0
0.35,0.0802788,0.000419084,-0,-nan,-0.0413044,0.000215624,0,-nan,0.237628,0.0012405,-0,-nan,0.0114812,0.0066856,0.337834,-0.17382,119.069,10000000,0
0.4,0.0809311,0.000422489,-0,-nan,-0.0489462,0.000255517,0,-nan,0.237628,0.0012405,-0,-nan,0.00786201,0.00421073,0.340579,-0.205978,118.035,10000000,0
0.45,0.0815116,0.00042552,-0,-nan,-0.0569596,0.00029735,0,-nan,0.237628,0.0012405,-0,-nan,0.00551021,0.00273922,0.343022,-0.239701,118.94,10000000,0
0.5,0.08204,0.000428278,-0,-nan,-0.065445,0.000341646,0,-nan,0.237628,0.0012405,-0,-nan,0.00396131,0.00182265,0.345246,-0.27541,118.124,10000000,0
0.55,0.0825048,0.000430704,-0,-nan,-0.0744955,0.000388893,0,-nan,0.237628,0.0012405,-0,-nan,0.00292304,0.0012227,0.347202,-0.313496,117.472,10000000,0
0.6,0.0828672,0.000432596,-0,-nan,-0.0840657,0.000438853,0,-nan,0.237628,0.0012405,-0,-nan,0.00220007,0.000811839,0.348727,-0.35377,118.586,10000000,0
0.65,0.0830907,0.000433763,-0,-nan,-0.0938591,0.000489978,0,-nan,0.237628,0.0012405,-0,-nan,0.0016649,0.000525113,0.349668,-0.394984,120.123,10000000,0
0.7,0.0831593,0.000434121,-0,-nan,-0.10337,0.000539629,0,-nan,0.237628,0.0012405,-0,-nan,0.00124772,0.000325965,0.349956,-0.435009,118.55,10000000,0
0.75,0.0830884,0.000433751,-0,-nan,-0.111754,0.000583397,0,-nan,0.237628,0.0012405,-0,-nan,0.000905338,0.000191333,0.349658,-0.470291,119.238,10000000,0
0.8,0.0829171,0.000432857,-0,-nan,-0.117838,0.000615154,0,-nan,0.237628,0.0012405,-0,-nan,0.000617041,0.000104352,0.348937,-0.495892,117.613,10000000,0
0.1,0.0709669,0.000370474,-0,-nan,-0.0153197,7.99748e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.159396,0.116304,0.298647,-0.0644695,118.724,10000000,0
0.15,0.0710507,0.00037091,-0,-nan,-0.0173397,9.05198e-05,0,-nan,0.237628,0.0012405,-0,-nan,0.075876,0.0575463,0.299,-0.0729702,119.209,10000000,0
0.2,0.0714937,0.000373223,-0,-nan,-0.0209999,0.000109627,0,-nan,0.237628,0.0012405,-0,-nan,0.0427249,0.0319367,0.300864,-0.0883733,119.421,10000000,0
0.25,0.0722019,0.00037692,-0,-nan,-0.0261545,0.000136536,0,-nan,0.237628,0.0012405,-0,-nan,0.0263869,0.0184807,0.303844,-0.110065,118.328,10000000,0
0.3,0.0729775,0.000380969,-0,-nan,-0.0324157,0.000169222,0,-nan,0.237628,0.0012405,-0,-nan,0.0171611,0.0109744,0.307108,-0.136414,118.446,10000000,0
0.35,0.0736997,0.000384739,-0,-nan,-0.0394048,0.000205707,0,-nan,0.237628,0.0012405,-0,-nan,0.0114812,0.0066856,0.310148,-0.165826,116.85,10000000,0
0.4,0.0743399,0.000388081,-0,-nan,-0.0468645,0.000244649,0,-nan,0.237628,0.0012405,-0,-nan,0.00786201,0.00421073,0.312842,-0.197218,118.362,10000000,0
0.45,0.0749162,0.000391089,-0,-nan,-0.0547412,0.000285768,0,-nan,0.237628,0.0012405,-0,-nan,0.00551021,0.00273922,0.315267,-0.230365,118.791,10000000,0
0.5,0.0754427,0.000393838,-0,-nan,-0.0631376,0.0003296,0,-nan,0.237628,0.0012405,-0,-nan,0.00396131,0.00182265,0.317483,-0.265699,118.882,10000000,0
0.55,0.0759009,0.00039623,-0,-nan,-0.0721495,0.000376646,0,-nan,0.237628,0.0012405,-0,-nan,0.00292304,0.0012227,0.319411,-0.303624,118.12,10000000,0
0.6,0.0762459,0.00039803,-0,-nan,-0.0817335,0.000426678,0,-nan,0.237628,0.0012405,-0,-nan,0.00220007,0.000811839,0.320863,-0.343956,118.345,10000000,0
0.65,0.0764402,0.000399045,-0,-nan,-0.0915904,0.000478135,0,-nan,0.237628,0.0012405,-0,-nan,0.0016649,0.000525113,0.32168,-0.385437,118.729,10000000,0
0.7,0.0764684,0.000399192,-0,-nan,-0.101206,0.000528329,0,-nan,0.237628,0.0012405,-0,-nan,0.00124772,0.000325965,0.321799,-0.4259,120.08,10000000,0
0.75,0.0763502,0.000398575,-0,-nan,-0.109714,0.000572746,0,-nan,0.237628,0.0012405,-0,-nan,0.000905338,0.000191333,0.321302,-0.461705,118.48,10000000,0
0.8,0.0761295,0.000397423,-0,-nan,-0.115907,0.000605077,0,-nan,0.237628,0.0012405,-0,-nan,0.000617041,0.000104352,0.320373,-0.487768,118.479,10000000,0
