z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0373976,1.42029e-05,0.0004891,1.46962e-07,-0.0099359,3.77346e-06,-0.000129946,3.90452e-08,0.148864,5.65357e-05,0.0019469,5.84993e-07,0.397629,-0.105643,112.252,36000000,0
,0.15,0.0371359,1.40372e-05,0.000485646,1.44989e-07,-0.0106586,4.02889e-06,-0.000139388,4.1614e-08,0.148864,5.62698e-05,0.00194677,5.81205e-07,0.394848,-0.113328,110.019,36000000,0
,0.2,0.0374832,1.43275e-05,0.00049016,1.47786e-07,-0.0122727,4.69109e-06,-0.000160487,4.83878e-08,0.148864,5.69013e-05,0.00194666,5.86929e-07,0.398541,-0.13049,108.823,35000000,0
,0.25,0.0383805,1.46234e-05,0.000501875,1.50662e-07,-0.0145877,5.55805e-06,-0.000190753,5.72636e-08,0.148863,5.67185e-05,0.00194658,5.84361e-07,0.408082,-0.155104,108.495,35000000,0
,0.3,0.0395124,1.52405e-05,0.000516663,1.56858e-07,-0.0172673,6.66024e-06,-0.000225787,6.85485e-08,0.148864,5.74189e-05,0.00194654,5.90966e-07,0.420115,-0.183595,105.788,34000000,0
,0.35,0.0406254,2.42781e-05,0.000531291,2.49377e-07,-0.020053,1.19838e-05,-0.000262249,1.23094e-07,0.148881,8.89723e-05,0.00194703,9.13897e-07,0.431901,-0.213189,46.6485,15000000,0
,0.4,0.0416141,4.87498e-05,0.000544647,4.98255e-07,-0.022828,2.67424e-05,-0.000298774,2.73325e-07,0.148933,0.00017447,0.00194923,1.7832e-06,0.442258,-0.242607,15.61,5000000,0
,0.45,0.042681,0.000250136,0.000552035,2.47441e-06,-0.025703,0.000150635,-0.000332442,1.49012e-06,0.149676,0.000877188,0.0019359,8.67738e-06,0.451344,-0.271805,3.09168,1000000,0
,0.5,0.0434923,0.000254891,0.000562527,2.52144e-06,-0.0284537,0.000166756,-0.000368018,1.64959e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.459924,-0.300893,3.09941,1000000,0
,0.55,0.0443122,0.000259696,0.000573131,2.56898e-06,-0.0311125,0.000182338,-0.000402406,1.80373e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.468595,-0.329009,3.10453,1000000,0
,0.6,0.0451375,0.000264533,0.000583804,2.61682e-06,-0.0334652,0.000196126,-0.000432835,1.94012e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.477322,-0.353889,3.10313,1000000,0
,0.65,0.0459053,0.000269033,0.000593732,2.66133e-06,-0.0352271,0.000206452,-0.000455623,2.04227e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.485441,-0.372521,3.10998,1000000,0
,0.7,0.0465502,0.000272812,0.000602072,2.69871e-06,-0.0360894,0.000211506,-0.000466774,2.09226e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.492261,-0.38164,3.1096,1000000,0
,0.75,0.047021,0.000275571,0.00060816,2.726e-06,-0.0358577,0.000210148,-0.000463777,2.07882e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.497239,-0.37919,3.10086,1000000,0
,0.8,0.0473053,0.000277238,0.000611835,2.74248e-06,-0.0345392,0.000202421,-0.000446722,2.00238e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.500245,-0.365246,3.09554,1000000,0
