z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0233498,8.79462e-06,0.00030506,9.05259e-08,0.148883,5.60764e-05,0.00194513,5.77212e-07,0.248234,110.919,36000000,0
,0.15,0.0245662,1.52974e-05,0.000321058,1.5698e-07,0.148906,9.27235e-05,0.00194606,9.51519e-07,0.261127,43.3948,14000000,0
,0.2,0.0257021,6.49024e-05,0.000335702,6.57125e-07,0.149065,0.000376417,0.00194699,3.81115e-06,0.272908,6.19909,2000000,0
,0.25,0.0266432,0.000156145,0.000344602,1.54463e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.281747,3.08658,1000000,0
,0.3,0.0272357,0.000159618,0.000352264,1.57897e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.288013,3.09667,1000000,0
,0.35,0.0277354,0.000162546,0.000358726,1.60794e-06,0.149676,0.000877189,0.00193589,8.67734e-06,0.293297,3.1075,1000000,0
,0.4,0.0282965,0.000165835,0.000365983,1.64047e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.299231,3.10935,1000000,0
,0.45,0.0289514,0.000169673,0.000374452,1.67844e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.306157,3.09017,1000000,0
,0.5,0.0295475,0.000173166,0.00038216,1.71299e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.31246,3.04868,1000000,0
,0.55,0.0297866,0.000174568,0.000385252,1.72685e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.314988,3.1126,1000000,0
,0.6,0.0293586,0.000172059,0.000379716,1.70203e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.310462,3.10863,1000000,0
,0.65,0.0281287,0.000164852,0.000363809,1.63073e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.297457,3.11365,1000000,0
,0.7,0.0260811,0.000152851,0.000337324,1.51202e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.275803,3.11172,1000000,0
,0.75,0.0234277,0.000137301,0.000303006,1.35819e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.247744,3.10014,1000000,0
,0.8,0.0205013,0.00012015,0.000265156,1.18854e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.216798,3.09217,1000000,0
