z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0335959,1.0364e-05,0.000438789,1.07851e-07,0.1485,4.58106e-05,0.00193953,4.76722e-07,0.358084,200.463,64000000,0
,0.15,0.0338988,1.12879e-05,0.000442699,1.17354e-07,0.148653,4.94997e-05,0.00194133,5.14623e-07,0.360939,154.176,49000000,0
,0.2,0.035283,1.19909e-05,0.000460294,1.24486e-07,0.148653,5.05195e-05,0.0019393,5.24481e-07,0.375678,145.902,47000000,0
,0.25,0.0375868,1.29002e-05,0.000490264,1.33767e-07,0.148648,5.10176e-05,0.00193889,5.2902e-07,0.400222,144.699,46000000,0
,0.3,0.0403045,1.39672e-05,0.000525672,1.44685e-07,0.148647,5.15124e-05,0.00193873,5.33613e-07,0.429163,142.417,45000000,0
,0.35,0.0430384,1.48896e-05,0.000561263,1.54107e-07,0.148645,5.14252e-05,0.00193847,5.32251e-07,0.458281,142.699,45000000,0
,0.4,0.0456224,1.5945e-05,0.000594892,1.64908e-07,0.148643,5.19506e-05,0.00193822,5.37286e-07,0.485802,139.243,44000000,0
,0.45,0.0480742,1.67796e-05,0.000626799,1.73429e-07,0.14864,5.18808e-05,0.001938,5.36225e-07,0.511917,138.356,44000000,0
,0.5,0.050454,1.75867e-05,0.000657775,1.81662e-07,0.148639,5.18109e-05,0.00193782,5.35183e-07,0.537264,139.027,44000000,0
,0.55,0.0527317,1.85727e-05,0.000687431,1.91724e-07,0.148639,5.23523e-05,0.00193771,5.40427e-07,0.561519,136.242,43000000,0
,0.6,0.0547327,1.92392e-05,0.000713487,1.98453e-07,0.148639,5.22483e-05,0.00193763,5.38943e-07,0.582827,135.219,43000000,0
,0.65,0.056203,1.97073e-05,0.00073264,2.03102e-07,0.148639,5.21194e-05,0.0019376,5.37139e-07,0.598483,135.931,43000000,0
,0.7,0.0568956,2.01317e-05,0.000741669,2.07252e-07,0.148641,5.25947e-05,0.00193763,5.41453e-07,0.605848,133.415,42000000,0
,0.75,0.0567054,2.74473e-05,0.000739301,2.82024e-07,0.148673,7.19627e-05,0.00193834,7.39425e-07,0.603693,72.681,23000000,0
,0.8,0.0557133,4.27363e-05,0.000726973,4.37736e-07,0.148747,0.0001141,0.00194092,1.1687e-06,0.592837,31.4422,10000000,0
