z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0236539,8.04076e-06,0.000308359,8.30433e-08,0.148769,5.05715e-05,0.00193939,5.22291e-07,0.251661,144.6,46000000,0
,0.15,0.0243998,8.44442e-06,0.000318066,8.70504e-08,0.148766,5.14857e-05,0.00193925,5.30746e-07,0.259602,138.547,44000000,0
,0.2,0.0254156,9.09004e-06,0.000331293,9.35747e-08,0.148764,5.32064e-05,0.00193915,5.47718e-07,0.270412,129.464,41000000,0
,0.25,0.02654,1.51176e-05,0.000346048,1.55271e-07,0.148794,8.47548e-05,0.00194008,8.7051e-07,0.28232,53.6807,17000000,0
,0.3,0.0276289,2.91486e-05,0.000360787,2.98077e-07,0.148882,0.000157071,0.00194415,1.60623e-06,0.293729,19.045,6000000,0
,0.35,0.0286529,7.29183e-05,0.000374216,7.38325e-07,0.149043,0.000379297,0.00194655,3.84052e-06,0.304286,6.28426,2000000,0
,0.4,0.0297441,0.000174318,0.000384707,1.7244e-06,0.149676,0.000877189,0.00193589,8.67736e-06,0.314539,3.13856,1000000,0
,0.45,0.0307164,0.000180017,0.000397283,1.78076e-06,0.149676,0.000877189,0.00193589,8.67734e-06,0.324821,3.11756,1000000,0
,0.5,0.0316173,0.000185296,0.000408933,1.83299e-06,0.149676,0.000877189,0.00193588,8.67733e-06,0.334348,3.10042,1000000,0
,0.55,0.0322552,0.000189035,0.000417184,1.86997e-06,0.149676,0.00087719,0.00193588,8.67732e-06,0.341094,3.13636,1000000,0
,0.6,0.0323953,0.000189856,0.000418995,1.87809e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.342575,3.1248,1000000,0
,0.65,0.0318998,0.000186952,0.000412585,1.84936e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.337335,3.07774,1000000,0
,0.7,0.0307164,0.000180017,0.000397278,1.78075e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.324821,3.14062,1000000,0
,0.75,0.0289735,0.000169803,0.000374735,1.67971e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.30639,3.12656,1000000,0
,0.8,0.0269148,0.000157737,0.000348108,1.56036e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.28462,3.12776,1000000,0
