z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UC,err_BU_over_AU_times_Collins_UC,BL_over_AU_times_Collins_UC,err_BL_over_AU_times_Collins_UC,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UC,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,1.37228e-05,0.00874199,2.2617e-06,0.000662167,1.2699e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.0852316,0.173501,-0.00336995,2.60661,10000000,1
,0.15,0.098308,1.37228e-05,0.00969697,2.50877e-06,0.000734502,1.40863e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.0945424,0.18238,-0.012673,2.47989,10000000,1
,0.2,0.098308,1.37228e-05,0.0104111,2.69353e-06,0.000788596,1.51237e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.101505,0.18317,-0.0263418,2.52816,10000000,1
,0.25,0.098308,1.37228e-05,0.0109415,2.83074e-06,0.000828766,1.58941e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.106676,0.176442,-0.0451908,2.49733,10000000,1
,0.3,0.098308,1.37228e-05,0.0115374,2.98493e-06,0.000873908,1.67598e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.112486,0.16632,-0.0696868,2.568,10000000,1
,0.35,0.098308,1.37228e-05,0.0123954,3.2069e-06,0.000938894,1.80061e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.120851,0.156581,-0.0995732,2.65268,10000000,1
,0.4,0.098308,1.37228e-05,0.0135882,3.5155e-06,0.00102924,1.97388e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.13248,0.149158,-0.134154,2.53589,10000000,1
,0.45,0.098308,1.37228e-05,0.0150913,3.90438e-06,0.0011431,2.19223e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.147135,0.143804,-0.173271,2.5884,10000000,1
,0.5,0.098308,1.37228e-05,0.016864,4.36299e-06,0.00127737,2.44974e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.164418,0.1391,-0.217943,2.51913,10000000,1
,0.55,0.098308,1.37228e-05,0.0189027,4.89046e-06,0.0014318,2.7459e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.184295,0.133279,-0.270694,2.56975,10000000,1
,0.6,0.098308,1.37228e-05,0.0212673,5.50221e-06,0.0016109,3.08938e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.207349,0.125361,-0.334759,2.57921,10000000,1
,0.65,0.098308,1.37228e-05,0.0240526,6.22281e-06,0.00182187,3.49399e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.234505,0.11581,-0.412489,2.6016,10000000,1
,0.7,0.098308,1.37228e-05,0.0273394,7.07318e-06,0.00207084,3.97145e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.266551,0.105593,-0.505365,2.55795,10000000,1
,0.75,0.098308,1.37228e-05,0.0311525,8.05967e-06,0.00235966,4.52535e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.303726,0.0962292,-0.612562,2.58333,10000000,1
,0.8,0.098308,1.37228e-05,0.0354429,9.16967e-06,0.00268464,5.14859e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.345556,0.0890673,-0.731162,2.57373,10000000,1
