z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,1.37228e-05,0.0177955,4.60401e-06,-0.000345647,8.94249e-08,0.00134793,2.58506e-07,-2.61812e-05,5.02103e-09,0.173501,-0.00336995,2.60661,10000000,1
,0.15,0.098308,1.37228e-05,0.0187063,4.83963e-06,-0.00129984,3.36291e-07,0.00141692,2.71736e-07,-9.84571e-05,1.88821e-08,0.18238,-0.012673,2.47989,10000000,1
,0.2,0.098308,1.37228e-05,0.0187873,4.8606e-06,-0.00270181,6.99004e-07,0.00142306,2.72913e-07,-0.00020465,3.92477e-08,0.18317,-0.0263418,2.52816,10000000,1
,0.25,0.098308,1.37228e-05,0.0180972,4.68205e-06,-0.0046351,1.19918e-06,0.00137078,2.62888e-07,-0.000351088,6.73316e-08,0.176442,-0.0451908,2.49733,10000000,1
,0.3,0.098308,1.37228e-05,0.0170591,4.41347e-06,-0.0071476,1.84921e-06,0.00129215,2.47808e-07,-0.000541398,1.03829e-07,0.16632,-0.0696868,2.568,10000000,1
,0.35,0.098308,1.37228e-05,0.0160601,4.15503e-06,-0.010213,2.64227e-06,0.00121648,2.33297e-07,-0.000773587,1.48358e-07,0.156581,-0.0995732,2.65268,10000000,1
,0.4,0.098308,1.37228e-05,0.0152987,3.95805e-06,-0.0137599,3.55992e-06,0.00115881,2.22237e-07,-0.00104225,1.99882e-07,0.149158,-0.134154,2.53589,10000000,1
,0.45,0.098308,1.37228e-05,0.0147496,3.81598e-06,-0.017772,4.59792e-06,0.00111722,2.1426e-07,-0.00134615,2.58164e-07,0.143804,-0.173271,2.5884,10000000,1
,0.5,0.098308,1.37228e-05,0.0142672,3.69116e-06,-0.0223539,5.78333e-06,0.00108067,2.07252e-07,-0.0016932,3.24722e-07,0.1391,-0.217943,2.51913,10000000,1
,0.55,0.098308,1.37228e-05,0.0136701,3.53668e-06,-0.0277644,7.18312e-06,0.00103545,1.98578e-07,-0.00210303,4.03318e-07,0.133279,-0.270694,2.56975,10000000,1
,0.6,0.098308,1.37228e-05,0.012858,3.32658e-06,-0.0343353,8.88314e-06,0.000973935,1.86781e-07,-0.00260075,4.98771e-07,0.125361,-0.334759,2.57921,10000000,1
,0.65,0.098308,1.37228e-05,0.0118783,3.07312e-06,-0.0423079,1.09458e-05,0.000899729,1.7255e-07,-0.00320464,6.14584e-07,0.11581,-0.412489,2.6016,10000000,1
,0.7,0.098308,1.37228e-05,0.0108304,2.80202e-06,-0.051834,1.34103e-05,0.000820357,1.57328e-07,-0.00392619,7.52965e-07,0.105593,-0.505365,2.55795,10000000,1
,0.75,0.098308,1.37228e-05,0.00986999,2.55353e-06,-0.0628289,1.62549e-05,0.000747607,1.43376e-07,-0.00475901,9.12682e-07,0.0962292,-0.612562,2.58333,10000000,1
,0.8,0.098308,1.37228e-05,0.00913541,2.36349e-06,-0.0749934,1.94021e-05,0.000691966,1.32705e-07,-0.00568041,1.08939e-06,0.0890673,-0.731162,2.57373,10000000,1
