z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UL,err_BU_over_AU_times_Collins_UL,BL_over_AU_times_Collins_UL,err_BL_over_AU_times_Collins_UL,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UL,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,1.37228e-05,0.0181412,4.69343e-06,0.00137411,2.63527e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.176871,0.173501,-0.00336995,2.60661,10000000,1
,0.15,0.098308,1.37228e-05,0.0200061,5.17593e-06,0.00151537,2.90618e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.195053,0.18238,-0.012673,2.47989,10000000,1
,0.2,0.098308,1.37228e-05,0.0214891,5.55961e-06,0.00162771,3.12161e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.209512,0.18317,-0.0263418,2.52816,10000000,1
,0.25,0.098308,1.37228e-05,0.0227323,5.88123e-06,0.00172187,3.3022e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.221632,0.176442,-0.0451908,2.49733,10000000,1
,0.3,0.098308,1.37228e-05,0.0242067,6.26267e-06,0.00183355,3.51637e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.236007,0.16632,-0.0696868,2.568,10000000,1
,0.35,0.098308,1.37228e-05,0.0262731,6.7973e-06,0.00199007,3.81655e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.256154,0.156581,-0.0995732,2.65268,10000000,1
,0.4,0.098308,1.37228e-05,0.0290586,7.51796e-06,0.00220106,4.22119e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.283312,0.149158,-0.134154,2.53589,10000000,1
,0.45,0.098308,1.37228e-05,0.0325216,8.4139e-06,0.00246337,4.72424e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.317075,0.143804,-0.173271,2.5884,10000000,1
,0.5,0.098308,1.37228e-05,0.036621,9.47449e-06,0.00277388,5.31974e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.357043,0.1391,-0.217943,2.51913,10000000,1
,0.55,0.098308,1.37228e-05,0.0414345,1.07198e-05,0.00313848,6.01896e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.403973,0.133279,-0.270694,2.56975,10000000,1
,0.6,0.098308,1.37228e-05,0.0471933,1.22097e-05,0.00357468,6.85552e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.46012,0.125361,-0.334759,2.57921,10000000,1
,0.65,0.098308,1.37228e-05,0.0541862,1.40189e-05,0.00410436,7.87134e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.528298,0.11581,-0.412489,2.6016,10000000,1
,0.7,0.098308,1.37228e-05,0.0626645,1.62124e-05,0.00474655,9.10293e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.610958,0.105593,-0.505365,2.55795,10000000,1
,0.75,0.098308,1.37228e-05,0.0726989,1.88085e-05,0.00550662,1.05606e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.708791,0.0962292,-0.612562,2.58333,10000000,1
,0.8,0.098308,1.37228e-05,0.0841288,2.17656e-05,0.00637238,1.22209e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.820229,0.0890673,-0.731162,2.57373,10000000,1
