z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.313457,9.42783e-05,0.0202016,1.08896e-05,-0.000367651,1.9818e-07,0.00562418,2.45435e-06,-0.000102355,4.4667e-08,0.178715,-0.00325245,0.55195,2000000,0
,0.15,0.313457,9.42783e-05,0.0209692,1.13033e-05,-0.00144324,7.77969e-07,0.00583788,2.54761e-06,-0.000401801,1.75343e-07,0.185506,-0.0127677,0.565157,2000000,0
,0.2,0.313457,9.42783e-05,0.0208775,1.12539e-05,-0.00302172,1.62884e-06,0.00581233,2.53646e-06,-0.000841253,3.67117e-07,0.184694,-0.0267319,0.565411,2000000,0
,0.25,0.313457,9.42783e-05,0.0200196,1.07914e-05,-0.00519082,2.79808e-06,0.0055735,2.43224e-06,-0.00144514,6.30648e-07,0.177105,-0.045921,0.565653,2000000,0
,0.3,0.313457,9.42783e-05,0.0188406,1.01559e-05,-0.00799739,4.31094e-06,0.00524527,2.289e-06,-0.00222649,9.71626e-07,0.166675,-0.0707495,0.595508,2000000,0
,0.35,0.313457,9.42783e-05,0.0177264,9.55531e-06,-0.0114143,6.15282e-06,0.00493507,2.15363e-06,-0.00317777,1.38676e-06,0.156818,-0.100978,0.551413,2000000,0
,0.4,0.313457,9.42783e-05,0.0168565,9.08638e-06,-0.0153801,8.29054e-06,0.00469288,2.04794e-06,-0.00428185,1.86857e-06,0.149122,-0.136061,0.569811,2000000,0
,0.45,0.313457,9.42783e-05,0.0162013,8.73319e-06,-0.0198876,1.07203e-05,0.00451047,1.96834e-06,-0.00553675,2.4162e-06,0.143326,-0.175937,0.592157,2000000,0
,0.5,0.313457,9.42783e-05,0.0155953,8.40653e-06,-0.0250699,1.35138e-05,0.00434176,1.89471e-06,-0.00697953,3.04582e-06,0.137965,-0.221783,0.570488,2000000,0
,0.55,0.313457,9.42783e-05,0.0148619,8.01123e-06,-0.0312021,1.68193e-05,0.0041376,1.80562e-06,-0.00868674,3.79084e-06,0.131477,-0.276032,0.56219,2000000,0
,0.6,0.313457,9.42783e-05,0.0139186,7.50273e-06,-0.0386127,2.08139e-05,0.00387497,1.69101e-06,-0.0107499,4.69117e-06,0.123132,-0.34159,0.583868,2000000,0
,0.65,0.313457,9.42783e-05,0.0128313,6.91663e-06,-0.0475211,2.56159e-05,0.00357226,1.55891e-06,-0.01323,5.77347e-06,0.113513,-0.420399,0.56932,2000000,0
,0.7,0.313457,9.42783e-05,0.0117041,6.30901e-06,-0.0580576,3.12956e-05,0.00325844,1.42196e-06,-0.0161634,7.05359e-06,0.103541,-0.513611,0.575433,2000000,0
,0.75,0.313457,9.42783e-05,0.0106923,5.76364e-06,-0.0701177,3.77965e-05,0.00297677,1.29904e-06,-0.0195209,8.5188e-06,0.0945907,-0.620301,0.566826,2000000,0
,0.8,0.313457,9.42783e-05,0.0099413,5.3588e-06,-0.0833588,4.49341e-05,0.00276768,1.2078e-06,-0.0232073,1.01275e-05,0.0879464,-0.73744,0.568131,2000000,0
