z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.944619,0.000730526,0.0264427,2.17889e-05,-0.000435148,3.58564e-07,0.0249307,2.03707e-05,-0.000410267,3.35226e-07,0.182588,-0.00300471,0.314238,1000000,0
,0.15,0.944619,0.000730526,0.0271662,2.2385e-05,-0.00183934,1.51562e-06,0.0256128,2.0928e-05,-0.00173417,1.41698e-06,0.187583,-0.0127007,0.321743,1000000,0
,0.2,0.944619,0.000730526,0.0268464,2.21215e-05,-0.00390099,3.21442e-06,0.0253113,2.06817e-05,-0.00367793,3.00521e-06,0.185375,-0.0269364,0.320522,1000000,0
,0.25,0.944619,0.000730526,0.0256342,2.11227e-05,-0.0067268,5.54291e-06,0.0241685,1.97479e-05,-0.00634216,5.18214e-06,0.177005,-0.0464487,0.316209,1000000,0
,0.3,0.944619,0.000730526,0.0240825,1.9844e-05,-0.0103672,8.5426e-06,0.0227054,1.85525e-05,-0.00977439,7.98659e-06,0.16629,-0.0715856,0.317399,1000000,0
,0.35,0.944619,0.000730526,0.0226288,1.86462e-05,-0.0147955,1.21916e-05,0.0213349,1.74326e-05,-0.0139495,1.13981e-05,0.156252,-0.102163,0.331284,1000000,0
,0.4,0.944619,0.000730526,0.0214835,1.77025e-05,-0.0199411,1.64315e-05,0.0202551,1.65503e-05,-0.0188009,1.53621e-05,0.148344,-0.137694,0.324598,1000000,0
,0.45,0.944619,0.000730526,0.0205809,1.69587e-05,-0.0258228,2.12781e-05,0.0194041,1.58549e-05,-0.0243463,1.98932e-05,0.142111,-0.178307,0.320341,1000000,0
,0.5,0.944619,0.000730526,0.019721,1.62501e-05,-0.0326151,2.68749e-05,0.0185933,1.51925e-05,-0.0307501,2.51257e-05,0.136174,-0.225208,0.325116,1000000,0
,0.55,0.944619,0.000730526,0.0186985,1.54077e-05,-0.0406618,3.35055e-05,0.0176294,1.44048e-05,-0.0383368,3.13247e-05,0.129114,-0.280771,0.321212,1000000,0
,0.6,0.944619,0.000730526,0.0174423,1.43725e-05,-0.0503393,4.14798e-05,0.016445,1.34371e-05,-0.0474609,3.878e-05,0.12044,-0.347594,0.320047,1000000,0
,0.65,0.944619,0.000730526,0.0160433,1.32197e-05,-0.0618851,5.09935e-05,0.0151259,1.23593e-05,-0.0583465,4.76745e-05,0.110779,-0.427318,0.325427,1000000,0
,0.7,0.944619,0.000730526,0.0146311,1.2056e-05,-0.0754263,6.21515e-05,0.0137945,1.12714e-05,-0.0711134,5.81063e-05,0.101028,-0.52082,0.320482,1000000,0
,0.75,0.944619,0.000730526,0.0133994,1.10411e-05,-0.090784,7.48063e-05,0.0126332,1.03225e-05,-0.085593,6.99374e-05,0.092523,-0.626865,0.325819,1000000,0
,0.8,0.944619,0.000730526,0.0125003,1.03003e-05,-0.107569,8.86371e-05,0.0117855,9.62987e-06,-0.101418,8.2868e-05,0.0863148,-0.742765,0.330374,1000000,0
