z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UC,err_BU_over_AU_times_Collins_UC,BL_over_AU_times_Collins_UC,err_BL_over_AU_times_Collins_UC,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UC,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.313457,9.42783e-05,0.00995475,5.36605e-06,0.00277142,1.20943e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.0880654,0.178715,-0.00325245,0.55195,2000000,0
,0.15,0.313457,9.42783e-05,0.0108901,5.87025e-06,0.00303184,1.32307e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.0963403,0.185506,-0.0127677,0.565157,2000000,0
,0.2,0.313457,9.42783e-05,0.0115938,6.24958e-06,0.00322775,1.40857e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.102566,0.184694,-0.0267319,0.565411,2000000,0
,0.25,0.313457,9.42783e-05,0.0121459,6.54715e-06,0.00338143,1.47564e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.107449,0.177105,-0.045921,0.565653,2000000,0
,0.3,0.313457,9.42783e-05,0.0128067,6.90337e-06,0.00356542,1.55592e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.113295,0.166675,-0.0707495,0.595508,2000000,0
,0.35,0.313457,9.42783e-05,0.01377,7.42265e-06,0.00383361,1.67296e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.121818,0.156818,-0.100978,0.551413,2000000,0
,0.4,0.313457,9.42783e-05,0.0151012,8.14021e-06,0.00420421,1.83469e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.133594,0.149122,-0.136061,0.569811,2000000,0
,0.45,0.313457,9.42783e-05,0.0167766,9.0433e-06,0.00467063,2.03823e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.148415,0.143326,-0.175937,0.592157,2000000,0
,0.5,0.313457,9.42783e-05,0.0187558,1.01102e-05,0.00522166,2.2787e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.165925,0.137965,-0.221783,0.570488,2000000,0
,0.55,0.313457,9.42783e-05,0.0210444,1.13439e-05,0.00585881,2.55675e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.186171,0.131477,-0.276032,0.56219,2000000,0
,0.6,0.313457,9.42783e-05,0.0237102,1.27808e-05,0.00660097,2.88062e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.209754,0.123132,-0.34159,0.583868,2000000,0
,0.65,0.313457,9.42783e-05,0.0268497,1.44732e-05,0.00747503,3.26205e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.237528,0.113513,-0.420399,0.56932,2000000,0
,0.7,0.313457,9.42783e-05,0.0305386,1.64616e-05,0.00850201,3.71022e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.270162,0.103541,-0.513611,0.575433,2000000,0
,0.75,0.313457,9.42783e-05,0.0347944,1.87557e-05,0.00968684,4.22727e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.307811,0.0945907,-0.620301,0.566826,2000000,0
,0.8,0.313457,9.42783e-05,0.0395579,2.13234e-05,0.011013,4.806e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.349952,0.0879464,-0.73744,0.568131,2000000,0
