z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.343136,0.000229916,0.0204488,1.95645e-05,-0.000360172,3.44596e-07,0.00630109,5.34481e-06,-0.000110983,9.41398e-08,0.179037,-0.00315344,0.322015,1000000,0
,0.15,0.343136,0.000229916,0.0212084,2.02912e-05,-0.00144809,1.38547e-06,0.00653515,5.54334e-06,-0.000446215,3.78495e-07,0.185688,-0.0126786,0.314287,1000000,0
,0.2,0.343136,0.000229916,0.0211031,2.01904e-05,-0.00304559,2.91388e-06,0.00650268,5.51581e-06,-0.000938466,7.9604e-07,0.184765,-0.0266653,0.31781,1000000,0
,0.25,0.343136,0.000229916,0.0202286,1.93538e-05,-0.00524062,5.01399e-06,0.00623323,5.28725e-06,-0.00161484,1.36977e-06,0.177109,-0.0458837,0.324012,1000000,0
,0.3,0.343136,0.000229916,0.0190337,1.82106e-05,-0.00807959,7.73018e-06,0.00586504,4.97494e-06,-0.00248964,2.1118e-06,0.166648,-0.0707399,0.314197,1000000,0
,0.35,0.343136,0.000229916,0.0179055,1.71312e-05,-0.0115355,1.10366e-05,0.00551739,4.68005e-06,-0.00355453,3.01508e-06,0.15677,-0.100998,0.314337,1000000,0
,0.4,0.343136,0.000229916,0.0170227,1.62865e-05,-0.0155471,1.48747e-05,0.00524535,4.44929e-06,-0.00479067,4.06362e-06,0.14904,-0.136121,0.32547,1000000,0
,0.45,0.343136,0.000229916,0.0163555,1.56482e-05,-0.0201082,1.92386e-05,0.00503976,4.2749e-06,-0.00619611,5.25576e-06,0.143198,-0.176055,0.319495,1000000,0
,0.5,0.343136,0.000229916,0.0157355,1.5055e-05,-0.0253543,2.42578e-05,0.00484873,4.11286e-06,-0.00781266,6.62698e-06,0.13777,-0.221987,0.320587,1000000,0
,0.55,0.343136,0.000229916,0.0149882,1.434e-05,-0.0315612,3.01963e-05,0.00461844,3.91752e-06,-0.00972524,8.24929e-06,0.131227,-0.27633,0.321948,1000000,0
,0.6,0.343136,0.000229916,0.0140295,1.34227e-05,-0.0390601,3.73709e-05,0.00432303,3.66695e-06,-0.0120359,1.02093e-05,0.122833,-0.341986,0.321891,1000000,0
,0.65,0.343136,0.000229916,0.0129267,1.23677e-05,-0.0480705,4.59916e-05,0.00398322,3.37871e-06,-0.0148124,1.25644e-05,0.113178,-0.420875,0.319521,1000000,0
,0.7,0.343136,0.000229916,0.0117856,1.12759e-05,-0.0587205,5.6181e-05,0.00363161,3.08046e-06,-0.0180941,1.5348e-05,0.103188,-0.51412,0.321728,1000000,0
,0.75,0.343136,0.000229916,0.0107633,1.02978e-05,-0.0709007,6.78345e-05,0.00331658,2.81324e-06,-0.0218473,1.85316e-05,0.0942364,-0.620763,0.319527,1000000,0
,0.8,0.343136,0.000229916,0.0100042,9.57155e-06,-0.0842681,8.06238e-05,0.00308269,2.61484e-06,-0.0259663,2.20255e-05,0.0875906,-0.737799,0.321713,1000000,0
