z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UC,err_BU_over_AU_times_Collins_UC,BL_over_AU_times_Collins_UC,err_BL_over_AU_times_Collins_UC,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UC,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.343136,0.000229916,0.0100734,9.63774e-06,0.003104,2.63292e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.0881962,0.179037,-0.00315344,0.322015,1000000,0
,0.15,0.343136,0.000229916,0.0110103,1.05342e-05,0.00339271,2.87781e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.0963994,0.185688,-0.0126786,0.314287,1000000,0
,0.2,0.343136,0.000229916,0.0117157,1.12091e-05,0.00361007,3.06219e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.102576,0.184765,-0.0266653,0.31781,1000000,0
,0.25,0.343136,0.000229916,0.0122712,1.17406e-05,0.00378125,3.20739e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.107439,0.177109,-0.0458837,0.324012,1000000,0
,0.3,0.343136,0.000229916,0.012939,1.23794e-05,0.00398701,3.38192e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.113286,0.166648,-0.0707399,0.314197,1000000,0
,0.35,0.343136,0.000229916,0.0139132,1.33115e-05,0.00428722,3.63657e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.121816,0.15677,-0.100998,0.314337,1000000,0
,0.4,0.343136,0.000229916,0.015259,1.45991e-05,0.00470189,3.98831e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.133598,0.14904,-0.136121,0.32547,1000000,0
,0.45,0.343136,0.000229916,0.0169527,1.62196e-05,0.00522379,4.43101e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.148427,0.143198,-0.176055,0.319495,1000000,0
,0.5,0.343136,0.000229916,0.0189535,1.81338e-05,0.00584032,4.95397e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.165945,0.13777,-0.221987,0.320587,1000000,0
,0.55,0.343136,0.000229916,0.0212682,2.03485e-05,0.00655357,5.55897e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.186211,0.131227,-0.27633,0.321948,1000000,0
,0.6,0.343136,0.000229916,0.023965,2.29286e-05,0.00738456,6.26385e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.209823,0.122833,-0.341986,0.321891,1000000,0
,0.65,0.343136,0.000229916,0.0271409,2.59672e-05,0.00836318,7.09395e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.237629,0.113178,-0.420875,0.319521,1000000,0
,0.7,0.343136,0.000229916,0.0308716,2.95365e-05,0.00951274,8.06905e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.270292,0.103188,-0.51412,0.321728,1000000,0
,0.75,0.343136,0.000229916,0.0351738,3.36527e-05,0.0108384,9.19355e-06,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.30796,0.0942364,-0.620763,0.319527,1000000,0
,0.8,0.343136,0.000229916,0.0399877,3.82584e-05,0.0123218,1.04518e-05,1.83517e-09,9.90785e-13,3.31762e-10,2.6205e-13,6.29714e-10,2.49894e-13,1.02229e-10,6.68818e-14,0.350107,0.0875906,-0.737799,0.321713,1000000,0
