z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.313457,9.42783e-05,0.0393137,2.11918e-05,-0.000395264,2.13065e-07,0.010945,4.77634e-06,-0.000110042,4.80218e-08,0.347792,-0.00349673,0.546614,2000000,0
,0.15,0.313457,9.42783e-05,0.0388662,2.09506e-05,-0.00144538,7.79124e-07,0.0108204,4.72196e-06,-0.000402398,1.75604e-07,0.343832,-0.0127867,0.545467,2000000,0
,0.2,0.313457,9.42783e-05,0.0391551,2.11063e-05,-0.00301593,1.62572e-06,0.0109009,4.75706e-06,-0.000839643,3.66415e-07,0.346388,-0.0266807,0.534997,2000000,0
,0.25,0.313457,9.42783e-05,0.0401357,2.16349e-05,-0.00488588,2.63371e-06,0.0111739,4.8762e-06,-0.00136024,5.936e-07,0.355063,-0.0432233,0.558419,2000000,0
,0.3,0.313457,9.42783e-05,0.0414395,2.23377e-05,-0.0068516,3.69331e-06,0.0115369,5.03461e-06,-0.0019075,8.32421e-07,0.366598,-0.0606132,0.566838,2000000,0
,0.35,0.313457,9.42783e-05,0.0427366,2.30369e-05,-0.00881364,4.75094e-06,0.011898,5.19219e-06,-0.00245374,1.07079e-06,0.378073,-0.0779705,0.540338,2000000,0
,0.4,0.313457,9.42783e-05,0.0438687,2.36472e-05,-0.0107615,5.80094e-06,0.0122132,5.32974e-06,-0.00299604,1.30745e-06,0.388088,-0.0952028,0.541999,2000000,0
,0.45,0.313457,9.42783e-05,0.0448573,2.418e-05,-0.0126936,6.8424e-06,0.0124884,5.44984e-06,-0.00353393,1.54218e-06,0.396833,-0.112295,0.54402,2000000,0
,0.5,0.313457,9.42783e-05,0.045842,2.47109e-05,-0.0145235,7.82878e-06,0.0127625,5.56948e-06,-0.00404336,1.7645e-06,0.405545,-0.128483,0.545566,2000000,0
,0.55,0.313457,9.42783e-05,0.0469753,2.53218e-05,-0.0160416,8.64714e-06,0.013078,5.70717e-06,-0.00446602,1.94894e-06,0.415571,-0.141913,0.539067,2000000,0
,0.6,0.313457,9.42783e-05,0.0483306,2.60523e-05,-0.016964,9.14433e-06,0.0134553,5.87182e-06,-0.00472281,2.061e-06,0.42756,-0.150073,0.551108,2000000,0
,0.65,0.313457,9.42783e-05,0.0498495,2.68711e-05,-0.0170747,9.20403e-06,0.0138782,6.05636e-06,-0.00475364,2.07446e-06,0.440998,-0.151053,0.552311,2000000,0
,0.7,0.313457,9.42783e-05,0.051443,2.77301e-05,-0.0162149,8.74056e-06,0.0143219,6.24996e-06,-0.00451428,1.97e-06,0.455095,-0.143447,0.550351,2000000,0
,0.75,0.313457,9.42783e-05,0.0529743,2.85554e-05,-0.0144246,7.77549e-06,0.0147482,6.436e-06,-0.00401584,1.75249e-06,0.468641,-0.127608,0.550386,2000000,0
,0.8,0.313457,9.42783e-05,0.0543142,2.92777e-05,-0.011955,6.44428e-06,0.0151212,6.59879e-06,-0.0033283,1.45245e-06,0.480495,-0.105761,0.525681,2000000,0
