        Q2    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
     94.14       0.128251     7.2071e-05        0.15725    8.71544e-05     -0.0547439    3.05948e-05     -0.0126052    5.44249e-06    -0.00152203    5.34607e-06    -0.00753812    4.83856e-06     0.00753812    4.83856e-06      0.0106334    5.35854e-06      0.0106334    5.35854e-06    -0.00105227    5.49436e-07    0.000833712     3.5415e-07   -0.000833712     3.5415e-07    5.21406e-05    1.60527e-08    3.34354e-06    1.57184e-09    8.19911e-06    3.77869e-09   -2.85438e-06    1.33135e-09   -3.28621e-07    9.94784e-11   -2.93697e-07    1.02763e-09   -1.45458e-06    8.19258e-10    1.45458e-06    8.19258e-10    2.05185e-06      8.186e-10    2.05185e-06      8.186e-10    -2.0305e-07    8.56301e-11    1.60876e-07    4.70842e-11   -1.60876e-07    4.70842e-11        25.7315  10000000         1
   102.554       0.121367    6.59168e-05       0.157204    8.06063e-05     -0.0561842    3.01406e-05     -0.0134482    5.35092e-06    -0.00169176    5.04114e-06    -0.00694229    4.46757e-06     0.00694229    4.46757e-06      0.0108051    5.01355e-06      0.0108051    5.01355e-06    -0.00106126    5.31362e-07    0.000884145    3.45902e-07   -0.000884145    3.45902e-07    4.42145e-05    1.25402e-08     2.6831e-06    1.24276e-09    6.95068e-06    2.96911e-09   -2.48416e-06    1.13117e-09   -2.97303e-07    8.29659e-11   -2.77038e-07    8.21773e-10   -1.13685e-06    6.56709e-10    1.13685e-06    6.56709e-10    1.76941e-06    6.49769e-10    1.76941e-06    6.49769e-10   -1.73788e-07    7.17072e-11    1.44785e-07     3.9016e-11   -1.44785e-07     3.9016e-11        24.6807  10000000         1
   110.968       0.114907    7.10905e-05       0.156937     8.8829e-05      -0.057552    3.28119e-05     -0.0142804    6.21219e-06    -0.00180349    5.49663e-06    -0.00640072    4.85303e-06     0.00640072    4.85303e-06       0.010954    5.61968e-06       0.010954    5.61968e-06     -0.0010692     5.8077e-07    0.000933699    4.01135e-07   -0.000933699    4.01135e-07    3.78946e-05    1.19227e-08    2.17717e-06    1.15979e-09    5.94708e-06    2.79819e-09   -2.18091e-06    1.03692e-09   -2.70574e-07    8.12845e-11   -2.53296e-07    7.67863e-10   -8.98966e-07    6.20141e-10    8.98966e-07    6.20141e-10    1.53846e-06     6.2342e-10    1.53846e-06     6.2342e-10   -1.50167e-07    6.64911e-11    1.31136e-07    3.83631e-11   -1.31136e-07    3.83631e-11        26.3193  10000000         1
   119.382        0.10883    6.31432e-05       0.156504    7.88362e-05     -0.0588511    3.09954e-05     -0.0151024    5.83069e-06    -0.00186979    4.88156e-06    -0.00590576    4.37309e-06     0.00590576    4.37309e-06      0.0110836    5.03955e-06      0.0110836    5.03955e-06    -0.00107612    5.40225e-07    0.000982449    3.74349e-07   -0.000982449    3.74349e-07    3.27781e-05    9.14221e-09    1.78363e-06    9.07443e-10     5.1299e-06    2.15184e-09   -1.92903e-06    8.61814e-10   -2.47514e-07    6.60747e-11   -2.27295e-07    5.90017e-10   -7.17917e-07    4.92449e-10    7.17917e-07    4.92449e-10    1.34734e-06     4.8382e-10    1.34734e-06     4.8382e-10   -1.30815e-07    5.46025e-11    1.19429e-07    3.10048e-11   -1.19429e-07    3.10048e-11        24.0263  10000000         1
   127.796       0.103116    6.62704e-05       0.155946    8.31705e-05     -0.0600848    3.28408e-05      -0.015915    6.49653e-06    -0.00190209    5.11098e-06    -0.00545248     4.6217e-06     0.00545248     4.6217e-06      0.0111974    5.40539e-06      0.0111974    5.40539e-06    -0.00108211    5.74575e-07     0.00103047    4.15952e-07    -0.00103047    4.15952e-07    2.85836e-05    8.48326e-09    1.47372e-06    8.40083e-10     4.4575e-06    1.97521e-09   -1.71744e-06    7.88265e-10   -2.27454e-07     6.3746e-11    -2.0175e-07    5.38793e-10   -5.78331e-07    4.59182e-10    5.78331e-07    4.59182e-10    1.18769e-06    4.52179e-10    1.18769e-06    4.52179e-10   -1.14777e-07    5.05348e-11    1.09299e-07    2.99036e-11   -1.09299e-07    2.99036e-11        26.2454  10000000         1
    136.21      0.0977263    6.56327e-05       0.155296    8.42882e-05     -0.0612538    3.29904e-05     -0.0167184     6.8924e-06    -0.00190712    5.01154e-06    -0.00503497    4.60681e-06     0.00503497    4.60681e-06      0.0112976    5.56188e-06      0.0112976    5.56188e-06    -0.00108712    5.75149e-07     0.00107777    4.41601e-07    -0.00107777    4.41601e-07     2.5106e-05    7.62649e-09    1.22676e-06    7.34792e-10    3.89887e-06    1.75366e-09   -1.53784e-06    6.83944e-10   -2.09866e-07     5.8494e-11   -1.77769e-07    4.64011e-10   -4.69326e-07    4.05059e-10    4.69326e-07    4.05059e-10    1.05309e-06    4.07978e-10    1.05309e-06    4.07978e-10   -1.01334e-07    4.38934e-11    1.00463e-07    2.76237e-11   -1.00463e-07    2.76237e-11        26.9811  10000000         1
   144.624      0.0926272    6.37026e-05       0.154579    8.11904e-05     -0.0623619     3.3608e-05     -0.0175132    6.96992e-06    -0.00189218    4.94561e-06    -0.00464904    4.51331e-06     0.00464904    4.51331e-06      0.0113865    5.40678e-06      0.0113865    5.40678e-06    -0.00109127    5.80732e-07     0.00112444    4.44568e-07    -0.00112444    4.44568e-07    2.21949e-05    6.50928e-09    1.02792e-06    6.39433e-10    3.43086e-06    1.49493e-09   -1.38411e-06    6.25799e-10   -1.94352e-07    5.22861e-11   -1.56002e-07    4.05168e-10   -3.83292e-07    3.54716e-10    3.83292e-07    3.54716e-10    9.38765e-07    3.50579e-10    9.38765e-07    3.50579e-10     -8.997e-08    3.99517e-11    9.27049e-08    2.45806e-11   -9.27049e-08    2.45806e-11        23.2107  10000000         1
   153.038      0.0878154    6.39061e-05        0.15381    8.09171e-05     -0.0634143    3.45784e-05     -0.0182999    7.32381e-06    -0.00186015    4.91247e-06     -0.0042922    4.54965e-06      0.0042922    4.54965e-06      0.0114653    5.46627e-06      0.0114653    5.46627e-06    -0.00109462    5.95394e-07      0.0011705    4.65433e-07     -0.0011705    4.65433e-07     1.9734e-05    5.82137e-09    8.66473e-07    5.76432e-10    3.03529e-06    1.32216e-09   -1.25141e-06    5.73889e-10   -1.80565e-07    4.88352e-11   -1.36419e-07    3.58014e-10    -3.1478e-07    3.20479e-10     3.1478e-07    3.20479e-10    8.40841e-07    3.14933e-10    8.40841e-07    3.14933e-10   -8.02767e-08    3.66855e-11    8.58414e-08    2.28884e-11   -8.58414e-08    2.28884e-11        21.7397  10000000         1
   161.452      0.0832788    6.50493e-05       0.153003    8.05388e-05      -0.064417    3.53173e-05     -0.0190792    7.74799e-06    -0.00181526    4.79408e-06     -0.0039622    4.63956e-06      0.0039622    4.63956e-06      0.0115355    5.55457e-06      0.0115355    5.55457e-06    -0.00109731    6.08683e-07     0.00121599     4.8975e-07    -0.00121599     4.8975e-07    1.76373e-05     5.2452e-09    7.34408e-07    5.30444e-10    2.69856e-06    1.17207e-09   -1.13614e-06    5.23301e-10   -1.68253e-07     4.6528e-11   -1.19033e-07    3.12367e-10   -2.59816e-07    2.94258e-10    2.59816e-07    2.94258e-10    7.56424e-07    2.86465e-10    7.56424e-07    2.86465e-10   -7.19551e-08    3.36926e-11    7.97374e-08    2.16573e-11   -7.97374e-08    2.16573e-11         22.642  10000000         1
   169.866      0.0789255    6.60176e-05       0.152179    8.24199e-05     -0.0653561    3.64608e-05     -0.0198499    8.16945e-06    -0.00176178    4.92074e-06    -0.00365101    4.75357e-06     0.00365101    4.75357e-06      0.0115983    5.70105e-06      0.0115983    5.70105e-06    -0.00109899    6.26744e-07      0.0012609    5.16542e-07     -0.0012609    5.16542e-07    1.58395e-05    4.83461e-09     6.2507e-07     4.8679e-10    2.41043e-06    1.07843e-09   -1.03521e-06    4.83417e-10   -1.57206e-07    4.34015e-11   -1.03792e-07     2.8816e-10   -2.15092e-07    2.72244e-10    2.15092e-07    2.72244e-10     6.8329e-07    2.63269e-10     6.8329e-07    2.63269e-10   -6.47449e-08      3.119e-11    7.42836e-08    2.02972e-11   -7.42836e-08    2.02972e-11        18.7421  10000000         1
    178.28       0.074846    6.63513e-05       0.151329    8.17375e-05     -0.0662558    3.70227e-05     -0.0206149    8.59991e-06    -0.00169929    4.81788e-06    -0.00336455    4.76067e-06     0.00336455    4.76067e-06      0.0116545    5.78668e-06      0.0116545    5.78668e-06    -0.00110024    6.36356e-07     0.00130535    5.40972e-07    -0.00130535    5.40972e-07    1.42861e-05    4.38202e-09    5.34631e-07    4.44678e-10    2.16191e-06    9.61154e-10    -9.4654e-07    4.42102e-10   -1.47254e-07    4.16355e-11   -9.03269e-08    2.54594e-10   -1.78845e-07    2.47039e-10    1.78845e-07    2.47039e-10    6.19503e-07    2.41881e-10    6.19503e-07    2.41881e-10   -5.84838e-08    2.86774e-11    6.93866e-08     1.9337e-11   -6.93866e-08     1.9337e-11        13.8684  10000000         1
   186.694      0.0709235    6.22497e-05       0.150471    7.35027e-05     -0.0671018    3.64203e-05     -0.0213722    8.10776e-06    -0.00163075    4.49165e-06    -0.00309304    4.50037e-06     0.00309304    4.50037e-06      0.0117046    5.22718e-06      0.0117046    5.22718e-06    -0.00110064     6.2192e-07     0.00134927    5.06386e-07    -0.00134927    5.06386e-07    1.29365e-05    3.56733e-09    4.58751e-07    3.82259e-10    1.94657e-06    7.84868e-10   -8.68063e-07    4.05812e-10   -1.38241e-07    3.60149e-11   -7.85223e-08    2.15191e-10   -1.48933e-07     2.1277e-10    1.48933e-07     2.1277e-10    5.63589e-07    1.97981e-10    5.63589e-07    1.97981e-10   -5.29968e-08    2.61379e-11    6.49686e-08    1.65397e-11   -6.49686e-08    1.65397e-11        14.4513  10000000         1
   195.108      0.0671938    6.21814e-05        0.14961    7.22112e-05     -0.0679013    3.70378e-05     -0.0221228     8.3269e-06    -0.00155796    4.44353e-06    -0.00283899     4.5027e-06     0.00283899     4.5027e-06      0.0117497    5.19231e-06      0.0117497    5.19231e-06    -0.00110042     6.3166e-07     0.00139272    5.18212e-07    -0.00139272    5.18212e-07    1.17575e-05    3.20804e-09    3.95016e-07    3.49298e-10    1.75903e-06    7.00346e-10    -7.9835e-07    3.77075e-10   -1.30054e-07    3.37203e-11   -6.82029e-08    1.93633e-10   -1.24283e-07    1.94176e-10    1.24283e-07    1.94176e-10    5.14369e-07    1.78802e-10    5.14369e-07    1.78802e-10   -4.81731e-08    2.43285e-11    6.09691e-08    1.54242e-11   -6.09691e-08    1.54242e-11          14.77  10000000         1
   203.522      0.0636311    6.31713e-05       0.148748    7.32357e-05     -0.0686549    3.82339e-05     -0.0228668    8.82487e-06    -0.00148155    4.50476e-06    -0.00259959    4.56906e-06     0.00259959    4.56906e-06      0.0117902    5.33898e-06      0.0117902    5.33898e-06    -0.00109955    6.51261e-07     0.00143571    5.48134e-07    -0.00143571    5.48134e-07    1.07222e-05    3.00416e-09    3.41134e-07    3.24902e-10    1.59491e-06    6.45703e-10   -7.36134e-07    3.54291e-10   -1.22592e-07    3.25358e-11   -5.91657e-08    1.79132e-10   -1.03814e-07    1.80132e-10    1.03814e-07    1.80132e-10    4.70841e-07      1.675e-10    4.70841e-07      1.675e-10   -4.39105e-08    2.29141e-11    5.73349e-08    1.48695e-11   -5.73349e-08    1.48695e-11        25.6454  10000000         1
   211.936      0.0602243    6.57195e-05       0.147889    7.48069e-05     -0.0693626    3.97527e-05     -0.0236047     9.3695e-06    -0.00140288    4.61643e-06     -0.0023738    4.76107e-06      0.0023738    4.76107e-06      0.0118267    5.50295e-06      0.0118267    5.50295e-06    -0.00109805    6.80258e-07     0.00147827    5.80065e-07    -0.00147827    5.80065e-07    9.80874e-06    2.81668e-09    2.95362e-07    3.10953e-10    1.45061e-06    6.04058e-10   -6.80359e-07    3.37447e-10   -1.15766e-07    3.17241e-11   -5.12659e-08    1.68057e-10   -8.67466e-08    1.72193e-10    8.67466e-08    1.72193e-10    4.32187e-07    1.58232e-10    4.32187e-07    1.58232e-10   -4.01265e-08    2.20271e-11    5.40211e-08    1.44462e-11   -5.40211e-08    1.44462e-11        21.5663  10000000         1
