z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0443683,2.03793e-05,0.000578688,2.07965e-07,0.0443683,2.03793e-05,0.000578688,2.07965e-07,-0.0106387,4.88661e-06,-0.000138759,4.98664e-08,-0.0106387,4.88661e-06,-0.000138759,4.98664e-08,0.148921,6.84025e-05,0.00194235,6.98028e-07,0.471566,0.471566,-0.113073,-0.113073,124.079,40000000,0
,0.15,0.0445972,8.26512e-05,0.00057686,8.17645e-07,0.0445972,8.26512e-05,0.00057686,8.17645e-07,-0.0119108,2.20741e-05,-0.000154065,2.18373e-07,-0.0119108,2.20741e-05,-0.000154065,2.18373e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.471641,0.471641,-0.125964,-0.125964,31.0197,10000000,0
,0.2,0.044859,8.31363e-05,0.000580243,8.22442e-07,0.044859,8.31363e-05,0.000580243,8.22442e-07,-0.0142366,2.63845e-05,-0.000184148,2.61013e-07,-0.0142366,2.63845e-05,-0.000184148,2.61013e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.474409,0.474409,-0.15056,-0.15056,30.5216,10000000,0
,0.25,0.0453195,8.39898e-05,0.000586197,8.30883e-07,0.0453195,8.39898e-05,0.000586197,8.30883e-07,-0.017553,3.25306e-05,-0.000227044,3.21815e-07,-0.017553,3.25306e-05,-0.000227044,3.21815e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.479279,0.479279,-0.185633,-0.185633,31.0334,10000000,0
,0.3,0.0458371,8.49491e-05,0.00059289,8.40371e-07,0.0458371,8.49491e-05,0.00059289,8.40371e-07,-0.0215722,3.99794e-05,-0.00027903,3.95502e-07,-0.0215722,3.99794e-05,-0.00027903,3.95502e-07,0.149665,0.000277372,0.00193588,2.74394e-06,0.484753,0.484753,-0.228138,-0.228138,31.1292,10000000,0
,0.35,0.0463203,8.58448e-05,0.00059914,8.4923e-07,0.0463203,8.58448e-05,0.00059914,8.4923e-07,-0.0260142,4.82118e-05,-0.000336486,4.76941e-07,-0.0260142,4.82118e-05,-0.000336486,4.76941e-07,0.149665,0.000277372,0.00193587,2.74394e-06,0.489864,0.489864,-0.275116,-0.275116,31.2039,10000000,0
,0.4,0.0467463,8.66343e-05,0.000604648,8.5704e-07,0.0467463,8.66343e-05,0.000604648,8.5704e-07,-0.0306849,5.6868e-05,-0.000396899,5.62572e-07,-0.0306849,5.6868e-05,-0.000396899,5.62572e-07,0.149665,0.000277372,0.00193587,2.74394e-06,0.494369,0.494369,-0.324511,-0.324511,31.3262,10000000,0
,0.45,0.0471287,8.73429e-05,0.000609592,8.64048e-07,0.0471287,8.73429e-05,0.000609592,8.64048e-07,-0.0355352,6.5857e-05,-0.000459635,6.51496e-07,-0.0355352,6.5857e-05,-0.000459635,6.51496e-07,0.149665,0.000277372,0.00193586,2.74393e-06,0.498413,0.498413,-0.375806,-0.375806,31.019,10000000,0
,0.5,0.04748,8.79941e-05,0.000614135,8.70489e-07,0.04748,8.79941e-05,0.000614135,8.70489e-07,-0.0406352,7.53088e-05,-0.000525601,7.44998e-07,-0.0406352,7.53088e-05,-0.000525601,7.44998e-07,0.149665,0.000277373,0.00193586,2.74393e-06,0.502128,0.502128,-0.429741,-0.429741,31.1714,10000000,0
,0.55,0.0477898,8.85682e-05,0.00061814,8.76167e-07,0.0477898,8.85682e-05,0.00061814,8.76167e-07,-0.0460691,8.53792e-05,-0.000595884,8.4462e-07,-0.0460691,8.53792e-05,-0.000595884,8.4462e-07,0.149665,0.000277373,0.00193586,2.74393e-06,0.505404,0.505404,-0.487207,-0.487207,30.8242,10000000,0
,0.6,0.0480258,8.90056e-05,0.000621192,8.80493e-07,0.0480258,8.90056e-05,0.000621192,8.80493e-07,-0.0518293,9.60546e-05,-0.000670388,9.50225e-07,-0.0518293,9.60546e-05,-0.000670388,9.50225e-07,0.149665,0.000277373,0.00193585,2.74392e-06,0.5079,0.5079,-0.548124,-0.548124,31.1158,10000000,0
,0.65,0.0481583,8.92513e-05,0.000622906,8.82923e-07,0.0481583,8.92513e-05,0.000622906,8.82923e-07,-0.057751,0.000107029,-0.000746982,1.05879e-06,-0.057751,0.000107029,-0.000746982,1.05879e-06,0.149665,0.000277373,0.00193585,2.74392e-06,0.509302,0.509302,-0.61075,-0.61075,31.6586,10000000,0
,0.7,0.0481735,8.92794e-05,0.0006231,8.83199e-07,0.0481735,8.92794e-05,0.0006231,8.83199e-07,-0.0635331,0.000117745,-0.00082177,1.1648e-06,-0.0635331,0.000117745,-0.00082177,1.1648e-06,0.149665,0.000277373,0.00193585,2.74392e-06,0.509462,0.509462,-0.671899,-0.671899,31.2686,10000000,0
,0.75,0.0480842,8.91139e-05,0.000621944,8.81561e-07,0.0480842,8.91139e-05,0.000621944,8.81561e-07,-0.0686645,0.000127255,-0.00088814,1.25888e-06,-0.0686645,0.000127255,-0.00088814,1.25888e-06,0.149665,0.000277373,0.00193584,2.74392e-06,0.508518,0.508518,-0.726167,-0.726167,31.1735,10000000,0
,0.8,0.0479219,8.88131e-05,0.000619844,8.78585e-07,0.0479219,8.88131e-05,0.000619844,8.78585e-07,-0.0724303,0.000134234,-0.000936848,1.32792e-06,-0.0724303,0.000134234,-0.000936848,1.32792e-06,0.149665,0.000277373,0.00193584,2.74392e-06,0.506801,0.506801,-0.765992,-0.765992,31.0583,10000000,0
