z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0332655,1.19875e-05,0.000434749,1.23844e-07,0.0332655,1.19875e-05,0.000434749,1.23844e-07,-0.000374368,1.34907e-07,-4.89265e-06,1.39374e-09,-0.000374368,1.34907e-07,-4.89265e-06,1.39374e-09,0.148694,5.35832e-05,0.0019433,5.53575e-07,0.354099,0.354099,-0.00398501,-0.00398501,187.079,60000000,0
,0.15,0.0327486,1.85498e-05,0.000428138,1.89842e-07,0.0327486,1.85498e-05,0.000428138,1.89842e-07,-0.00121297,6.87064e-07,-1.58577e-05,7.03152e-09,-0.00121297,6.87064e-07,-1.58577e-05,7.03152e-09,0.148928,8.43578e-05,0.00194702,8.63331e-07,0.348048,0.348048,-0.0128913,-0.0128913,93.488,30000000,0
,0.2,0.0328326,1.85917e-05,0.000429119,1.90117e-07,0.0328326,1.85917e-05,0.000429119,1.90117e-07,-0.00251768,1.42566e-06,-3.29058e-05,1.45786e-08,-0.00251768,1.42566e-06,-3.29058e-05,1.45786e-08,0.148937,8.43366e-05,0.00194659,8.62416e-07,0.348922,0.348922,-0.0267562,-0.0267562,93.2053,30000000,0
,0.25,0.0335611,1.8992e-05,0.00043868,1.94098e-07,0.0335611,1.8992e-05,0.00043868,1.94098e-07,-0.00409916,2.31969e-06,-5.35805e-05,2.37073e-08,-0.00409916,2.31969e-06,-5.35805e-05,2.37073e-08,0.148938,8.42834e-05,0.00194679,8.61376e-07,0.356659,0.356659,-0.0435625,-0.0435625,94.044,30000000,0
,0.3,0.0346103,1.95648e-05,0.000452411,1.99857e-07,0.0346103,1.95648e-05,0.000452411,1.99857e-07,-0.00577354,3.26371e-06,-7.54691e-05,3.33393e-08,-0.00577354,3.26371e-06,-7.54691e-05,3.33393e-08,0.14894,8.41938e-05,0.00194687,8.60051e-07,0.367807,0.367807,-0.0613559,-0.0613559,94.0585,30000000,0
,0.35,0.0356741,2.01452e-05,0.00046631,2.05698e-07,0.0356741,2.01452e-05,0.00046631,2.05698e-07,-0.00744972,4.20685e-06,-9.73782e-05,4.29554e-08,-0.00744972,4.20685e-06,-9.73782e-05,4.29554e-08,0.14894,8.41062e-05,0.00194685,8.58792e-07,0.379112,0.379112,-0.0791688,-0.0791688,92.2573,30000000,0
,0.4,0.0365893,2.06426e-05,0.000478261,2.10705e-07,0.0365893,2.06426e-05,0.000478261,2.10705e-07,-0.00912417,5.14758e-06,-0.000119262,5.25428e-08,-0.00912417,5.14758e-06,-0.000119262,5.25428e-08,0.148939,8.40272e-05,0.0019468,8.5769e-07,0.388839,0.388839,-0.0969635,-0.0969635,94.1282,30000000,0
,0.45,0.0373599,2.10584e-05,0.00048832,2.14876e-07,0.0373599,2.10584e-05,0.00048832,2.14876e-07,-0.010811,6.09373e-06,-0.000141307,6.21795e-08,-0.010811,6.09373e-06,-0.000141307,6.21795e-08,0.148939,8.39515e-05,0.00194674,8.56629e-07,0.397028,0.397028,-0.114889,-0.114889,90.6959,30000000,0
,0.5,0.0381054,2.14598e-05,0.000498057,2.18911e-07,0.0381054,2.14598e-05,0.000498057,2.18911e-07,-0.0124506,7.01179e-06,-0.000162735,7.1527e-08,-0.0124506,7.01179e-06,-0.000162735,7.1527e-08,0.148939,8.38783e-05,0.00194671,8.55639e-07,0.40495,0.40495,-0.132313,-0.132313,94.0892,30000000,0
,0.55,0.038972,2.19264e-05,0.00050938,2.23604e-07,0.038972,2.19264e-05,0.00050938,2.23604e-07,-0.0138664,7.8015e-06,-0.00018124,7.95594e-08,-0.0138664,7.8015e-06,-0.00018124,7.95594e-08,0.14894,8.37961e-05,0.0019467,8.54549e-07,0.414159,0.414159,-0.14736,-0.14736,94.2928,30000000,0
,0.6,0.0400448,2.25006e-05,0.000523406,2.29373e-07,0.0400448,2.25006e-05,0.000523406,2.29373e-07,-0.0147988,8.31524e-06,-0.000193428,8.47665e-08,-0.0147988,8.31524e-06,-0.000193428,8.47665e-08,0.14894,8.36871e-05,0.00194672,8.53116e-07,0.425559,0.425559,-0.157268,-0.157268,93.807,30000000,0
,0.65,0.0412887,2.31619e-05,0.000539675,2.36018e-07,0.0412887,2.31619e-05,0.000539675,2.36018e-07,-0.0150282,8.43048e-06,-0.000196431,8.59058e-08,-0.0150282,8.43048e-06,-0.000196431,8.59058e-08,0.14894,8.35518e-05,0.00194676,8.51385e-07,0.438777,0.438777,-0.159706,-0.159706,94.2566,30000000,0
,0.7,0.0426293,2.38642e-05,0.000557217,2.43054e-07,0.0426293,2.38642e-05,0.000557217,2.43054e-07,-0.0143809,8.05051e-06,-0.000187976,8.19937e-08,-0.0143809,8.05051e-06,-0.000187976,8.19937e-08,0.148941,8.3378e-05,0.00194684,8.49197e-07,0.453022,0.453022,-0.152826,-0.152826,94.2629,30000000,0
,0.75,0.0441527,8.18273e-05,0.000571112,8.09497e-07,0.0441527,8.18273e-05,0.000571112,8.09497e-07,-0.0129311,2.39649e-05,-0.000167263,2.37079e-07,-0.0129311,2.39649e-05,-0.000167263,2.37079e-07,0.149665,0.000277372,0.00193591,2.74397e-06,0.46694,0.46694,-0.136754,-0.136754,31.2153,10000000,0
,0.8,0.045321,8.39925e-05,0.000586222,8.30915e-07,0.045321,8.39925e-05,0.000586222,8.30915e-07,-0.0107362,1.98972e-05,-0.000138871,1.96837e-07,-0.0107362,1.98972e-05,-0.000138871,1.96837e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.479295,0.479295,-0.113541,-0.113541,31.2033,10000000,0
