z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0339754,6.29663e-05,0.000439452,6.22893e-07,0.0339754,6.29663e-05,0.000439452,6.22893e-07,-0.00321624,5.96063e-06,-4.16002e-05,5.89655e-08,-0.00321624,5.96063e-06,-4.16002e-05,5.89655e-08,0.149665,0.000277373,0.00193583,2.74391e-06,0.359309,0.359309,-0.0340136,-0.0340136,31.1961,10000000,0
,0.15,0.0334743,6.20369e-05,0.000433008,6.13733e-07,0.0334743,6.20369e-05,0.000433008,6.13733e-07,-0.00398042,7.3768e-06,-5.14889e-05,7.2979e-08,-0.00398042,7.3768e-06,-5.14889e-05,7.2979e-08,0.149665,0.000277371,0.001936,2.74404e-06,0.354009,0.354009,-0.0420952,-0.0420952,30.9307,10000000,0
,0.2,0.0336428,6.23492e-05,0.000435198,6.16831e-07,0.0336428,6.23492e-05,0.000435198,6.16831e-07,-0.00532193,9.86295e-06,-6.88435e-05,9.75759e-08,-0.00532193,9.86295e-06,-6.88435e-05,9.75759e-08,0.149665,0.00027737,0.00193605,2.74407e-06,0.355792,0.355792,-0.0562823,-0.0562823,31.0353,10000000,0
,0.25,0.03446,6.38637e-05,0.000445762,6.31808e-07,0.03446,6.38637e-05,0.000445762,6.31808e-07,-0.00704686,1.30597e-05,-9.11557e-05,1.29201e-07,-0.00704686,1.30597e-05,-9.11557e-05,1.29201e-07,0.149665,0.00027737,0.00193602,2.74405e-06,0.364434,0.364434,-0.0745245,-0.0745245,30.8916,10000000,0
,0.3,0.0355919,6.59616e-05,0.000460397,6.52557e-07,0.0355919,6.59616e-05,0.000460397,6.52557e-07,-0.00892439,1.65393e-05,-0.000115441,1.63623e-07,-0.00892439,1.65393e-05,-0.000115441,1.63623e-07,0.149665,0.000277371,0.00193599,2.74402e-06,0.376405,0.376405,-0.0943805,-0.0943805,31.1578,10000000,0
,0.35,0.036733,6.80764e-05,0.000475152,6.73474e-07,0.036733,6.80764e-05,0.000475152,6.73474e-07,-0.0108164,2.00458e-05,-0.000139913,1.98311e-07,-0.0108164,2.00458e-05,-0.000139913,1.98311e-07,0.149665,0.000277371,0.00193596,2.74401e-06,0.388473,0.388473,-0.11439,-0.11439,30.6185,10000000,0
,0.4,0.037726,6.99168e-05,0.000487993,6.91677e-07,0.037726,6.99168e-05,0.000487993,6.91677e-07,-0.0126907,2.35195e-05,-0.000164157,2.32675e-07,-0.0126907,2.35195e-05,-0.000164157,2.32675e-07,0.149665,0.000277371,0.00193595,2.74399e-06,0.398974,0.398974,-0.134212,-0.134212,31.2076,10000000,0
,0.45,0.0384186,3.08887e-05,0.00050181,3.13097e-07,0.0384186,3.08887e-05,0.00050181,3.13097e-07,-0.0145001,1.16581e-05,-0.000189395,1.1817e-07,-0.0145001,1.16581e-05,-0.000189395,1.1817e-07,0.149053,0.000119839,0.00194688,1.21473e-06,0.407967,0.407967,-0.153977,-0.153977,62.5232,20000000,0
,0.5,0.0392334,3.15253e-05,0.000512449,3.195e-07,0.0392334,3.15253e-05,0.000512449,3.195e-07,-0.0163162,1.31106e-05,-0.000213115,1.32872e-07,-0.0163162,1.31106e-05,-0.000213115,1.32872e-07,0.149053,0.000119769,0.00194687,1.21383e-06,0.416619,0.416619,-0.173262,-0.173262,62.7364,20000000,0
,0.55,0.0403066,7.46994e-05,0.000521364,7.38982e-07,0.0403066,7.46994e-05,0.000521364,7.38982e-07,-0.0180102,3.33779e-05,-0.000232961,3.302e-07,-0.0180102,3.33779e-05,-0.000232961,3.302e-07,0.149665,0.000277372,0.00193591,2.74397e-06,0.426265,0.426265,-0.190468,-0.190468,30.4615,10000000,0
,0.6,0.0413749,7.66793e-05,0.000535181,7.58568e-07,0.0413749,7.66793e-05,0.000535181,7.58568e-07,-0.0191956,3.55749e-05,-0.000248294,3.51933e-07,-0.0191956,3.55749e-05,-0.000248294,3.51933e-07,0.149665,0.000277372,0.00193591,2.74396e-06,0.437563,0.437563,-0.203005,-0.203005,31.0683,10000000,0
,0.65,0.0425531,7.88629e-05,0.00055042,7.80169e-07,0.0425531,7.88629e-05,0.00055042,7.80169e-07,-0.0197114,3.65308e-05,-0.000254965,3.61389e-07,-0.0197114,3.65308e-05,-0.000254965,3.61389e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.450024,0.450024,-0.208459,-0.208459,31.3302,10000000,0
,0.7,0.0437634,8.1106e-05,0.000566074,8.02358e-07,0.0437634,8.1106e-05,0.000566074,8.02358e-07,-0.0193648,3.58885e-05,-0.000250481,3.55034e-07,-0.0193648,3.58885e-05,-0.000250481,3.55034e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.462824,0.462824,-0.204794,-0.204794,31.1748,10000000,0
,0.75,0.0448924,8.31984e-05,0.000580676,8.23056e-07,0.0448924,8.31984e-05,0.000580676,8.23056e-07,-0.0181364,3.36119e-05,-0.000234591,3.32512e-07,-0.0181364,3.36119e-05,-0.000234591,3.32512e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.474763,0.474763,-0.191803,-0.191803,30.921,10000000,0
,0.8,0.0458483,8.497e-05,0.000593038,8.40579e-07,0.0458483,8.497e-05,0.000593038,8.40579e-07,-0.0161898,3.00043e-05,-0.000209411,2.96822e-07,-0.0161898,3.00043e-05,-0.000209411,2.96822e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.484872,0.484872,-0.171216,-0.171216,30.6395,10000000,0
