z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.035929,6.65862e-05,0.000464766,6.58743e-07,0.035929,6.65862e-05,0.000464766,6.58743e-07,-0.00657784,1.21905e-05,-8.50886e-05,1.20602e-07,-0.00657784,1.21905e-05,-8.50886e-05,1.20602e-07,0.149665,0.00027737,0.00193602,2.74405e-06,0.37997,0.37997,-0.0695643,-0.0695643,30.8674,10000000,0
,0.15,0.0355446,6.58738e-05,0.000459796,6.51698e-07,0.0355446,6.58738e-05,0.000459796,6.51698e-07,-0.00734137,1.36055e-05,-9.49661e-05,1.34601e-07,-0.00734137,1.36055e-05,-9.49661e-05,1.34601e-07,0.149665,0.00027737,0.00193603,2.74406e-06,0.375904,0.375904,-0.0776391,-0.0776391,30.4919,10000000,0
,0.2,0.0358041,6.63549e-05,0.000463144,6.56449e-07,0.0358041,6.63549e-05,0.000463144,6.56449e-07,-0.0088302,1.63648e-05,-0.000114223,1.61897e-07,-0.0088302,1.63648e-05,-0.000114223,1.61897e-07,0.149665,0.000277371,0.00193599,2.74403e-06,0.378649,0.378649,-0.0933844,-0.0933844,30.1455,10000000,0
,0.25,0.0366674,6.79548e-05,0.000474304,6.72271e-07,0.0366674,6.79548e-05,0.000474304,6.72271e-07,-0.0108502,2.01085e-05,-0.000140351,1.98931e-07,-0.0108502,2.01085e-05,-0.000140351,1.98931e-07,0.149665,0.000277371,0.00193596,2.74401e-06,0.387779,0.387779,-0.114747,-0.114747,30.2125,10000000,0
,0.3,0.0378065,7.0066e-05,0.000489034,6.93153e-07,0.0378065,7.0066e-05,0.000489034,6.93153e-07,-0.0131198,2.43146e-05,-0.000169706,2.40541e-07,-0.0131198,2.43146e-05,-0.000169706,2.40541e-07,0.149665,0.000277371,0.00193594,2.74399e-06,0.399826,0.399826,-0.138749,-0.138749,30.8304,10000000,0
,0.35,0.0389374,7.21619e-05,0.000503658,7.13884e-07,0.0389374,7.21619e-05,0.000503658,7.13884e-07,-0.0154434,2.86209e-05,-0.000199761,2.83141e-07,-0.0154434,2.86209e-05,-0.000199761,2.83141e-07,0.149665,0.000277371,0.00193593,2.74398e-06,0.411786,0.411786,-0.163323,-0.163323,30.9241,10000000,0
,0.4,0.0399255,7.39932e-05,0.000516437,7.31998e-07,0.0399255,7.39932e-05,0.000516437,7.31998e-07,-0.0177492,3.28943e-05,-0.000229586,3.25416e-07,-0.0177492,3.28943e-05,-0.000229586,3.25416e-07,0.149665,0.000277371,0.00193592,2.74397e-06,0.422235,0.422235,-0.187708,-0.187708,30.8654,10000000,0
,0.45,0.0407815,7.55795e-05,0.000527506,7.47689e-07,0.0407815,7.55795e-05,0.000527506,7.47689e-07,-0.020043,3.71452e-05,-0.000259255,3.67468e-07,-0.020043,3.71452e-05,-0.000259255,3.67468e-07,0.149665,0.000277372,0.00193591,2.74397e-06,0.431287,0.431287,-0.211966,-0.211966,30.2367,10000000,0
,0.5,0.0415964,7.70899e-05,0.000538046,7.62629e-07,0.0415964,7.70899e-05,0.000538046,7.62629e-07,-0.0223053,4.13381e-05,-0.000288517,4.08946e-07,-0.0223053,4.13381e-05,-0.000288517,4.08946e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.439906,0.439906,-0.235892,-0.235892,30.563,10000000,0
,0.55,0.0424609,7.86919e-05,0.000549225,7.78476e-07,0.0424609,7.86919e-05,0.000549225,7.78476e-07,-0.0244107,4.524e-05,-0.00031575,4.47546e-07,-0.0244107,4.524e-05,-0.00031575,4.47546e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.449048,0.449048,-0.258158,-0.258158,31.1219,10000000,0
,0.6,0.0434023,8.04367e-05,0.000561401,7.95735e-07,0.0434023,8.04367e-05,0.000561401,7.95735e-07,-0.0261188,4.84055e-05,-0.000337842,4.78861e-07,-0.0261188,4.84055e-05,-0.000337842,4.78861e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.459004,0.459004,-0.276221,-0.276221,30.4173,10000000,0
,0.65,0.0443642,8.22195e-05,0.000573843,8.13371e-07,0.0443642,8.22195e-05,0.000573843,8.13371e-07,-0.0271665,5.03472e-05,-0.000351393,4.98068e-07,-0.0271665,5.03472e-05,-0.000351393,4.98068e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.469177,0.469177,-0.287301,-0.287301,30.6964,10000000,0
,0.7,0.0452739,8.39054e-05,0.000585608,8.30047e-07,0.0452739,8.39054e-05,0.000585608,8.30047e-07,-0.0273003,5.05952e-05,-0.000353123,5.00521e-07,-0.0273003,5.05952e-05,-0.000353123,5.00521e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.478797,0.478797,-0.288717,-0.288717,31.0728,10000000,0
,0.75,0.0460496,8.5343e-05,0.00059564,8.44268e-07,0.0460496,8.5343e-05,0.00059564,8.44268e-07,-0.0264222,4.89679e-05,-0.000341764,4.84422e-07,-0.0264222,4.89679e-05,-0.000341764,4.84422e-07,0.149665,0.000277372,0.00193588,2.74394e-06,0.487001,0.487001,-0.27943,-0.27943,30.969,10000000,0
,0.8,0.046642,8.64409e-05,0.000603301,8.55128e-07,0.046642,8.64409e-05,0.000603301,8.55128e-07,-0.0246365,4.56584e-05,-0.000318666,4.51682e-07,-0.0246365,4.56584e-05,-0.000318666,4.51682e-07,0.149665,0.000277372,0.00193588,2.74394e-06,0.493266,0.493266,-0.260545,-0.260545,30.8431,10000000,0
