z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0397645,2.2366e-05,0.000519718,2.28143e-07,0.0397645,2.2366e-05,0.000519718,2.28143e-07,-0.0134062,7.54046e-06,-0.000175218,7.6916e-08,-0.0134062,7.54046e-06,-0.000175218,7.6916e-08,0.148967,8.37882e-05,0.00194699,8.54677e-07,0.422503,0.422503,-0.142442,-0.142442,92.4435,30000000,0
,0.15,0.0396473,2.22259e-05,0.000518203,2.26514e-07,0.0396473,2.22259e-05,0.000518203,2.26514e-07,-0.0141204,7.91579e-06,-0.000184559,8.06734e-08,-0.0141204,7.91579e-06,-0.000184559,8.06734e-08,0.148966,8.35092e-05,0.00194704,8.5108e-07,0.42126,0.42126,-0.150032,-0.150032,94.3855,30000000,0
,0.2,0.0400863,3.23849e-05,0.000523541,3.28196e-07,0.0400863,3.23849e-05,0.000523541,3.28196e-07,-0.0159511,1.28866e-05,-0.000208327,1.30596e-07,-0.0159511,1.28866e-05,-0.000208327,1.30596e-07,0.149043,0.000120409,0.00194655,1.22025e-06,0.425706,0.425706,-0.169397,-0.169397,63.2639,20000000,0
,0.25,0.0411335,7.62319e-05,0.000532058,7.54142e-07,0.0411335,7.62319e-05,0.000532058,7.54142e-07,-0.0187831,3.48104e-05,-0.000242958,3.4437e-07,-0.0187831,3.48104e-05,-0.000242958,3.4437e-07,0.149665,0.000277372,0.00193591,2.74396e-06,0.43501,0.43501,-0.198642,-0.198642,31.4656,10000000,0
,0.3,0.0421876,7.81855e-05,0.000545691,7.73467e-07,0.0421876,7.81855e-05,0.000545691,7.73467e-07,-0.0220878,4.09349e-05,-0.000285703,4.04957e-07,-0.0220878,4.09349e-05,-0.000285703,4.04957e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.446158,0.446158,-0.233591,-0.233591,31.4713,10000000,0
,0.35,0.0432023,8.0066e-05,0.000558814,7.92068e-07,0.0432023,8.0066e-05,0.000558814,7.92068e-07,-0.0255906,4.74267e-05,-0.000331011,4.69177e-07,-0.0255906,4.74267e-05,-0.000331011,4.69177e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.456889,0.456889,-0.270636,-0.270636,31.6623,10000000,0
,0.4,0.0440989,8.17278e-05,0.00057041,8.08506e-07,0.0440989,8.17278e-05,0.00057041,8.08506e-07,-0.0291024,5.3935e-05,-0.000376433,5.33561e-07,-0.0291024,5.3935e-05,-0.000376433,5.33561e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.466371,0.466371,-0.307775,-0.307775,31.6286,10000000,0
,0.45,0.0448963,8.32057e-05,0.000580723,8.23125e-07,0.0448963,8.32057e-05,0.000580723,8.23125e-07,-0.0326008,6.04186e-05,-0.000421684,5.977e-07,-0.0326008,6.04186e-05,-0.000421684,5.977e-07,0.149665,0.000277372,0.00193588,2.74395e-06,0.474805,0.474805,-0.344773,-0.344773,31.6284,10000000,0
,0.5,0.0456417,8.4587e-05,0.000590362,8.36788e-07,0.0456417,8.4587e-05,0.000590362,8.36788e-07,-0.0361393,6.69764e-05,-0.000467452,6.62573e-07,-0.0361393,6.69764e-05,-0.000467452,6.62573e-07,0.149665,0.000277372,0.00193588,2.74394e-06,0.482687,0.482687,-0.382194,-0.382194,31.5645,10000000,0
,0.55,0.0463521,8.59037e-05,0.00059955,8.49812e-07,0.0463521,8.59037e-05,0.00059955,8.49812e-07,-0.0397122,7.35981e-05,-0.000513666,7.28078e-07,-0.0397122,7.35981e-05,-0.000513666,7.28078e-07,0.149665,0.000277372,0.00193587,2.74394e-06,0.4902,0.4902,-0.41998,-0.41998,31.2678,10000000,0
