z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0476138,4.24361e-05,-0,-nan,-0.00334577,2.98193e-06,0,-nan,0.210126,0.000187276,-0,-nan,8.95724,8.28946,0.226596,-0.0159226,108.737,10000000,0
0.15,0.0471511,4.20216e-05,-0,-nan,-0.00436395,3.8892e-06,0,-nan,0.210127,0.000187268,-0,-nan,4.31886,4.03474,0.224393,-0.0207682,110.056,10000000,0
0.2,0.0475684,4.23933e-05,-0,-nan,-0.00615034,5.48123e-06,0,-nan,0.210127,0.000187267,-0,-nan,2.41801,2.25071,0.226379,-0.0292696,110.55,10000000,0
0.25,0.0488021,4.34932e-05,-0,-nan,-0.00846805,7.54685e-06,0,-nan,0.210127,0.000187268,-0,-nan,1.46021,1.33762,0.232251,-0.0402997,111.218,10000000,0
0.3,0.0504107,4.49271e-05,-0,-nan,-0.0110327,9.83257e-06,0,-nan,0.210126,0.000187269,-0,-nan,0.922251,0.826366,0.239907,-0.0525051,109.786,10000000,0
0.35,0.0520101,4.63527e-05,-0,-nan,-0.0136707,1.21836e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.599894,0.525605,0.247518,-0.0650593,111.775,10000000,0
0.4,0.0534173,4.7607e-05,-0,-nan,-0.0163317,1.45553e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.401251,0.344705,0.254216,-0.0777235,109.372,10000000,0
0.45,0.0546574,4.87122e-05,-0,-nan,-0.0190117,1.69438e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.275726,0.232819,0.260117,-0.0904775,107.965,10000000,0
0.5,0.0558833,4.98049e-05,-0,-nan,-0.021625,1.92728e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.194425,0.161313,0.265951,-0.102914,107.895,10000000,0
0.55,0.0572452,5.10187e-05,-0,-nan,-0.023943,2.13387e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.140309,0.113989,0.272433,-0.113946,110.174,10000000,0
0.6,0.0588095,5.24129e-05,-0,-nan,-0.0256069,2.28217e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.102816,0.0813338,0.279877,-0.121865,108.892,10000000,0
0.65,0.0604922,5.39126e-05,-0,-nan,-0.0263079,2.34465e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0755118,0.0578831,0.287885,-0.125201,108.579,10000000,0
0.7,0.0621857,5.54219e-05,-0,-nan,-0.0257846,2.298e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0548546,0.0406076,0.295945,-0.12271,110.359,10000000,0
0.75,0.0637432,5.681e-05,-0,-nan,-0.0240173,2.1405e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0386389,0.0276118,0.303357,-0.1143,107.529,10000000,0
0.8,0.0650489,5.79737e-05,-0,-nan,-0.0212449,1.89341e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.02566,0.0177494,0.309571,-0.101105,110.379,10000000,0
0.1,0.0426919,3.80492e-05,-0,-nan,-0.00487816,4.34767e-06,0,-nan,0.210126,0.000187275,-0,-nan,8.95724,8.28946,0.203173,-0.0232154,110.886,10000000,0
