        Q2    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
     94.14       0.128076    7.19276e-05       0.157321    8.70959e-05     -0.0543344    3.03481e-05      -0.012574    5.42331e-06    -0.00212813    7.46628e-06     -0.0105258    6.75279e-06      0.0105258    6.75279e-06      0.0148707    7.48508e-06      0.0148707    7.48508e-06    -0.00146236     7.6303e-07      0.0011635    4.93683e-07     -0.0011635    4.93683e-07        21969.6        6.75539        1406.89       0.661158        3456.27        1.59119        -1193.7       0.556606       -138.123      0.0417762       -46.7541         0.1634       -231.248       0.130205        231.248       0.130205        326.703       0.130193        326.703       0.130193       -32.1275      0.0135433        25.5617     0.00747378       -25.5617     0.00747378         16.934  10000000         1
   102.554       0.121125    6.57914e-05       0.157212    8.06301e-05     -0.0557495    2.99054e-05     -0.0134159    5.33814e-06    -0.00236388    7.04534e-06     -0.0096892    6.23615e-06      0.0096892    6.23615e-06      0.0151077    7.01128e-06      0.0151077    7.01128e-06    -0.00147482    7.38384e-07     0.00123415    4.82854e-07    -0.00123415    4.82854e-07        20381.8        5.78151        1234.37       0.571782        3204.27        1.36915       -1136.28       0.517334        -136.72      0.0381491       -48.1802       0.142945       -197.483       0.114094        197.483       0.114094        307.922       0.113102        307.922       0.113102       -30.0594      0.0124011        25.1543     0.00677803       -25.1543     0.00677803        21.4462  10000000         1
   110.968        0.11476     7.1028e-05       0.156987    8.88822e-05     -0.0573196    3.26834e-05     -0.0142551     6.2035e-06    -0.00252232    7.69012e-06    -0.00894334    6.78329e-06     0.00894334    6.78329e-06       0.015319     7.8613e-06       0.015319     7.8613e-06    -0.00149028    8.09692e-07     0.00130408    5.60451e-07    -0.00130408    5.60451e-07        18816.3        5.92201        1079.68       0.575395        2953.92        1.39023       -1078.54       0.512812       -134.114      0.0403071       -47.4607       0.143927       -168.281       0.116129        168.281       0.116129        288.247       0.116836        288.247       0.116836       -28.0416      0.0124189        24.5379     0.00718116       -24.5379     0.00718116        15.7714  10000000         1
   119.382       0.108618    6.30277e-05       0.156485    7.88463e-05     -0.0584586    3.07868e-05     -0.0150726    5.81954e-06    -0.00261307    6.82371e-06    -0.00824494    6.10612e-06     0.00824494    6.10612e-06         0.0155    7.04915e-06         0.0155    7.04915e-06    -0.00149713    7.51547e-07     0.00137218    5.22892e-07    -0.00137218    5.22892e-07        17652.8        4.92443        958.709       0.487805         2762.4        1.15907       -1031.96       0.460968       -133.037      0.0355122        -46.128       0.119768       -145.546       0.099851        145.546       0.099851        273.618      0.0982781        273.618      0.0982781       -26.4286      0.0110298        24.2227     0.00628832       -24.2227     0.00628832        15.9742  10000000         1
   127.796       0.102936    6.61716e-05       0.155939    8.31979e-05     -0.0597935    3.26883e-05     -0.0158866    6.48684e-06    -0.00265982    7.15107e-06    -0.00761552    6.45679e-06     0.00761552    6.45679e-06      0.0156605    7.56277e-06      0.0156605    7.56277e-06    -0.00150757    8.00654e-07     0.00143958    5.81282e-07    -0.00143958    5.81282e-07        16450.7        4.88434        846.683       0.482754        2565.31        1.13716       -983.646       0.451528       -130.673      0.0366289        -43.756       0.116921       -125.281       0.099493        125.281       0.099493        257.627      0.0981208        257.627      0.0981208       -24.8006      0.0109208        23.6822      0.0064808       -23.6822      0.0064808        15.8249  10000000         1
    136.21      0.0975942    6.55793e-05       0.155288    8.43284e-05      -0.060934    3.28184e-05     -0.0166978     6.8864e-06     -0.0026664     7.0105e-06    -0.00703468    6.44035e-06     0.00703468    6.44035e-06      0.0158056    7.78513e-06      0.0158056    7.78513e-06    -0.00151476    8.01499e-07     0.00150647    6.17507e-07    -0.00150647    6.17507e-07          15466          4.701        754.695       0.452275        2401.69        1.08078       -942.405       0.419013       -129.124      0.0359918       -41.2385       0.107697       -108.798      0.0939564        108.798      0.0939564        244.449      0.0947444        244.449      0.0947444       -23.4273      0.0101466         23.299     0.00640749        -23.299     0.00640749        15.8966  10000000         1
   144.624      0.0925897    6.36897e-05       0.154578    8.12552e-05     -0.0621307    3.34878e-05     -0.0174998    6.96712e-06    -0.00264748    6.92579e-06    -0.00650287    6.31421e-06     0.00650287    6.31421e-06       0.015932    7.57034e-06       0.015932    7.57034e-06    -0.00152287    8.10533e-07      0.0015722    6.21856e-07     -0.0015722    6.21856e-07        14509.7        4.25796        671.725       0.417903        2242.88       0.978165         -901.5       0.407566       -126.958      0.0341583       -38.4142       0.099857       -94.3549      0.0873332        94.3549      0.0873332        231.169      0.0863922        231.169      0.0863922       -22.0964     0.00981149        22.8121     0.00604975       -22.8121     0.00604975        15.9078  10000000         1
   153.038      0.0877741    6.38543e-05       0.153805    8.09071e-05     -0.0631945    3.44487e-05     -0.0182866    7.31601e-06    -0.00260275    6.87238e-06    -0.00600416    6.36275e-06     0.00600416    6.36275e-06      0.0160428    7.64705e-06      0.0160428    7.64705e-06    -0.00152797    8.30868e-07     0.00163682    6.50649e-07    -0.00163682    6.50649e-07        13660.4        4.02861        599.513       0.398692        2101.04       0.915194       -863.259       0.395769       -124.901      0.0337664       -35.5546      0.0932918        -82.019      0.0834839         82.019      0.0834839        219.151      0.0820679        219.151      0.0820679       -20.8726     0.00953574        22.3596     0.00595953       -22.3596     0.00595953        18.3337  10000000         1
   161.452      0.0831936    6.49799e-05       0.153023    8.05567e-05     -0.0641724    3.51806e-05     -0.0190555    7.73773e-06     -0.0025404    6.71039e-06    -0.00554043    6.48763e-06     0.00554043    6.48763e-06      0.0161419    7.77306e-06      0.0161419    7.77306e-06     -0.0015312    8.49297e-07     0.00170007    6.84675e-07    -0.00170007    6.84675e-07        12893.4        3.83468        536.325       0.387349        1972.98       0.857012       -827.402       0.381046       -122.845      0.0339623       -32.7545      0.0859697       -71.4351      0.0809047        71.4351      0.0809047        208.125      0.0788214        208.125      0.0788214       -19.7425     0.00924303        21.9197      0.0059523       -21.9197      0.0059523        22.5111  10000000         1
   169.866      0.0789019    6.54227e-05       0.152206    8.15232e-05     -0.0651981    3.61847e-05     -0.0198422    8.07496e-06    -0.00246633    6.83017e-06    -0.00510885    6.60475e-06     0.00510885    6.60475e-06      0.0162363    7.88116e-06      0.0162363    7.88116e-06    -0.00153565    8.70738e-07     0.00176409    7.14485e-07    -0.00176409    7.14485e-07        12163.9        3.67161        479.878       0.370596        1851.42       0.819174       -793.064       0.369359       -120.679      0.0329403       -30.0002      0.0825866       -62.1435      0.0781191        62.1435      0.0781191        197.497      0.0750763        197.497      0.0750763       -18.6795     0.00896609        21.4583     0.00579482       -21.4583     0.00579482        17.1593  10000000         1
