         y    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]        time[s]     neval      fail
       0.2       0.186047    0.000236202       0.146491    0.000225463     -0.0314098    4.38664e-05    -0.00719573    1.02365e-05      0.0139727    6.05768e-05     -0.0520952    7.49715e-05      0.0520952    7.49715e-05      0.0325142    4.48055e-05      0.0325142    4.48055e-05    -0.00281237    3.51221e-06     0.00184822    2.47349e-06    -0.00184822    2.47349e-06       0.556859   1000000         1
      0.21       0.184565     0.00024797       0.145693    0.000234926     -0.0323019    4.74361e-05    -0.00741446    1.14135e-05      0.0141342    6.12548e-05      -0.051539    7.80658e-05       0.051539    7.80658e-05      0.0325093    4.76421e-05      0.0325093    4.76421e-05    -0.00285878    3.81382e-06     0.00189572    2.75308e-06    -0.00189572    2.75308e-06       0.374369   1000000         1
      0.22       0.183191    0.000242984       0.144909     0.00023077     -0.0331724    4.74541e-05    -0.00762392    1.15301e-05      0.0143224    6.10637e-05     -0.0510419    7.65275e-05      0.0510419    7.65275e-05      0.0324899    4.67438e-05      0.0324899    4.67438e-05    -0.00290438    3.77277e-06     0.00194108    2.76625e-06    -0.00194108    2.76625e-06       0.358115   1000000         1
      0.23       0.181904    0.000241796       0.144097    0.000228436     -0.0340302    4.84374e-05    -0.00782576    1.17644e-05      0.0145482    6.10004e-05     -0.0505878    7.57576e-05      0.0505878    7.57576e-05      0.0324505    4.62233e-05      0.0324505    4.62233e-05    -0.00294965    3.79597e-06     0.00198464    2.81127e-06    -0.00198464    2.81127e-06       0.366549   1000000         1
      0.24       0.180715    0.000242904       0.143273    0.000228609     -0.0348746     4.9857e-05    -0.00801862     1.2084e-05      0.0148165    6.10469e-05     -0.0501663    7.59716e-05      0.0501663    7.59716e-05      0.0323938    4.63272e-05      0.0323938    4.63272e-05    -0.00299391    3.88447e-06     0.00202621    2.88078e-06    -0.00202621    2.88078e-06       0.357997   1000000         1
      0.25       0.179616    0.000245873       0.142442      0.0002303     -0.0357156    5.15414e-05    -0.00820463    1.25728e-05      0.0151044    6.13412e-05     -0.0497798    7.65719e-05      0.0497798    7.65719e-05      0.0323256    4.68906e-05      0.0323256    4.68906e-05    -0.00303864    3.99812e-06      0.0020661    2.98913e-06     -0.0020661    2.98913e-06       0.359249   1000000         1
      0.26       0.178581    0.000248402       0.141594    0.000230293     -0.0365448    5.33139e-05    -0.00838428    1.28852e-05      0.0154264    6.16752e-05     -0.0494189    7.74461e-05      0.0494189    7.74461e-05      0.0322421    4.67196e-05      0.0322421    4.67196e-05     -0.0030826    4.11718e-06     0.00210464    3.05397e-06    -0.00210464    3.05397e-06       0.351756   1000000         1
      0.27       0.177597    0.000252171       0.140763    0.000233327     -0.0373679    5.52075e-05    -0.00855523    1.35685e-05      0.0157596    6.21179e-05     -0.0490893    7.83592e-05      0.0490893    7.83592e-05      0.0321522    4.78435e-05      0.0321522    4.78435e-05    -0.00312678    4.24928e-06     0.00214123    3.21316e-06    -0.00214123    3.21316e-06       0.467429   1000000         1
      0.28       0.176649    0.000250461         0.1399    0.000230716     -0.0381831    5.61432e-05    -0.00872476    1.37282e-05      0.0161202    6.17204e-05     -0.0487593    7.75164e-05      0.0487593    7.75164e-05        0.03205    4.71436e-05        0.03205    4.71436e-05    -0.00316999    4.29813e-06     0.00217743    3.23502e-06    -0.00217743    3.23502e-06       0.360521   1000000         1
      0.29       0.175761    0.000253557       0.139029    0.000232162     -0.0389956    5.79162e-05    -0.00888454    1.42223e-05      0.0164961    6.22662e-05     -0.0484491    7.83552e-05      0.0484491    7.83552e-05       0.031939    4.76534e-05       0.031939    4.76534e-05    -0.00321377    4.42044e-06     0.00221148    3.34963e-06    -0.00221148    3.34963e-06       0.352909   1000000         1
       0.3       0.174854    0.000254269       0.138175    0.000232739     -0.0397902     5.9586e-05    -0.00904056    1.43609e-05      0.0168893    6.22213e-05     -0.0481559    7.86851e-05      0.0481559    7.86851e-05       0.031821    4.76896e-05       0.031821    4.76896e-05    -0.00325626    4.51883e-06      0.0022447    3.37235e-06     -0.0022447    3.37235e-06       0.350447   1000000         1
      0.31       0.173991    0.000254913       0.137303    0.000232112     -0.0405822    6.07057e-05    -0.00919011    1.49333e-05       0.017301    6.22847e-05     -0.0478719    7.83516e-05      0.0478719    7.83516e-05      0.0316941    4.78765e-05      0.0316941    4.78765e-05    -0.00329887    4.59567e-06     0.00227651    3.49861e-06    -0.00227651    3.49861e-06       0.356641   1000000         1
      0.32        0.17317    0.000258326        0.13641    0.000232224     -0.0413776    6.28012e-05    -0.00933788    1.51133e-05      0.0177302    6.31661e-05     -0.0475939    7.91639e-05      0.0475939    7.91639e-05      0.0315613    4.80185e-05      0.0315613    4.80185e-05    -0.00334188    4.73657e-06     0.00230782    3.53689e-06    -0.00230782    3.53689e-06       0.368023   1000000         1
      0.33       0.172314    0.000257366       0.135529    0.000231284     -0.0421538    6.39796e-05    -0.00947656    1.53258e-05      0.0181759    6.28322e-05     -0.0473286    7.86314e-05      0.0473286    7.86314e-05      0.0314188    4.79116e-05      0.0314188    4.79116e-05    -0.00338379    4.79919e-06     0.00233723    3.58056e-06    -0.00233723    3.58056e-06       0.352206   1000000         1
      0.34       0.171483     0.00025845       0.134625    0.000232002     -0.0429338     6.5411e-05    -0.00961487    1.57185e-05      0.0186354    6.29811e-05      -0.047056    7.89645e-05       0.047056    7.89645e-05      0.0312718    4.81134e-05      0.0312718    4.81134e-05     -0.0034258    4.89481e-06     0.00236657    3.66535e-06    -0.00236657    3.66535e-06       0.345742   1000000         1
      0.35       0.170665    0.000259544       0.133701    0.000232382     -0.0437102    6.70442e-05      -0.009748    1.59181e-05      0.0191179    6.32169e-05     -0.0467932    7.92767e-05      0.0467932    7.92767e-05      0.0311161    4.82264e-05      0.0311161    4.82264e-05     -0.0034679    4.99059e-06     0.00239469    3.70815e-06    -0.00239469    3.70815e-06       0.343664   1000000         1
      0.36       0.169841    0.000261359       0.132771    0.000233119      -0.044479    6.84838e-05    -0.00987701    1.63786e-05      0.0196152    6.35668e-05     -0.0465328     7.9902e-05      0.0465328     7.9902e-05      0.0309544    4.84616e-05      0.0309544    4.84616e-05    -0.00350972    5.09126e-06     0.00242191    3.80883e-06    -0.00242191    3.80883e-06         0.3717   1000000         1
      0.37        0.16901    0.000261464       0.131825    0.000233003     -0.0452437    6.98571e-05     -0.0100018    1.67423e-05      0.0201282    6.34469e-05     -0.0462699    7.97686e-05      0.0462699    7.97686e-05      0.0307859    4.85199e-05      0.0307859    4.85199e-05    -0.00355125    5.17669e-06     0.00244823    3.88878e-06    -0.00244823    3.88878e-06       0.394002   1000000         1
      0.38        0.16816     0.00026106       0.130867    0.000230856     -0.0459984    7.10747e-05     -0.0101226    1.69108e-05      0.0206597    6.36242e-05     -0.0460099     7.9267e-05      0.0460099     7.9267e-05      0.0306096    4.82227e-05      0.0306096    4.82227e-05    -0.00359207    5.24878e-06     0.00247364    3.92377e-06    -0.00247364    3.92377e-06        0.35912   1000000         1
      0.39       0.167328    0.000263435       0.129884    0.000231731     -0.0467604    7.29631e-05     -0.0102392     1.7236e-05      0.0212149    6.42998e-05     -0.0457499    8.00758e-05      0.0457499    8.00758e-05       0.030426    4.84499e-05       0.030426    4.84499e-05    -0.00363349    5.37397e-06     0.00249817     3.9957e-06    -0.00249817     3.9957e-06       0.345853   1000000         1
       0.4       0.166474    0.000265517       0.128887    0.000232688     -0.0475064    7.45355e-05      -0.010355    1.77215e-05      0.0217862    6.47819e-05     -0.0454862    8.06737e-05      0.0454862    8.06737e-05      0.0302374    4.87418e-05      0.0302374    4.87418e-05    -0.00367392    5.48942e-06      0.0025225    4.10213e-06     -0.0025225    4.10213e-06       0.342815   1000000         1
      0.41       0.165608    0.000263558       0.127865    0.000228968     -0.0482616    7.59561e-05     -0.0104637    1.76252e-05       0.022376    6.48744e-05     -0.0452185    7.95884e-05      0.0452185    7.95884e-05      0.0300387    4.81082e-05      0.0300387    4.81082e-05    -0.00371479    5.54962e-06     0.00254529    4.07622e-06    -0.00254529    4.07622e-06       0.344014   1000000         1
      0.42       0.164725    0.000261813       0.126833    0.000227243     -0.0490016     7.6829e-05     -0.0105698    1.78111e-05      0.0229878    6.45048e-05     -0.0449563    7.89217e-05      0.0449563    7.89217e-05      0.0298344     4.7794e-05      0.0298344     4.7794e-05    -0.00375486    5.59299e-06     0.00256749    4.11339e-06    -0.00256749    4.11339e-06       0.342376   1000000         1
      0.43       0.163834    0.000262714       0.125774    0.000227508     -0.0497493     7.8113e-05     -0.0106728    1.83637e-05      0.0236168    6.46865e-05     -0.0446902    7.90559e-05      0.0446902    7.90559e-05      0.0296226    4.79628e-05      0.0296226    4.79628e-05    -0.00379584    5.69777e-06     0.00258887    4.23374e-06    -0.00258887    4.23374e-06       0.341109   1000000         1
      0.44       0.162917    0.000262181       0.124692    0.000225679      -0.050483    7.97447e-05     -0.0107721    1.83905e-05      0.0242707    6.51258e-05      -0.044415    7.87597e-05       0.044415    7.87597e-05      0.0294032    4.76628e-05      0.0294032    4.76628e-05    -0.00383525    5.76905e-06     0.00260958    4.23427e-06    -0.00260958    4.23427e-06       0.343831   1000000         1
      0.45       0.161978    0.000263672       0.123585    0.000225877     -0.0512148    8.16132e-05      -0.010869    1.87207e-05      0.0249438    6.57194e-05     -0.0441349    7.90814e-05      0.0441349    7.90814e-05      0.0291764    4.77806e-05      0.0291764    4.77806e-05    -0.00387479    5.88848e-06     0.00262973    4.30761e-06    -0.00262973    4.30761e-06       0.354286   1000000         1
      0.46        0.16103    0.000264089       0.122457     0.00022466      -0.051953    8.30854e-05     -0.0109596    1.89308e-05      0.0256374      6.646e-05      -0.043854    7.92641e-05       0.043854    7.92641e-05      0.0289416    4.75624e-05      0.0289416    4.75624e-05      -0.003915    5.98036e-06     0.00264846    4.35202e-06    -0.00264846    4.35202e-06       0.351184   1000000         1
      0.47       0.160059    0.000262458       0.121304    0.000222836     -0.0526799    8.40319e-05     -0.0110476    1.91239e-05      0.0263567    6.62959e-05     -0.0435737    7.86729e-05      0.0435737    7.86729e-05       0.028699    4.72381e-05       0.028699    4.72381e-05    -0.00395458     6.0307e-06     0.00266658    4.39036e-06    -0.00266658    4.39036e-06       0.348212   1000000         1
      0.48       0.159067    0.000261998        0.12011    0.000221648     -0.0534072    8.55017e-05     -0.0111325    1.93651e-05      0.0270997    6.65472e-05     -0.0432795     7.8419e-05      0.0432795     7.8419e-05      0.0284475    4.70422e-05      0.0284475    4.70422e-05    -0.00399397    6.11804e-06     0.00268396    4.44121e-06    -0.00268396    4.44121e-06       0.345757   1000000         1
