        xB    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]   <dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
     0.205     -0.0440716    5.64066e-05       0.143589    5.37138e-05     -0.0172408    3.65779e-05     -0.0588056     1.7477e-05    -0.00781503    1.41014e-05      0.0142757    1.41347e-05     -0.0142757    1.41347e-05      0.0528524    1.95046e-05      0.0528524    1.95046e-05     0.00109792    2.91105e-06       0.013107    3.78909e-06      -0.013107    3.78909e-06     0.00619576    1.28116e-06   -0.000136529    1.72445e-07    0.000889643    2.77331e-07    -0.00010682    2.25549e-07   -0.000182173    3.88885e-08     -4.842e-05     8.6793e-08    8.84487e-05    8.56438e-08   -8.84487e-05    8.56438e-08     0.00032746    1.00094e-07     0.00032746    1.00094e-07    6.80242e-06    1.79812e-08    8.12076e-05    1.64061e-08   -8.12076e-05    1.64061e-08        2.38519  10000000         1
     0.206     -0.0447258    5.62259e-05       0.143311    5.27401e-05     -0.0166509    3.66291e-05     -0.0591294    1.72758e-05    -0.00768362    1.40057e-05      0.0144032    1.40804e-05     -0.0144032    1.40804e-05      0.0528332    1.91875e-05      0.0528332    1.91875e-05     0.00115259    2.92308e-06      0.0131757    3.74182e-06     -0.0131757    3.74182e-06     0.00608892    1.23383e-06   -0.000136166    1.68939e-07    0.000872608    2.68066e-07   -0.000101386    2.22084e-07   -0.000180017    3.78902e-08    -4.6785e-05    8.47513e-08    8.77003e-05    8.38724e-08   -8.77003e-05    8.38724e-08    0.000321698    9.69545e-08    0.000321698    9.69545e-08    7.01803e-06    1.77415e-08    8.02261e-05     1.5963e-08   -8.02261e-05     1.5963e-08        2.33224  10000000         1
     0.207     -0.0453762    5.65192e-05       0.143033    5.29026e-05     -0.0160547    3.68162e-05     -0.0594532    1.74267e-05    -0.00755203    1.40757e-05        0.01453    1.41634e-05       -0.01453    1.41634e-05      0.0528135     1.9255e-05      0.0528135     1.9255e-05     0.00120767    2.95876e-06      0.0132445     3.7759e-06     -0.0132445     3.7759e-06     0.00598425    1.22129e-06   -0.000135771    1.66827e-07    0.000855943    2.64026e-07   -9.60755e-05    2.19443e-07   -0.000177891    3.74277e-08   -4.51932e-05     8.3726e-08    8.69509e-05    8.28791e-08   -8.69509e-05    8.28791e-08    0.000316049    9.54824e-08    0.000316049    9.54824e-08    7.22697e-06    1.76444e-08    7.92584e-05    1.57776e-08   -7.92584e-05    1.57776e-08        2.34459  10000000         1
     0.208     -0.0460235    5.65034e-05       0.142756    5.24495e-05     -0.0154531    3.69058e-05     -0.0597771    1.73736e-05     -0.0074213    1.40552e-05      0.0146558    1.41586e-05     -0.0146558    1.41586e-05      0.0527935    1.91087e-05      0.0527935    1.91087e-05     0.00126296     2.9778e-06      0.0133133    3.76266e-06     -0.0133133    3.76266e-06     0.00588165    1.19017e-06   -0.000135347    1.63894e-07    0.000839639    2.57486e-07   -9.08897e-05    2.16287e-07   -0.000175794    3.66753e-08   -4.36495e-05    8.21948e-08    8.62006e-05    8.14286e-08   -8.62006e-05    8.14286e-08    0.000310513    9.31859e-08    0.000310513    9.31859e-08    7.42832e-06    1.74498e-08    7.83041e-05    1.54499e-08   -7.83041e-05    1.54499e-08        2.34677  10000000         1
     0.209     -0.0466665    5.66321e-05       0.142479    5.23481e-05     -0.0148455    3.70058e-05     -0.0601011    1.74319e-05    -0.00729021    1.40529e-05      0.0147808    1.41943e-05     -0.0147808    1.41943e-05      0.0527728    1.90869e-05      0.0527728    1.90869e-05     0.00131868    2.99533e-06      0.0133821    3.77532e-06     -0.0133821    3.77532e-06     0.00578111    1.16976e-06   -0.000134892    1.61407e-07    0.000823684    2.52601e-07   -8.58237e-05    2.13228e-07   -0.000173725    3.61009e-08   -4.21455e-05    8.07928e-08    8.54491e-05    8.02166e-08   -8.54491e-05    8.02166e-08    0.000305085    9.14596e-08    0.000305085    9.14596e-08    7.62345e-06    1.72475e-08    7.73631e-05     1.5209e-08   -7.73631e-05     1.5209e-08        2.34907  10000000         1
      0.21      -0.047306    5.67878e-05       0.142202    5.23552e-05     -0.0142319    3.70999e-05      -0.060425    1.75245e-05     -0.0071592    1.40635e-05      0.0149048    1.42381e-05     -0.0149048    1.42381e-05      0.0527516    1.91039e-05      0.0527516    1.91039e-05     0.00137477    3.01309e-06      0.0134508    3.79601e-06     -0.0134508    3.79601e-06     0.00568257    1.15269e-06    -0.00013441     1.5903e-07    0.000808072    2.48285e-07    -8.0874e-05    2.10184e-07   -0.000171685    3.55869e-08   -4.06826e-05    7.94894e-08    8.46978e-05    7.90638e-08   -8.46978e-05    7.90638e-08    0.000299764    8.99317e-08    0.000299764    8.99317e-08    7.81221e-06    1.70486e-08    7.64353e-05    1.49973e-08   -7.64353e-05    1.49973e-08        2.34886  10000000         1
     0.211      -0.047942    5.69249e-05       0.141925    5.23732e-05     -0.0136119    3.71623e-05     -0.0607489    1.76106e-05    -0.00702766    1.40673e-05      0.0150282    1.42769e-05     -0.0150282    1.42769e-05      0.0527297    1.91243e-05      0.0527297    1.91243e-05     0.00143133    3.02741e-06      0.0135196    3.81537e-06     -0.0135196    3.81537e-06       0.005586    1.13595e-06   -0.000133902    1.56642e-07    0.000792794    2.44126e-07    -7.6036e-05    2.07012e-07   -0.000169672     3.5054e-08   -3.92565e-05    7.81735e-08    8.39473e-05     7.7902e-08   -8.39473e-05     7.7902e-08    0.000294548    8.84561e-08    0.000294548    8.84561e-08    7.99543e-06    1.68328e-08    7.55204e-05    1.47774e-08   -7.55204e-05    1.47774e-08        2.35822  10000000         1
     0.212     -0.0485734    5.71103e-05       0.141649    5.25459e-05     -0.0129862     3.7226e-05     -0.0610729    1.77524e-05    -0.00689638    1.40821e-05      0.0151503    1.43291e-05     -0.0151503    1.43291e-05      0.0527074    1.92013e-05      0.0527074    1.92013e-05     0.00148822    3.04102e-06      0.0135884    3.84755e-06     -0.0135884    3.84755e-06     0.00549132     1.1236e-06   -0.000133366    1.54413e-07    0.000777841    2.40683e-07   -7.13117e-05    2.03898e-07   -0.000167686    3.46202e-08   -3.78703e-05    7.69401e-08    8.31953e-05    7.68224e-08   -8.31953e-05    7.68224e-08    0.000289433    8.72381e-08    0.000289433    8.72381e-08     8.1723e-06    1.66153e-08    7.46181e-05    1.46044e-08   -7.46181e-05    1.46044e-08        2.36016  10000000         1
     0.213      -0.049202     5.7288e-05       0.141373    5.27467e-05     -0.0123547     3.7262e-05     -0.0613969    1.78981e-05     -0.0067651    1.40927e-05      0.0152718    1.43792e-05     -0.0152718    1.43792e-05      0.0526845    1.92899e-05      0.0526845    1.92899e-05     0.00154547    3.05114e-06      0.0136571    3.88066e-06     -0.0136571    3.88066e-06     0.00539852    1.11173e-06   -0.000132809    1.52197e-07    0.000763205     2.3745e-07   -6.66968e-05     2.0069e-07   -0.000165726    3.41945e-08   -3.65215e-05    7.57067e-08    8.24453e-05    7.57471e-08   -8.24453e-05    7.57471e-08    0.000284418    8.61039e-08    0.000284418    8.61039e-08    8.34323e-06    1.63818e-08    7.37281e-05     1.4435e-08   -7.37281e-05     1.4435e-08        2.36354  10000000         1
     0.214     -0.0498269    5.74915e-05       0.141098    5.30278e-05     -0.0117173     3.7315e-05      -0.061721    1.80811e-05    -0.00663418    1.42447e-05      0.0153925    1.44421e-05     -0.0153925    1.44421e-05      0.0526612    1.94164e-05      0.0526612    1.94164e-05     0.00160302    3.09584e-06      0.0137259    3.92354e-06     -0.0137259    3.92354e-06     0.00530752    1.10365e-06   -0.000132229    1.50071e-07     0.00074888    2.34441e-07   -6.21898e-05    1.97627e-07   -0.000163793    3.37984e-08    -3.5211e-05    7.52486e-08    8.16961e-05    7.47457e-08   -8.16961e-05    7.47457e-08      0.0002795    8.51005e-08      0.0002795    8.51005e-08    8.50804e-06    1.63357e-08    7.28504e-05    1.42889e-08   -7.28504e-05    1.42889e-08        2.35767  10000000         1
     0.215     -0.0504477    5.77157e-05       0.140822    5.34666e-05     -0.0110742    3.73473e-05     -0.0620453      1.831e-05      -0.006503    1.42659e-05      0.0155122    1.45062e-05     -0.0155122    1.45062e-05      0.0526372    1.95897e-05      0.0526372    1.95897e-05     0.00166094    3.10204e-06      0.0137947    3.97536e-06     -0.0137947    3.97536e-06     0.00521828    1.09771e-06   -0.000131625    1.48021e-07    0.000734851    2.32266e-07   -5.77883e-05    1.94509e-07   -0.000161885    3.35055e-08   -3.39345e-05    7.41003e-08    8.09469e-05    7.37574e-08   -8.09469e-05    7.37574e-08    0.000274676    8.43285e-08    0.000274676    8.43285e-08    8.66728e-06    1.60843e-08    7.19846e-05    1.41788e-08   -7.19846e-05    1.41788e-08        2.34966  10000000         1
     0.216     -0.0510651    5.79899e-05       0.140548    5.40792e-05     -0.0104253    3.73851e-05     -0.0623695    1.86147e-05    -0.00637256    1.43118e-05       0.015631    1.45837e-05      -0.015631    1.45837e-05       0.052613    1.98306e-05       0.052613    1.98306e-05     0.00171916    3.11169e-06      0.0138634    4.04456e-06     -0.0138634    4.04456e-06     0.00513082    1.09637e-06   -0.000131003     1.4611e-07    0.000721126     2.3075e-07   -5.34902e-05    1.91475e-07   -0.000160003    3.33394e-08   -3.26964e-05    7.30983e-08    8.01996e-05    7.28372e-08   -8.01996e-05    7.28372e-08    0.000269948    8.38158e-08    0.000269948    8.38158e-08    8.82071e-06    1.58539e-08    7.11307e-05    1.41286e-08   -7.11307e-05    1.41286e-08        2.36381  10000000         1
     0.217     -0.0516796      5.823e-05       0.140273    5.46937e-05    -0.00977024    3.74178e-05     -0.0626937    1.89211e-05    -0.00624163    1.44157e-05      0.0157491    1.46544e-05     -0.0157491    1.46544e-05      0.0525881    2.00754e-05      0.0525881    2.00754e-05     0.00177781    3.13338e-06      0.0139322    4.11412e-06     -0.0139322    4.11412e-06     0.00504503    1.09468e-06   -0.000130363    1.44137e-07    0.000707682    2.29257e-07   -4.92911e-05    1.88471e-07   -0.000158146     3.3174e-08   -3.14892e-05    7.24059e-08    7.94548e-05    7.18938e-08   -7.94548e-05    7.18938e-08    0.000265308    8.33298e-08    0.000265308    8.33298e-08    8.96907e-06    1.56877e-08    7.02883e-05    1.40784e-08   -7.02883e-05    1.40784e-08         2.3497  10000000         1
     0.218     -0.0522899    5.85845e-05       0.139999    5.56089e-05    -0.00910933    3.74573e-05     -0.0630179    1.93388e-05    -0.00611075    1.45401e-05      0.0158664    1.47577e-05     -0.0158664    1.47577e-05      0.0525627    2.04321e-05      0.0525627    2.04321e-05     0.00183679    3.15412e-06      0.0140009    4.20915e-06     -0.0140009    4.20915e-06     0.00496092    1.10019e-06   -0.000129703    1.42441e-07    0.000694524    2.28869e-07   -4.51906e-05    1.85552e-07   -0.000156313    3.31561e-08   -3.03149e-05    7.18185e-08    7.87121e-05    7.11001e-08   -7.87121e-05    7.11001e-08    0.000260759    8.32469e-08    0.000260759    8.32469e-08    9.11218e-06    1.55163e-08    6.94575e-05     1.4098e-08   -6.94575e-05     1.4098e-08        2.44647  10000000         1
     0.219     -0.0528971    5.89231e-05       0.139725    5.65913e-05    -0.00844243    3.74785e-05      -0.063342    1.97915e-05    -0.00597992    1.46539e-05       0.015983    1.48577e-05      -0.015983    1.48577e-05      0.0525368    2.08182e-05      0.0525368    2.08182e-05     0.00189615    3.16774e-06      0.0140697    4.31176e-06     -0.0140697    4.31176e-06     0.00487843    1.10664e-06   -0.000129028    1.40714e-07    0.000681641    2.28713e-07   -4.11858e-05    1.82598e-07   -0.000154505    3.31991e-08   -2.91726e-05    7.11813e-08    7.79719e-05    7.02911e-08   -7.79719e-05    7.02911e-08    0.000256297    8.32725e-08    0.000256297    8.32725e-08    9.25026e-06    1.53105e-08    6.86379e-05    1.41433e-08   -6.86379e-05    1.41433e-08        2.35959  10000000         1
      0.22      -0.053501    5.99469e-05       0.139452    5.90477e-05    -0.00777004    3.76273e-05     -0.0636664    2.07001e-05     -0.0058496    1.49465e-05      0.0160986    1.51558e-05     -0.0160986    1.51558e-05      0.0525105    2.17035e-05      0.0525105    2.17035e-05     0.00195578     3.2006e-06      0.0141384    4.51894e-06     -0.0141384    4.51894e-06     0.00479751    1.14589e-06   -0.000128336    1.40493e-07    0.000669023     2.3391e-07   -3.72769e-05    1.80298e-07    -0.00015272    3.36893e-08   -2.80635e-05    7.13922e-08    7.72334e-05    7.03313e-08   -7.72334e-05    7.03313e-08     0.00025192    8.49764e-08     0.00025192    8.49764e-08    9.38287e-06    1.51905e-08    6.78293e-05     1.4406e-08   -6.78293e-05     1.4406e-08         2.3674  10000000         1
     0.221     -0.0541009    5.96208e-05       0.139179    5.89292e-05    -0.00709102    3.75026e-05     -0.0639902      2.088e-05    -0.00571863    1.49638e-05      0.0162136    1.50647e-05     -0.0162136    1.50647e-05      0.0524835    2.17485e-05      0.0524835    2.17485e-05     0.00201591    3.20312e-06      0.0142071     4.5576e-06     -0.0142071     4.5576e-06      0.0047182     1.1265e-06    -0.00012763    1.37311e-07    0.000656674    2.29619e-07   -3.34569e-05    1.76765e-07   -0.000150959    3.35752e-08   -2.69817e-05    7.03078e-08    7.64989e-05    6.86915e-08   -7.64989e-05    6.86915e-08    0.000247628    8.38695e-08    0.000247628    8.38695e-08    9.51145e-06    1.49414e-08    6.70319e-05    1.43621e-08   -6.70319e-05    1.43621e-08        2.34065  10000000         1
     0.222     -0.0546976    6.00891e-05       0.138906    6.05197e-05    -0.00640647    3.75567e-05     -0.0643143    2.16153e-05    -0.00558815    1.52274e-05      0.0163276    1.52048e-05     -0.0163276    1.52048e-05      0.0524562    2.23794e-05      0.0524562    2.23794e-05     0.00207632    3.24118e-06      0.0142758    4.72345e-06     -0.0142758    4.72345e-06     0.00464038    1.14555e-06   -0.000126909    1.35853e-07    0.000644578    2.31403e-07   -2.97285e-05    1.74123e-07   -0.000149222    3.40317e-08   -2.59312e-05    7.03703e-08    7.57666e-05    6.80318e-08   -7.57666e-05    6.80318e-08    0.000243417    8.46974e-08    0.000243417    8.46974e-08    9.63492e-06    1.48511e-08    6.62451e-05     1.4594e-08   -6.62451e-05     1.4594e-08        2.38188  10000000         1
     0.223      -0.055292    6.08329e-05       0.138634    6.28468e-05    -0.00571566    3.76461e-05     -0.0646385    2.26108e-05     -0.0054575    1.55358e-05      0.0164412    1.54218e-05     -0.0164412    1.54218e-05      0.0524283    2.32725e-05      0.0524283    2.32725e-05     0.00213713    3.27247e-06      0.0143445    4.94773e-06     -0.0143445    4.94773e-06     0.00456403    1.17886e-06   -0.000126177    1.34942e-07    0.000632728    2.35722e-07   -2.60864e-05    1.71686e-07   -0.000147506    3.47963e-08   -2.49082e-05    7.06133e-08     7.5038e-05    6.76642e-08    -7.5038e-05    6.76642e-08    0.000239284    8.63829e-08    0.000239284    8.63829e-08    9.75395e-06    1.47216e-08    6.54686e-05    1.49658e-08   -6.54686e-05    1.49658e-08        2.37716  10000000         1
     0.224     -0.0558816     6.2926e-05       0.138362    6.75321e-05    -0.00501884    3.79876e-05     -0.0649623    2.43063e-05    -0.00532717    1.62508e-05      0.0165536    1.60336e-05     -0.0165536    1.60336e-05         0.0524    2.49666e-05         0.0524    2.49666e-05      0.0021983    3.34937e-06      0.0144131    5.33186e-06     -0.0144131    5.33186e-06     0.00448917    1.25818e-06   -0.000125431    1.36798e-07    0.000621129    2.48199e-07   -2.25304e-05    1.70416e-07   -0.000145814    3.61442e-08   -2.39146e-05    7.26443e-08    7.43118e-05    6.88985e-08   -7.43118e-05    6.88985e-08    0.000235233    9.06376e-08    0.000235233    9.06376e-08    9.86854e-06    1.47793e-08    6.47029e-05    1.56225e-08   -6.47029e-05    1.56225e-08        2.41393  10000000         1
     0.225     -0.0564678    6.31051e-05       0.138089    6.94945e-05    -0.00431707    3.78925e-05     -0.0652864    2.52977e-05    -0.00519633     1.6457e-05      0.0166653    1.60888e-05     -0.0166653    1.60888e-05      0.0523711    2.57822e-05      0.0523711    2.57822e-05     0.00225976    3.34686e-06      0.0144818    5.55187e-06     -0.0144818    5.55187e-06      0.0044157    1.28007e-06   -0.000124672    1.34557e-07    0.000609761    2.50842e-07   -1.90629e-05    1.67231e-07   -0.000144142    3.70619e-08   -2.29454e-05     7.2364e-08     7.3589e-05    6.77647e-08    -7.3589e-05    6.77647e-08    0.000231255    9.20153e-08    0.000231255    9.20153e-08    9.97842e-06    1.44929e-08     6.3947e-05    1.60424e-08    -6.3947e-05    1.60424e-08        2.39988  10000000         1
     0.226     -0.0570513    6.40601e-05       0.137818    7.27745e-05    -0.00360819    3.80011e-05     -0.0656102    2.67528e-05    -0.00506555    1.69498e-05      0.0167765    1.63662e-05     -0.0167765    1.63662e-05      0.0523417    2.70713e-05      0.0523417    2.70713e-05     0.00232173    3.38342e-06      0.0145504    5.87605e-06     -0.0145504    5.87605e-06     0.00434365    1.32674e-06   -0.000123906    1.33881e-07    0.000598633    2.57857e-07   -1.56727e-05    1.64994e-07   -0.000142494     3.8491e-08    -2.2003e-05    7.33167e-08    7.28712e-05    6.75147e-08   -7.28712e-05    6.75147e-08    0.000227354     9.4892e-08    0.000227354     9.4892e-08    1.00848e-05    1.43699e-08    6.32017e-05    1.66968e-08   -6.32017e-05    1.66968e-08        2.39125  10000000         1
     0.227     -0.0576335    6.41065e-05       0.137546    7.52313e-05    -0.00289309    3.79291e-05      -0.065934    2.80763e-05    -0.00493482    1.72196e-05      0.0168872    1.63833e-05     -0.0168872    1.63833e-05      0.0523118    2.81142e-05      0.0523118    2.81142e-05     0.00238407    3.37847e-06       0.014619    6.16809e-06      -0.014619    6.16809e-06     0.00427292    1.35731e-06   -0.000123132    1.31257e-07    0.000587725    2.61688e-07    -1.2362e-05     1.6202e-07   -0.000140865    3.99479e-08   -2.10861e-05    7.32723e-08    7.21576e-05    6.61459e-08   -7.21576e-05    6.61459e-08    0.000223524    9.69004e-08    0.000223524    9.69004e-08     1.0187e-05    1.40686e-08    6.24657e-05    1.73466e-08   -6.24657e-05    1.73466e-08         2.3868  10000000         1
     0.228     -0.0582098    6.45446e-05       0.137275    7.87367e-05    -0.00217308    3.79738e-05     -0.0662579    2.98218e-05      -0.004804    1.77929e-05      0.0169967    1.65193e-05     -0.0169967    1.65193e-05      0.0522813    2.95601e-05      0.0522813    2.95601e-05     0.00244665    3.41925e-06      0.0146876    6.55381e-06     -0.0146876    6.55381e-06     0.00420351     1.4064e-06   -0.000122343    1.29334e-07    0.000577038    2.68828e-07   -9.13456e-06    1.59594e-07   -0.000139258     4.1925e-08   -2.01937e-05    7.44868e-08     7.1446e-05    6.51952e-08    -7.1446e-05    6.51952e-08    0.000219765    1.00166e-07    0.000219765    1.00166e-07    1.02845e-05    1.39549e-08    6.17394e-05    1.82279e-08   -6.17394e-05    1.82279e-08        2.37528  10000000         1
     0.229     -0.0587825    6.37653e-05       0.137005    8.08791e-05    -0.00144661    3.77943e-05     -0.0665812    3.13131e-05    -0.00467415    1.80866e-05      0.0171053     1.6306e-05     -0.0171053     1.6306e-05      0.0522508    3.05954e-05      0.0522508    3.05954e-05     0.00250962    3.41134e-06       0.014756     6.8787e-06      -0.014756     6.8787e-06     0.00413549    1.42984e-06   -0.000121547    1.24974e-07    0.000566584    2.71106e-07   -5.98244e-06    1.56285e-07   -0.000137673    4.38916e-08   -1.93299e-05    7.44977e-08    7.07387e-05    6.28416e-08   -7.07387e-05    6.28416e-08    0.000216083    1.02115e-07    0.000216083    1.02115e-07    1.03785e-05    1.36436e-08    6.10235e-05    1.90804e-08   -6.10235e-05    1.90804e-08        2.37976  10000000         1
      0.23     -0.0593575    6.55443e-05       0.136736    8.67122e-05   -0.000712754    3.80711e-05     -0.0669044    3.38643e-05      -0.004544    1.89418e-05      0.0172143    1.68103e-05     -0.0172143    1.68103e-05      0.0522196     3.2851e-05      0.0522196     3.2851e-05      0.0025731    3.46334e-06      0.0148245    7.44448e-06     -0.0148245    7.44448e-06     0.00406872    1.51762e-06   -0.000120755    1.25503e-07    0.000556339    2.85327e-07       -2.9e-06    1.54897e-07   -0.000136108      4.657e-08   -1.84883e-05    7.67599e-08    7.00404e-05    6.32107e-08   -7.00404e-05    6.32107e-08    0.000212467    1.07634e-07    0.000212467    1.07634e-07    1.04692e-05    1.35395e-08    6.03167e-05    2.02805e-08   -6.03167e-05    2.02805e-08        2.36507  10000000         1
     0.231     -0.0599203    6.50601e-05       0.136466     8.7732e-05    2.36825e-05    3.81518e-05     -0.0672282    3.47528e-05    -0.00441432    1.90945e-05      0.0173206    1.66714e-05     -0.0173206    1.66714e-05      0.0521883    3.33887e-05      0.0521883    3.33887e-05     0.00263653    3.47812e-06       0.014893    7.63666e-06      -0.014893    7.63666e-06     0.00400318    1.51648e-06   -0.000119936    1.22041e-07    0.000546297    2.83758e-07    9.48052e-08    1.52728e-07   -0.000134563    4.73314e-08   -1.76713e-05     7.6145e-08    6.93376e-05    6.13522e-08   -6.93376e-05    6.13522e-08    0.000208919    1.07711e-07    0.000208919    1.07711e-07    1.05545e-05    1.33371e-08    5.96195e-05    2.06034e-08   -5.96195e-05    2.06034e-08        2.38251  10000000         1
     0.232     -0.0604854    6.46519e-05       0.136195    8.45052e-05    0.000767478    3.84233e-05     -0.0675521    3.35932e-05    -0.00428371    1.87086e-05      0.0174276    1.65417e-05     -0.0174276    1.65417e-05      0.0521559    3.21759e-05      0.0521559    3.21759e-05     0.00270056    3.51961e-06      0.0149616    7.37752e-06     -0.0149616    7.37752e-06     0.00393877    1.43633e-06   -0.000119119    1.19686e-07    0.000536443    2.69294e-07    3.02292e-06    1.51337e-07   -0.000133036    4.49814e-08   -1.68726e-05    7.34317e-08    6.86432e-05    6.01537e-08   -6.86432e-05    6.01537e-08     0.00020543    1.02223e-07     0.00020543    1.02223e-07    1.06369e-05    1.33092e-08    5.89303e-05    1.95597e-08   -5.89303e-05    1.95597e-08        2.42282  10000000         1
     0.233     -0.0610468    6.36272e-05       0.135927    7.86774e-05     0.00151773    3.85917e-05      -0.067875    3.13129e-05    -0.00415379    1.78484e-05      0.0175337    1.62185e-05     -0.0175337    1.62185e-05      0.0521234    2.99543e-05      0.0521234    2.99543e-05     0.00276493    3.50224e-06      0.0150299    6.86867e-06     -0.0150299    6.86867e-06     0.00387567    1.31085e-06   -0.000118299    1.16626e-07    0.000526807    2.47453e-07    5.88223e-06    1.49556e-07   -0.000131531    4.12658e-08   -1.60987e-05      6.896e-08    6.79548e-05     5.8505e-08   -6.79548e-05     5.8505e-08    0.000202013    9.38569e-08    0.000202013    9.38569e-08     1.0716e-05    1.30807e-08    5.82511e-05    1.79023e-08   -5.82511e-05    1.79023e-08        2.37216  10000000         1
     0.234     -0.0616047    6.42019e-05       0.135657    7.53059e-05     0.00227361     3.9093e-05     -0.0681981    2.96877e-05    -0.00402321    1.73698e-05      0.0176391    1.63438e-05     -0.0176391    1.63438e-05      0.0520901    2.85379e-05      0.0520901    2.85379e-05     0.00282968    3.53063e-06      0.0150983     6.5096e-06     -0.0150983     6.5096e-06     0.00381369    1.22969e-06   -0.000117471    1.16416e-07    0.000517355    2.33779e-07    8.67084e-06    1.49063e-07   -0.000130043    3.80324e-08   -1.53433e-05    6.60583e-08    6.72701e-05    5.84344e-08   -6.72701e-05    5.84344e-08    0.000198656    8.79886e-08    0.000198656    8.79886e-08    1.07915e-05    1.30074e-08    5.75804e-05    1.64805e-08   -5.75804e-05    1.64805e-08        2.38081  10000000         1
     0.235     -0.0621607    6.26497e-05        0.13539    6.89826e-05     0.00303641    3.92654e-05     -0.0685207    2.72561e-05    -0.00389387    1.64035e-05      0.0177438    1.58611e-05     -0.0177438    1.58611e-05      0.0520569     2.6152e-05      0.0520569     2.6152e-05     0.00289484    3.48549e-06      0.0151666     5.9637e-06     -0.0151666     5.9637e-06     0.00375291    1.10099e-06   -0.000116642    1.12469e-07    0.000508106    2.11665e-07    1.13954e-05    1.47322e-07   -0.000128576    3.45394e-08   -1.46134e-05    6.14115e-08    6.65908e-05    5.62282e-08   -6.65908e-05    5.62282e-08    0.000195365    7.96729e-08    0.000195365    7.96729e-08    1.08641e-05    1.26865e-08     5.6919e-05    1.49026e-08    -5.6919e-05    1.49026e-08        2.34659  10000000         1
     0.236     -0.0627115    6.02628e-05       0.135121     6.1836e-05     0.00380374    3.93543e-05     -0.0688439    2.46568e-05    -0.00376327    1.54516e-05      0.0178476    1.51471e-05     -0.0178476    1.51471e-05      0.0520227    2.35341e-05      0.0520227    2.35341e-05     0.00296028    3.44367e-06       0.015235    5.37604e-06      -0.015235    5.37604e-06     0.00369317    9.61038e-07   -0.000115802    1.07123e-07    0.000499023    1.87858e-07    1.40478e-05    1.45296e-07   -0.000127126    3.12846e-08   -1.38984e-05    5.69507e-08     6.5914e-05    5.32464e-08    -6.5914e-05    5.32464e-08    0.000192129    7.10964e-08    0.000192129    7.10964e-08    1.09328e-05    1.23958e-08    5.62654e-05    1.34102e-08   -5.62654e-05    1.34102e-08        2.37912  10000000         1
     0.237     -0.0632608    5.95189e-05       0.134852    5.78627e-05     0.00457764    3.97771e-05     -0.0691668    2.31327e-05    -0.00363303    1.49167e-05      0.0179509    1.48941e-05     -0.0179509    1.48941e-05      0.0519882    2.20234e-05      0.0519882    2.20234e-05     0.00302614    3.44483e-06      0.0153033    5.03128e-06     -0.0153033    5.03128e-06     0.00363454    8.78317e-07   -0.000114962    1.04533e-07    0.000490126    1.73779e-07    1.66376e-05    1.44516e-07   -0.000125695    2.90615e-08   -1.32044e-05    5.41215e-08    6.52434e-05    5.17863e-08   -6.52434e-05    5.17863e-08    0.000188953    6.57432e-08    0.000188953    6.57432e-08    1.09986e-05     1.2235e-08    5.56205e-05    1.23987e-08   -5.56205e-05    1.23987e-08        2.37258  10000000         1
     0.238      -0.063807    5.89836e-05       0.134585    5.45901e-05     0.00535732    4.02831e-05     -0.0694894    2.19218e-05    -0.00350323    1.45128e-05      0.0180537    1.47015e-05     -0.0180537    1.47015e-05      0.0519533    2.07838e-05      0.0519533    2.07838e-05     0.00309227    3.46388e-06      0.0153716    4.75618e-06     -0.0153716    4.75618e-06       0.003577    8.10258e-07   -0.000114119    1.02276e-07    0.000481409    1.61982e-07    1.91631e-05    1.44027e-07   -0.000124282    2.72884e-08   -1.25311e-05    5.18346e-08    6.45779e-05    5.05119e-08   -6.45779e-05    5.05119e-08    0.000185837    6.12773e-08    0.000185837    6.12773e-08     1.1061e-05    1.21343e-08    5.49841e-05    1.15893e-08   -5.49841e-05    1.15893e-08        2.34908  10000000         1
