        xB    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]   <dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
      0.01       0.194177    6.34656e-05       0.115467     5.3614e-05     -0.0422251    1.41711e-05    -0.00558293     1.4966e-06      0.0366865    1.79311e-05     -0.0565367    1.96688e-05      0.0565367    1.96688e-05      0.0239455      9.278e-06      0.0239455      9.278e-06    -0.00356712    1.05443e-06      0.0014465    3.85084e-07     -0.0014465    3.85084e-07        3.06071    0.000629008       0.297159    7.55235e-05        0.35341    0.000147149      -0.129239    3.42905e-05    -0.00854387    1.47058e-06       0.112287    4.97949e-05      -0.173042    4.85743e-05       0.173042    4.85743e-05      0.0732902    2.40737e-05      0.0732902    2.40737e-05     -0.0109179    2.31974e-06     0.00442732    7.49216e-07    -0.00442732    7.49216e-07        4.65707  10000000         1
     0.011       0.194906    6.48173e-05       0.118768    5.56331e-05     -0.0415008    1.39712e-05    -0.00572745    1.56323e-06      0.0343175    1.80166e-05     -0.0565713    2.00753e-05      0.0565713    2.00753e-05      0.0247329    9.69258e-06      0.0247329    9.69258e-06    -0.00351158    1.04914e-06     0.00148239    4.03944e-07    -0.00148239    4.03944e-07         2.8511    0.000599538       0.277848    7.15828e-05        0.33862    0.000141734      -0.118323    3.11066e-05    -0.00816476    1.42065e-06      0.0978426    4.70665e-05       -0.16129    4.61054e-05        0.16129    4.61054e-05       0.070516    2.33192e-05       0.070516    2.33192e-05     -0.0100119    2.12484e-06     0.00422643    7.32464e-07    -0.00422643    7.32464e-07        3.62819  10000000         1
     0.012       0.195368    6.60357e-05       0.121732    5.74314e-05     -0.0408516    1.38183e-05    -0.00586357     1.6279e-06      0.0322084    1.81493e-05     -0.0565497    2.04449e-05      0.0565497    2.04449e-05      0.0254474    1.00708e-05      0.0254474    1.00708e-05    -0.00346116    1.04542e-06     0.00151611    4.21672e-07    -0.00151611    4.21672e-07        2.66347     0.00057148       0.260179    6.79517e-05       0.324229    0.000136233      -0.108807    2.84526e-05    -0.00780873    1.37579e-06      0.0857863    4.46987e-05      -0.150619    4.38279e-05       0.150619    4.38279e-05      0.0677783    2.25387e-05      0.0677783    2.25387e-05    -0.00921872    1.95979e-06     0.00403812    7.14622e-07    -0.00403812    7.14622e-07         3.4717  10000000         1
     0.013        0.19563    6.68372e-05        0.12442    5.88556e-05     -0.0402632    1.36308e-05    -0.00599253    1.68235e-06      0.0303095    1.81896e-05     -0.0564889    2.06917e-05      0.0564889    2.06917e-05      0.0261015    1.03802e-05      0.0261015    1.03802e-05    -0.00341493    1.03715e-06       0.001548     4.3588e-07      -0.001548     4.3588e-07        2.49508    0.000541841       0.244056    6.43706e-05       0.310438     0.00013046       -0.10046    2.60908e-05    -0.00747592    1.33013e-06      0.0756247    4.23089e-05      -0.140944    4.15758e-05       0.140944    4.15758e-05      0.0651254    2.16969e-05      0.0651254    2.16969e-05    -0.00852052    1.80909e-06      0.0038624    6.92272e-07     -0.0038624    6.92272e-07         3.4208  10000000         1
     0.014       0.195738    6.75772e-05       0.126879    6.01968e-05     -0.0397252     1.3473e-05    -0.00611537    1.73682e-06      0.0285845    1.82604e-05     -0.0563996    2.09227e-05      0.0563996    2.09227e-05       0.026705    1.06729e-05       0.026705    1.06729e-05    -0.00337219    1.03088e-06     0.00157833    4.50493e-07    -0.00157833    4.50493e-07        2.34341    0.000515043       0.229347    6.10634e-05       0.297331    0.000125017     -0.0930924    2.40462e-05    -0.00716541     1.2889e-06      0.0669853    4.01794e-05      -0.132167    3.94993e-05       0.132167    3.94993e-05      0.0625808    2.08894e-05      0.0625808    2.08894e-05    -0.00790242     1.6791e-06     0.00369869    6.73543e-07    -0.00369869    6.73543e-07        3.48431  10000000         1
     0.015       0.195727     6.8233e-05       0.129146     6.1382e-05     -0.0392295    1.33085e-05     -0.0062329    1.78926e-06      0.0270051    1.83313e-05     -0.0562899    2.11287e-05      0.0562899    2.11287e-05      0.0272653     1.0939e-05      0.0272653     1.0939e-05    -0.00333242    1.02497e-06     0.00160731    4.64262e-07    -0.00160731    4.64262e-07        2.20631    0.000489868       0.215917    5.80304e-05       0.284935    0.000119742     -0.0865522    2.22005e-05    -0.00687584    1.25113e-06      0.0595815    3.82197e-05      -0.124193    3.75864e-05       0.124193    3.75864e-05      0.0601556     2.0102e-05      0.0601556     2.0102e-05    -0.00735233    1.56495e-06     0.00354621    6.55171e-07    -0.00354621    6.55171e-07        3.52522  10000000         1
     0.016       0.195251    6.87187e-05       0.131798    6.25792e-05     -0.0391208    1.33275e-05    -0.00641241    1.85568e-06      0.0248482    1.81978e-05     -0.0558906    2.12102e-05      0.0558906    2.12102e-05      0.0279495    1.12176e-05      0.0279495    1.12176e-05    -0.00331343    1.02608e-06     0.00165063    4.80772e-07    -0.00165063    4.80772e-07        2.04519    0.000457515       0.199662    5.42503e-05       0.269551    0.000112891     -0.0800093    2.05573e-05    -0.00655729    1.20381e-06      0.0508192    3.54391e-05      -0.114307    3.50407e-05       0.114307    3.50407e-05      0.0571619     1.9048e-05      0.0571619     1.9048e-05    -0.00677659    1.45111e-06     0.00337585     6.2969e-07    -0.00337585     6.2969e-07        3.62526  10000000         1
     0.017       0.194268    6.82611e-05       0.134771    6.32398e-05     -0.0393574    1.33482e-05    -0.00665302    1.91545e-06      0.0221886    1.78061e-05     -0.0551982    2.09303e-05      0.0551982    2.09303e-05      0.0287475     1.1403e-05      0.0287475     1.1403e-05    -0.00331273    1.02417e-06     0.00170802     4.9402e-07    -0.00170802     4.9402e-07        1.87052    0.000414517       0.181692    4.95443e-05       0.252092    0.000104269      -0.073619     1.8901e-05    -0.00622232    1.14365e-06      0.0415043    3.20117e-05       -0.10325    3.17687e-05        0.10325    3.17687e-05       0.053773    1.76904e-05       0.053773    1.76904e-05    -0.00619654    1.33582e-06     0.00319489    5.93842e-07    -0.00319489    5.93842e-07        3.15525  10000000         1
     0.018       0.193144    6.79898e-05       0.137536    6.38084e-05       -0.03959    1.34378e-05    -0.00689075    1.97967e-06      0.0197086    1.74692e-05     -0.0544817    2.07127e-05      0.0544817    2.07127e-05       0.029505    1.15793e-05       0.029505    1.15793e-05    -0.00331202    1.02619e-06     0.00176453    5.08153e-07    -0.00176453    5.08153e-07        1.71753    0.000377892       0.165866    4.55772e-05       0.236223     9.6485e-05      -0.067997    1.75743e-05    -0.00591754    1.09321e-06      0.0338501    2.90649e-05     -0.0935741    2.90119e-05      0.0935741    2.90119e-05      0.0506759    1.64684e-05      0.0506759    1.64684e-05     -0.0056885    1.24097e-06     0.00303064    5.63116e-07    -0.00303064    5.63116e-07        3.13977  10000000         1
     0.019       0.191899    6.77001e-05       0.140114    6.41324e-05     -0.0398183    1.35169e-05    -0.00712596    2.04297e-06      0.0173902    1.71588e-05     -0.0537462    2.04896e-05      0.0537462    2.04896e-05      0.0302257    1.17191e-05      0.0302257    1.17191e-05    -0.00331125    1.02774e-06     0.00182029    5.21029e-07    -0.00182029    5.21029e-07        1.58265     0.00034499       0.151854    4.21227e-05       0.221752    8.92493e-05     -0.0630182    1.63992e-05    -0.00563894    1.05007e-06      0.0275225    2.64854e-05     -0.0850612    2.66038e-05      0.0850612    2.66038e-05      0.0478366    1.53384e-05      0.0478366    1.53384e-05    -0.00524054     1.1579e-06     0.00288087    5.34427e-07    -0.00288087    5.34427e-07        3.12792  10000000         1
