z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0516539,2.72257e-05,0.0516539,2.72257e-05,0.146598,7.72688e-05,0.146598,7.72688e-05,0.557699,861.878,100000000,1
,0.15,0.0526339,2.76485e-05,0.0526339,2.76485e-05,0.146609,7.70134e-05,0.146609,7.70134e-05,0.568237,863.963,100000000,1
,0.2,0.0550868,2.88847e-05,0.0550868,2.88847e-05,0.146621,7.68806e-05,0.146621,7.68806e-05,0.59467,867.638,100000000,1
,0.25,0.0587543,3.0756e-05,0.0587543,3.0756e-05,0.146631,7.6757e-05,0.146631,7.6757e-05,0.634216,862.037,100000000,1
,0.3,0.063033,3.2953e-05,0.063033,3.2953e-05,0.146639,7.66616e-05,0.146639,7.66616e-05,0.680365,864.237,100000000,1
,0.35,0.0674431,3.5228e-05,0.0674431,3.5228e-05,0.146638,7.65944e-05,0.146638,7.65944e-05,0.727974,864.621,100000000,1
,0.4,0.0717715,3.74754e-05,0.0717715,3.74754e-05,0.146654,7.6575e-05,0.146654,7.6575e-05,0.774612,864.629,100000000,1
,0.45,0.0760043,3.96735e-05,0.0760043,3.96735e-05,0.146654,7.65521e-05,0.146654,7.65521e-05,0.820291,855.942,100000000,1
,0.5,0.0802246,4.18662e-05,0.0802246,4.18662e-05,0.146658,7.65351e-05,0.146658,7.65351e-05,0.86582,862.698,100000000,1
,0.55,0.0844037,4.40058e-05,0.0844037,4.40058e-05,0.146643,7.64558e-05,0.146643,7.64558e-05,0.911011,863.516,100000000,1
,0.6,0.0883546,4.60488e-05,0.0883546,4.60488e-05,0.146628,7.642e-05,0.146628,7.642e-05,0.953753,861.502,100000000,1
,0.65,0.0917458,4.7807e-05,0.0917458,4.7807e-05,0.146622,7.64018e-05,0.146622,7.64018e-05,0.990405,862.829,100000000,1
,0.7,0.0941911,4.89864e-05,0.0941911,4.89864e-05,0.146628,7.62572e-05,0.146628,7.62572e-05,1.01676,862.269,100000000,1
,0.75,0.0953447,4.96297e-05,0.0953447,4.96297e-05,0.146622,7.63211e-05,0.146622,7.63211e-05,1.02925,863.167,100000000,1
,0.8,0.0950575,4.9471e-05,0.0950575,4.9471e-05,0.146605,7.6298e-05,0.146605,7.6298e-05,1.02627,861.707,100000000,1
