z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0434332,2.6166e-05,0.0434332,2.6166e-05,0.0434332,2.6166e-05,0.0434332,2.6166e-05,-0.00969769,5.84231e-06,-0.00969769,5.84231e-06,-0.00969769,5.84231e-06,-0.00969769,5.84231e-06,0.145621,8.77282e-05,0.145621,8.77282e-05,0.472089,0.472089,-0.105407,-0.105407,866.424,100000000,1
,0.15,0.0435022,2.58656e-05,0.0435022,2.58656e-05,0.0435022,2.58656e-05,0.0435022,2.58656e-05,-0.0111078,6.6045e-06,-0.0111078,6.6045e-06,-0.0111078,6.6045e-06,-0.0111078,6.6045e-06,0.145654,8.66031e-05,0.145654,8.66031e-05,0.47273,0.47273,-0.120707,-0.120707,865.036,100000000,1
,0.2,0.0437897,2.57583e-05,0.0437897,2.57583e-05,0.0437897,2.57583e-05,0.0437897,2.57583e-05,-0.013507,7.94517e-06,-0.013507,7.94517e-06,-0.013507,7.94517e-06,-0.013507,7.94517e-06,0.145684,8.56955e-05,0.145684,8.56955e-05,0.475755,0.475755,-0.146747,-0.146747,864.525,100000000,1
,0.25,0.0442382,2.58533e-05,0.0442382,2.58533e-05,0.0442382,2.58533e-05,0.0442382,2.58533e-05,-0.0167974,9.81659e-06,-0.0167974,9.81659e-06,-0.0167974,9.81659e-06,-0.0167974,9.81659e-06,0.145715,8.51578e-05,0.145715,8.51578e-05,0.480526,0.480526,-0.182457,-0.182457,864.122,100000000,1
,0.3,0.0447319,2.60272e-05,0.0447319,2.60272e-05,0.0447319,2.60272e-05,0.0447319,2.60272e-05,-0.020735,1.20647e-05,-0.020735,1.20647e-05,-0.020735,1.20647e-05,-0.020735,1.20647e-05,0.145766,8.4814e-05,0.145766,8.4814e-05,0.485718,0.485718,-0.22515,-0.22515,863.962,100000000,1
,0.35,0.0451594,2.61796e-05,0.0451594,2.61796e-05,0.0451594,2.61796e-05,0.0451594,2.61796e-05,-0.0250616,1.45286e-05,-0.0250616,1.45286e-05,-0.0250616,1.45286e-05,-0.0250616,1.45286e-05,0.145718,8.44748e-05,0.145718,8.44748e-05,0.490524,0.490524,-0.272221,-0.272221,865.088,100000000,1
,0.4,0.0455456,2.63286e-05,0.0455456,2.63286e-05,0.0455456,2.63286e-05,0.0455456,2.63286e-05,-0.0296316,1.71292e-05,-0.0296316,1.71292e-05,-0.0296316,1.71292e-05,-0.0296316,1.71292e-05,0.145707,8.42287e-05,0.145707,8.42287e-05,0.494757,0.494757,-0.321885,-0.321885,864.457,100000000,1
,0.45,0.0458497,2.64323e-05,0.0458497,2.64323e-05,0.0458497,2.64323e-05,0.0458497,2.64323e-05,-0.0343717,1.98153e-05,-0.0343717,1.98153e-05,-0.0343717,1.98153e-05,-0.0343717,1.98153e-05,0.145565,8.39179e-05,0.145565,8.39179e-05,0.498546,0.498546,-0.37374,-0.37374,862.385,100000000,1
,0.5,0.0461617,2.65687e-05,0.0461617,2.65687e-05,0.0461617,2.65687e-05,0.0461617,2.65687e-05,-0.0393973,2.26755e-05,-0.0393973,2.26755e-05,-0.0393973,2.26755e-05,-0.0393973,2.26755e-05,0.14555,8.37726e-05,0.14555,8.37726e-05,0.501988,0.501988,-0.428429,-0.428429,864.104,100000000,1
,0.55,0.0464355,2.67126e-05,0.0464355,2.67126e-05,0.0464355,2.67126e-05,0.0464355,2.67126e-05,-0.0447488,2.57424e-05,-0.0447488,2.57424e-05,-0.0447488,2.57424e-05,-0.0447488,2.57424e-05,0.14555,8.37294e-05,0.14555,8.37294e-05,0.504967,0.504967,-0.486626,-0.486626,866.019,100000000,1
