z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0215914,1.04159e-05,0.0215914,1.04159e-05,0.148467,7.1622e-05,0.148467,7.1622e-05,0.230184,851.201,100000000,1
,0.15,0.0221882,1.06904e-05,0.0221882,1.06904e-05,0.148477,7.15368e-05,0.148477,7.15368e-05,0.236532,851.439,100000000,1
,0.2,0.0231239,1.11309e-05,0.0231239,1.11309e-05,0.148464,7.14644e-05,0.148464,7.14644e-05,0.246527,846.629,100000000,1
,0.25,0.024252,1.16666e-05,0.024252,1.16666e-05,0.148467,7.14209e-05,0.148467,7.14209e-05,0.258549,850.646,100000000,1
,0.3,0.0253909,1.22076e-05,0.0253909,1.22076e-05,0.148462,7.1379e-05,0.148462,7.1379e-05,0.270699,850.722,100000000,1
,0.35,0.026467,1.27084e-05,0.026467,1.27084e-05,0.148474,7.12913e-05,0.148474,7.12913e-05,0.282148,849.091,100000000,1
,0.4,0.0274829,1.31596e-05,0.0274829,1.31596e-05,0.148464,7.1089e-05,0.148464,7.1089e-05,0.292999,850.708,100000000,1
,0.45,0.0284633,1.36219e-05,0.0284633,1.36219e-05,0.148479,7.10587e-05,0.148479,7.10587e-05,0.303421,849.727,100000000,1
,0.5,0.0293486,1.40372e-05,0.0293486,1.40372e-05,0.148481,7.10171e-05,0.148481,7.10171e-05,0.312855,849.47,100000000,1
,0.55,0.0300057,1.43426e-05,0.0300057,1.43426e-05,0.148486,7.09757e-05,0.148486,7.09757e-05,0.319848,849.714,100000000,1
,0.6,0.0302595,1.44521e-05,0.0302595,1.44521e-05,0.148489,7.09193e-05,0.148489,7.09193e-05,0.322546,850.419,100000000,1
,0.65,0.0300037,1.43148e-05,0.0300037,1.43148e-05,0.148498,7.08482e-05,0.148498,7.08482e-05,0.319801,851.396,100000000,1
,0.7,0.0291914,1.39073e-05,0.0291914,1.39073e-05,0.148514,7.07549e-05,0.148514,7.07549e-05,0.311109,851.668,100000000,1
,0.75,0.0279148,1.32841e-05,0.0279148,1.32841e-05,0.148546,7.06903e-05,0.148546,7.06903e-05,0.297438,848.517,100000000,1
,0.8,0.0263506,1.25107e-05,0.0263506,1.25107e-05,0.148572,7.0539e-05,0.148572,7.0539e-05,0.280723,847.798,100000000,1
