z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0333316,1.63286e-05,0.0333316,1.63286e-05,-0.00309315,1.51528e-06,-0.00309315,1.51528e-06,0.148109,7.25565e-05,0.148109,7.25565e-05,0.356204,-0.0330554,853.536,100000000,1
,0.15,0.0330114,1.62498e-05,0.0330114,1.62498e-05,-0.00393206,1.93555e-06,-0.00393206,1.93555e-06,0.147974,7.28398e-05,0.147974,7.28398e-05,0.353105,-0.0420591,847.953,100000000,1
,0.2,0.0333134,1.64814e-05,0.0333134,1.64814e-05,-0.00530008,2.62215e-06,-0.00530008,2.62215e-06,0.147897,7.31701e-05,0.147897,7.31701e-05,0.356522,-0.0567217,854.743,100000000,1
,0.25,0.0341776,1.69508e-05,0.0341776,1.69508e-05,-0.00701015,3.47676e-06,-0.00701015,3.47676e-06,0.147817,7.33113e-05,0.147817,7.33113e-05,0.365968,-0.0750635,853.959,100000000,1
,0.3,0.0353105,1.75378e-05,0.0353105,1.75378e-05,-0.00885467,4.39788e-06,-0.00885467,4.39788e-06,0.147795,7.3406e-05,0.147795,7.3406e-05,0.378153,-0.094828,855.462,100000000,1
,0.35,0.0364329,1.81009e-05,0.0364329,1.81009e-05,-0.0107083,5.3202e-06,-0.0107083,5.3202e-06,0.147775,7.34187e-05,0.147775,7.34187e-05,0.390228,-0.114695,854.598,100000000,1
,0.4,0.0374195,1.85936e-05,0.0374195,1.85936e-05,-0.0125402,6.23119e-06,-0.0125402,6.23119e-06,0.147766,7.34245e-05,0.147766,7.34245e-05,0.400819,-0.134324,855.246,100000000,1
,0.45,0.0382839,1.90289e-05,0.0382839,1.90289e-05,-0.0143506,7.13293e-06,-0.0143506,7.13293e-06,0.147754,7.34403e-05,0.147754,7.34403e-05,0.410113,-0.15373,853.948,100000000,1
,0.5,0.0391297,1.9448e-05,0.0391297,1.9448e-05,-0.0160865,7.99521e-06,-0.0160865,7.99521e-06,0.147739,7.3428e-05,0.147739,7.3428e-05,0.419215,-0.172343,854.509,100000000,1
,0.55,0.040068,1.99009e-05,0.040068,1.99009e-05,-0.0175994,8.74126e-06,-0.0175994,8.74126e-06,0.147743,7.33808e-05,0.147743,7.33808e-05,0.429255,-0.188545,854.137,100000000,1
,0.6,0.0411356,2.04145e-05,0.0411356,2.04145e-05,-0.0186596,9.26026e-06,-0.0186596,9.26026e-06,0.147745,7.3322e-05,0.147745,7.3322e-05,0.440685,-0.1999,854.689,100000000,1
,0.65,0.0422861,2.0957e-05,0.0422861,2.0957e-05,-0.0190709,9.45154e-06,-0.0190709,9.45154e-06,0.147767,7.32335e-05,0.147767,7.32335e-05,0.452944,-0.204276,852.856,100000000,1
,0.7,0.0434474,2.14975e-05,0.0434474,2.14975e-05,-0.0186728,9.23916e-06,-0.0186728,9.23916e-06,0.147808,7.31342e-05,0.147808,7.31342e-05,0.465255,-0.199957,855.283,100000000,1
,0.75,0.0445146,2.19127e-05,0.0445146,2.19127e-05,-0.0174655,8.59754e-06,-0.0174655,8.59754e-06,0.147848,7.27797e-05,0.147848,7.27797e-05,0.476552,-0.186977,854.906,100000000,1
,0.8,0.0454191,2.22834e-05,0.0454191,2.22834e-05,-0.0156118,7.65942e-06,-0.0156118,7.65942e-06,0.147913,7.25684e-05,0.147913,7.25684e-05,0.486024,-0.16706,847.792,100000000,1
