z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0371853,1.79386e-05,0.0371853,1.79386e-05,0.0371853,1.79386e-05,0.0371853,1.79386e-05,-0.00955838,4.61107e-06,-0.00955838,4.61107e-06,-0.00955838,4.61107e-06,-0.00955838,4.61107e-06,0.148467,7.1622e-05,0.148467,7.1622e-05,0.396431,0.396431,-0.101901,-0.101901,851.201,100000000,1
,0.15,0.0370954,1.78727e-05,0.0370954,1.78727e-05,0.0370954,1.78727e-05,0.0370954,1.78727e-05,-0.0104631,5.04115e-06,-0.0104631,5.04115e-06,-0.0104631,5.04115e-06,-0.0104631,5.04115e-06,0.148477,7.15368e-05,0.148477,7.15368e-05,0.395446,0.395446,-0.111539,-0.111539,851.439,100000000,1
,0.2,0.0375549,1.80774e-05,0.0375549,1.80774e-05,0.0375549,1.80774e-05,0.0375549,1.80774e-05,-0.0121875,5.86656e-06,-0.0121875,5.86656e-06,-0.0121875,5.86656e-06,-0.0121875,5.86656e-06,0.148464,7.14644e-05,0.148464,7.14644e-05,0.400378,0.400378,-0.129933,-0.129933,846.629,100000000,1
,0.25,0.0384941,1.85178e-05,0.0384941,1.85178e-05,0.0384941,1.85178e-05,0.0384941,1.85178e-05,-0.0145504,6.99954e-06,-0.0145504,6.99954e-06,-0.0145504,6.99954e-06,-0.0145504,6.99954e-06,0.148467,7.14209e-05,0.148467,7.14209e-05,0.410382,0.410382,-0.15512,-0.15512,850.646,100000000,1
,0.3,0.0396167,1.90473e-05,0.0396167,1.90473e-05,0.0396167,1.90473e-05,0.0396167,1.90473e-05,-0.017241,8.28926e-06,-0.017241,8.28926e-06,-0.017241,8.28926e-06,-0.017241,8.28926e-06,0.148462,7.1379e-05,0.148462,7.1379e-05,0.422364,0.422364,-0.18381,-0.18381,850.722,100000000,1
,0.35,0.0407056,1.95452e-05,0.0407056,1.95452e-05,0.0407056,1.95452e-05,0.0407056,1.95452e-05,-0.0200276,9.61644e-06,-0.0200276,9.61644e-06,-0.0200276,9.61644e-06,-0.0200276,9.61644e-06,0.148474,7.12913e-05,0.148474,7.12913e-05,0.433938,0.433938,-0.213502,-0.213502,849.091,100000000,1
,0.4,0.0416599,1.9948e-05,0.0416599,1.9948e-05,0.0416599,1.9948e-05,0.0416599,1.9948e-05,-0.0227966,1.09157e-05,-0.0227966,1.09157e-05,-0.0227966,1.09157e-05,-0.0227966,1.09157e-05,0.148464,7.1089e-05,0.148464,7.1089e-05,0.444143,0.444143,-0.243038,-0.243038,850.708,100000000,1
,0.45,0.0425132,2.03459e-05,0.0425132,2.03459e-05,0.0425132,2.03459e-05,0.0425132,2.03459e-05,-0.0255472,1.22263e-05,-0.0255472,1.22263e-05,-0.0255472,1.22263e-05,-0.0255472,1.22263e-05,0.148479,7.10587e-05,0.148479,7.10587e-05,0.453195,0.453195,-0.272335,-0.272335,849.727,100000000,1
,0.5,0.0433191,2.07192e-05,0.0433191,2.07192e-05,0.0433191,2.07192e-05,0.0433191,2.07192e-05,-0.0282679,1.35203e-05,-0.0282679,1.35203e-05,-0.0282679,1.35203e-05,-0.0282679,1.35203e-05,0.148481,7.10171e-05,0.148481,7.10171e-05,0.461779,0.461779,-0.301334,-0.301334,849.47,100000000,1
,0.55,0.0441256,2.10919e-05,0.0441256,2.10919e-05,0.0441256,2.10919e-05,0.0441256,2.10919e-05,-0.030867,1.47543e-05,-0.030867,1.47543e-05,-0.030867,1.47543e-05,-0.030867,1.47543e-05,0.148486,7.09757e-05,0.148486,7.09757e-05,0.47036,0.47036,-0.329029,-0.329029,849.714,100000000,1
,0.6,0.0449206,2.14544e-05,0.0449206,2.14544e-05,0.0449206,2.14544e-05,0.0449206,2.14544e-05,-0.0331299,1.58231e-05,-0.0331299,1.58231e-05,-0.0331299,1.58231e-05,-0.0331299,1.58231e-05,0.148489,7.09193e-05,0.148489,7.09193e-05,0.478824,0.478824,-0.353143,-0.353143,850.419,100000000,1
,0.65,0.0456473,2.17783e-05,0.0456473,2.17783e-05,0.0456473,2.17783e-05,0.0456473,2.17783e-05,-0.0347898,1.65982e-05,-0.0347898,1.65982e-05,-0.0347898,1.65982e-05,-0.0347898,1.65982e-05,0.148498,7.08482e-05,0.148498,7.08482e-05,0.486541,0.486541,-0.370814,-0.370814,851.396,100000000,1
,0.7,0.046251,2.20349e-05,0.046251,2.20349e-05,0.046251,2.20349e-05,0.046251,2.20349e-05,-0.035566,1.69443e-05,-0.035566,1.69443e-05,-0.035566,1.69443e-05,-0.035566,1.69443e-05,0.148514,7.07549e-05,0.148514,7.07549e-05,0.492922,0.492922,-0.379046,-0.379046,851.668,100000000,1
,0.75,0.0466934,2.22205e-05,0.0466934,2.22205e-05,0.0466934,2.22205e-05,0.0466934,2.22205e-05,-0.0352962,1.67968e-05,-0.0352962,1.67968e-05,-0.0352962,1.67968e-05,-0.0352962,1.67968e-05,0.148546,7.06903e-05,0.148546,7.06903e-05,0.497529,0.497529,-0.376089,-0.376089,848.517,100000000,1
,0.8,0.0469611,2.22962e-05,0.0469611,2.22962e-05,0.0469611,2.22962e-05,0.0469611,2.22962e-05,-0.033997,1.61411e-05,-0.033997,1.61411e-05,-0.033997,1.61411e-05,-0.033997,1.61411e-05,0.148572,7.0539e-05,0.148572,7.0539e-05,0.500295,0.500295,-0.362183,-0.362183,847.798,100000000,1
