z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0223499,1.34646e-05,0.0223499,1.34646e-05,0.145621,8.77282e-05,0.145621,8.77282e-05,0.242928,866.424,100000000,1
,0.15,0.0235144,1.39812e-05,0.0235144,1.39812e-05,0.145654,8.66031e-05,0.145654,8.66031e-05,0.255527,865.036,100000000,1
,0.2,0.0244959,1.44092e-05,0.0244959,1.44092e-05,0.145684,8.56955e-05,0.145684,8.56955e-05,0.266137,864.525,100000000,1
,0.25,0.0251479,1.46967e-05,0.0251479,1.46967e-05,0.145715,8.51578e-05,0.145715,8.51578e-05,0.273163,864.122,100000000,1
,0.3,0.0255565,1.487e-05,0.0255565,1.487e-05,0.145766,8.4814e-05,0.145766,8.4814e-05,0.277504,863.962,100000000,1
,0.35,0.025873,1.4999e-05,0.025873,1.4999e-05,0.145718,8.44748e-05,0.145718,8.44748e-05,0.281034,865.088,100000000,1
,0.4,0.0262664,1.51838e-05,0.0262664,1.51838e-05,0.145707,8.42287e-05,0.145707,8.42287e-05,0.285329,864.457,100000000,1
,0.45,0.0267109,1.53988e-05,0.0267109,1.53988e-05,0.145565,8.39179e-05,0.145565,8.39179e-05,0.290441,862.385,100000000,1
,0.5,0.0270811,1.55868e-05,0.0270811,1.55868e-05,0.14555,8.37726e-05,0.14555,8.37726e-05,0.294496,864.104,100000000,1
,0.55,0.0270685,1.55715e-05,0.0270685,1.55715e-05,0.14555,8.37294e-05,0.14555,8.37294e-05,0.294359,866.019,100000000,1
,0.6,0.0263954,1.51986e-05,0.0263954,1.51986e-05,0.145543,8.38042e-05,0.145543,8.38042e-05,0.287053,864.318,100000000,1
,0.65,0.0249635,1.44111e-05,0.0249635,1.44111e-05,0.145484,8.39858e-05,0.145484,8.39858e-05,0.27159,860.412,100000000,1
,0.7,0.0228018,1.32272e-05,0.0228018,1.32272e-05,0.145467,8.43846e-05,0.145467,8.43846e-05,0.248102,856.698,100000000,1
,0.75,0.020092,1.17412e-05,0.020092,1.17412e-05,0.14524,8.48736e-05,0.14524,8.48736e-05,0.21896,861.882,100000000,1
,0.8,0.0171793,1.01737e-05,0.0171793,1.01737e-05,0.144977,8.5856e-05,0.144977,8.5856e-05,0.187556,862.406,100000000,1
