z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0391773,2.06495e-05,0.0391773,2.06495e-05,0.0391773,2.06495e-05,0.0391773,2.06495e-05,-0.0124766,6.57615e-06,-0.0124766,6.57615e-06,-0.0124766,6.57615e-06,-0.0124766,6.57615e-06,0.146598,7.72688e-05,0.146598,7.72688e-05,0.422991,0.422991,-0.134708,-0.134708,861.878,100000000,1
,0.15,0.0391957,2.05894e-05,0.0391957,2.05894e-05,0.0391957,2.05894e-05,0.0391957,2.05894e-05,-0.0134382,7.05906e-06,-0.0134382,7.05906e-06,-0.0134382,7.05906e-06,-0.0134382,7.05906e-06,0.146609,7.70134e-05,0.146609,7.70134e-05,0.423158,0.423158,-0.145079,-0.145079,863.963,100000000,1
,0.2,0.0396886,2.08106e-05,0.0396886,2.08106e-05,0.0396886,2.08106e-05,0.0396886,2.08106e-05,-0.0153983,8.07407e-06,-0.0153983,8.07407e-06,-0.0153983,8.07407e-06,-0.0153983,8.07407e-06,0.146621,7.68806e-05,0.146621,7.68806e-05,0.428443,0.428443,-0.166226,-0.166226,867.638,100000000,1
,0.25,0.0405638,2.12339e-05,0.0405638,2.12339e-05,0.0405638,2.12339e-05,0.0405638,2.12339e-05,-0.0181905,9.52214e-06,-0.0181905,9.52214e-06,-0.0181905,9.52214e-06,-0.0181905,9.52214e-06,0.146631,7.6757e-05,0.146631,7.6757e-05,0.437861,0.437861,-0.196355,-0.196355,862.037,100000000,1
,0.3,0.0415685,2.17316e-05,0.0415685,2.17316e-05,0.0415685,2.17316e-05,0.0415685,2.17316e-05,-0.0214645,1.12214e-05,-0.0214645,1.12214e-05,-0.0214645,1.12214e-05,-0.0214645,1.12214e-05,0.146639,7.66616e-05,0.146639,7.66616e-05,0.448681,0.448681,-0.231684,-0.231684,864.237,100000000,1
,0.35,0.0425214,2.22105e-05,0.0425214,2.22105e-05,0.0425214,2.22105e-05,0.0425214,2.22105e-05,-0.0249217,1.30175e-05,-0.0249217,1.30175e-05,-0.0249217,1.30175e-05,-0.0249217,1.30175e-05,0.146638,7.65944e-05,0.146638,7.65944e-05,0.458972,0.458972,-0.269002,-0.269002,864.621,100000000,1
,0.4,0.0433691,2.26451e-05,0.0433691,2.26451e-05,0.0433691,2.26451e-05,0.0433691,2.26451e-05,-0.0284025,1.48303e-05,-0.0284025,1.48303e-05,-0.0284025,1.48303e-05,-0.0284025,1.48303e-05,0.146654,7.6575e-05,0.146654,7.6575e-05,0.468071,0.468071,-0.306541,-0.306541,864.629,100000000,1
,0.45,0.044122,2.30312e-05,0.044122,2.30312e-05,0.044122,2.30312e-05,0.044122,2.30312e-05,-0.0318823,1.66423e-05,-0.0318823,1.66423e-05,-0.0318823,1.66423e-05,-0.0318823,1.66423e-05,0.146654,7.65521e-05,0.146654,7.65521e-05,0.476195,0.476195,-0.344096,-0.344096,855.942,100000000,1
,0.5,0.0448243,2.33921e-05,0.0448243,2.33921e-05,0.0448243,2.33921e-05,0.0448243,2.33921e-05,-0.0354003,1.84741e-05,-0.0354003,1.84741e-05,-0.0354003,1.84741e-05,-0.0354003,1.84741e-05,0.146658,7.65351e-05,0.146658,7.65351e-05,0.483764,0.483764,-0.382056,-0.382056,862.698,100000000,1
,0.55,0.0454794,2.37117e-05,0.0454794,2.37117e-05,0.0454794,2.37117e-05,0.0454794,2.37117e-05,-0.0389244,2.02941e-05,-0.0389244,2.02941e-05,-0.0389244,2.02941e-05,-0.0389244,2.02941e-05,0.146643,7.64558e-05,0.146643,7.64558e-05,0.490882,0.490882,-0.42013,-0.42013,863.516,100000000,1
,0.6,0.0460595,2.40054e-05,0.0460595,2.40054e-05,0.0460595,2.40054e-05,0.0460595,2.40054e-05,-0.042295,2.20434e-05,-0.042295,2.20434e-05,-0.042295,2.20434e-05,-0.042295,2.20434e-05,0.146628,7.642e-05,0.146628,7.642e-05,0.497195,0.497195,-0.456558,-0.456558,861.502,100000000,1
,0.65,0.046515,2.42381e-05,0.046515,2.42381e-05,0.046515,2.42381e-05,0.046515,2.42381e-05,-0.0452308,2.35689e-05,-0.0452308,2.35689e-05,-0.0452308,2.35689e-05,-0.0452308,2.35689e-05,0.146622,7.64018e-05,0.146622,7.64018e-05,0.502134,0.502134,-0.488271,-0.488271,862.829,100000000,1
,0.7,0.046809,2.43441e-05,0.046809,2.43441e-05,0.046809,2.43441e-05,0.046809,2.43441e-05,-0.0473822,2.46422e-05,-0.0473822,2.46422e-05,-0.0473822,2.46422e-05,-0.0473822,2.46422e-05,0.146628,7.62572e-05,0.146628,7.62572e-05,0.505287,0.505287,-0.511475,-0.511475,862.269,100000000,1
,0.75,0.0469258,2.44263e-05,0.0469258,2.44263e-05,0.0469258,2.44263e-05,0.0469258,2.44263e-05,-0.0484189,2.52034e-05,-0.0484189,2.52034e-05,-0.0484189,2.52034e-05,-0.0484189,2.52034e-05,0.146622,7.63211e-05,0.146622,7.63211e-05,0.506567,0.506567,-0.522685,-0.522685,863.167,100000000,1
,0.8,0.0468901,2.44031e-05,0.0468901,2.44031e-05,0.0468901,2.44031e-05,0.0468901,2.44031e-05,-0.0481674,2.50679e-05,-0.0481674,2.50679e-05,-0.0481674,2.50679e-05,-0.0481674,2.50679e-05,0.146605,7.6298e-05,0.146605,7.6298e-05,0.50624,0.50624,-0.520031,-0.520031,861.707,100000000,1
