z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0364247,1.78439e-05,0.0364247,1.78439e-05,0.148109,7.25565e-05,0.148109,7.25565e-05,0.389259,853.536,100000000,1
,0.15,0.0369435,1.81854e-05,0.0369435,1.81854e-05,0.147974,7.28398e-05,0.147974,7.28398e-05,0.395164,847.953,100000000,1
,0.2,0.0386135,1.91036e-05,0.0386135,1.91036e-05,0.147897,7.31701e-05,0.147897,7.31701e-05,0.413243,854.743,100000000,1
,0.25,0.0411878,2.04275e-05,0.0411878,2.04275e-05,0.147817,7.33113e-05,0.147817,7.33113e-05,0.441031,853.959,100000000,1
,0.3,0.0441651,2.19357e-05,0.0441651,2.19357e-05,0.147795,7.3406e-05,0.147795,7.3406e-05,0.472981,855.462,100000000,1
,0.35,0.0471412,2.34211e-05,0.0471412,2.34211e-05,0.147775,7.34187e-05,0.147775,7.34187e-05,0.504923,854.598,100000000,1
,0.4,0.0499597,2.48248e-05,0.0499597,2.48248e-05,0.147766,7.34245e-05,0.147766,7.34245e-05,0.535143,855.246,100000000,1
,0.45,0.0526346,2.61618e-05,0.0526346,2.61618e-05,0.147754,7.34403e-05,0.147754,7.34403e-05,0.563843,853.948,100000000,1
,0.5,0.0552163,2.74432e-05,0.0552163,2.74432e-05,0.147739,7.3428e-05,0.147739,7.3428e-05,0.591558,854.509,100000000,1
,0.55,0.0576674,2.86422e-05,0.0576674,2.86422e-05,0.147743,7.33808e-05,0.147743,7.33808e-05,0.6178,854.137,100000000,1
,0.6,0.0597952,2.96747e-05,0.0597952,2.96747e-05,0.147745,7.3322e-05,0.147745,7.3322e-05,0.640586,854.689,100000000,1
,0.65,0.061357,3.04086e-05,0.061357,3.04086e-05,0.147767,7.32335e-05,0.147767,7.32335e-05,0.65722,852.856,100000000,1
,0.7,0.0621203,3.07366e-05,0.0621203,3.07366e-05,0.147808,7.31342e-05,0.147808,7.31342e-05,0.665212,855.283,100000000,1
,0.75,0.0619801,3.05102e-05,0.0619801,3.05102e-05,0.147848,7.27797e-05,0.147848,7.27797e-05,0.66353,854.906,100000000,1
,0.8,0.061031,2.99428e-05,0.061031,2.99428e-05,0.147913,7.25684e-05,0.147913,7.25684e-05,0.653084,847.792,100000000,1
