z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.029039,4.66979e-05,0.000377721,4.70537e-07,-0.00839672,1.35028e-05,-0.000109219,1.36057e-07,0.156986,0.000252451,0.00204198,2.54375e-06,0.184978,-0.0534869,51.6817,10000000,0
0.15,0.0289447,4.65463e-05,0.000376489,4.69006e-07,-0.0094491,1.51952e-05,-0.000122906,1.53109e-07,0.156986,0.000252452,0.00204195,2.54373e-06,0.184377,-0.0601906,51.2168,10000000,0
0.2,0.0293632,4.72194e-05,0.000381927,4.75783e-07,-0.0111368,1.79092e-05,-0.000144856,1.80453e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.187043,-0.0709411,50.8634,10000000,0
0.25,0.0302266,4.86079e-05,0.000393153,4.89771e-07,-0.0132439,2.12978e-05,-0.000172261,2.14595e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.192543,-0.0843636,51.0473,10000000,0
0.3,0.0312663,5.02799e-05,0.000406673,5.06615e-07,-0.0154924,2.49136e-05,-0.000201506,2.51027e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.199166,-0.0986864,51.6985,10000000,0
0.35,0.0322688,5.18921e-05,0.00041971,5.22857e-07,-0.0177035,2.84693e-05,-0.000230263,2.86852e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.205552,-0.112771,51.6436,10000000,0
0.4,0.0331443,5.32999e-05,0.000431095,5.37041e-07,-0.0198205,3.18737e-05,-0.000257798,3.21154e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.211129,-0.126256,51.5028,10000000,0
0.45,0.0339072,5.45268e-05,0.000441017,5.49402e-07,-0.0218566,3.51481e-05,-0.00028428,3.54145e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.215989,-0.139226,51.036,10000000,0
0.5,0.034619,5.56714e-05,0.000450273,5.60934e-07,-0.0238005,3.82741e-05,-0.000309563,3.85642e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.220522,-0.151609,51.2343,10000000,0
0.55,0.0353275,5.68109e-05,0.000459488,5.72414e-07,-0.025549,4.10859e-05,-0.000332303,4.13972e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.225036,-0.162747,51.8481,10000000,0
0.6,0.0360323,5.79442e-05,0.000468653,5.83833e-07,-0.0269076,4.32707e-05,-0.000349974,4.35986e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.229525,-0.171401,51.6249,10000000,0
0.65,0.0366842,5.89926e-05,0.000477131,5.94395e-07,-0.0276745,4.4504e-05,-0.000359948,4.48411e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.233678,-0.176286,50.7152,10000000,0
0.7,0.0372328,5.98748e-05,0.000484266,6.03283e-07,-0.0276655,4.44895e-05,-0.00035983,4.48265e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.237172,-0.176229,51.3006,10000000,0
0.75,0.0376375,6.05256e-05,0.000489528,6.0984e-07,-0.0268314,4.31482e-05,-0.00034898,4.34749e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.23975,-0.170916,51.5522,10000000,0
0.8,0.0378882,6.09289e-05,0.000492788,6.13902e-07,-0.0252882,4.06665e-05,-0.000328908,4.09745e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.241348,-0.161086,51.3651,10000000,0
0.1,0.033838,5.44152e-05,0.000440141,5.48297e-07,-0.0081177,1.30542e-05,-0.000105589,1.31536e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.215547,-0.0517096,51.7936,10000000,0
0.15,0.0336114,5.40508e-05,0.000437191,5.44624e-07,-0.00911712,1.46613e-05,-0.000118589,1.4773e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.214104,-0.0580759,51.6467,10000000,0
0.2,0.0339875,5.46558e-05,0.000442077,5.50714e-07,-0.0108384,1.74294e-05,-0.000140975,1.75619e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.2165,-0.0690405,51.9613,10000000,0
0.25,0.0349061,5.6133e-05,0.000454019,5.65594e-07,-0.0130588,2.10001e-05,-0.000169854,2.11596e-07,0.156986,0.000252452,0.0020419,2.5437e-06,0.222351,-0.0831844,51.6522,10000000,0
0.3,0.0360559,5.79821e-05,0.000468971,5.84223e-07,-0.0154785,2.48913e-05,-0.000201326,2.50802e-07,0.156986,0.000252452,0.00204188,2.54369e-06,0.229676,-0.098598,51.4959,10000000,0
0.35,0.0371797,5.97893e-05,0.000483585,6.0243e-07,-0.0178984,2.87828e-05,-0.0002328,2.90012e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.236834,-0.114013,51.8773,10000000,0
0.4,0.0381627,6.137e-05,0.000496368,6.18355e-07,-0.0202506,3.25654e-05,-0.000263393,3.28124e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.243096,-0.128996,51.4445,10000000,0
0.45,0.0390186,6.27465e-05,0.000507499,6.32223e-07,-0.0225449,3.62548e-05,-0.000293232,3.65297e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.248548,-0.143611,51.7893,10000000,0
0.5,0.0398255,6.40441e-05,0.000517992,6.45296e-07,-0.0247642,3.98238e-05,-0.000322098,4.01257e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.253688,-0.157748,51.7362,10000000,0
0.55,0.0406523,6.53737e-05,0.000528745,6.58692e-07,-0.0267875,4.30775e-05,-0.000348412,4.3404e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.258955,-0.170636,51.4076,10000000,0
0.6,0.0415097,6.67526e-05,0.000539896,6.72585e-07,-0.0283865,4.56489e-05,-0.000369209,4.59948e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.264417,-0.180822,51.4366,10000000,0
0.65,0.0423418,6.80907e-05,0.000550718,6.86066e-07,-0.0293198,4.71498e-05,-0.000381347,4.7507e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.269717,-0.186767,51.3129,10000000,0
0.7,0.0430848,6.92856e-05,0.00056038,6.98104e-07,-0.0293624,4.72183e-05,-0.000381901,4.7576e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.27445,-0.187038,51.1,10000000,0
0.75,0.0436778,7.02392e-05,0.000568092,7.07712e-07,-0.0284427,4.57393e-05,-0.000369938,4.60858e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.278227,-0.18118,51.5062,10000000,0
0.8,0.0440933,7.09074e-05,0.000573495,7.14444e-07,-0.0266823,4.29084e-05,-0.000347041,4.32334e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.280874,-0.169966,51.4615,10000000,0
0.1,0.0345883,5.56218e-05,0.000449899,5.60454e-07,-0.00724215,1.16462e-05,-9.42006e-05,1.17349e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.220327,-0.0461323,51.521,10000000,0
0.15,0.0342907,5.51432e-05,0.000446028,5.55632e-07,-0.00811412,1.30484e-05,-0.000105542,1.31478e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.218431,-0.0516868,51.2287,10000000,0
0.2,0.0346106,5.56578e-05,0.000450181,5.6081e-07,-0.0097099,1.56146e-05,-0.000126297,1.57334e-07,0.156986,0.000252452,0.00204193,2.54371e-06,0.220469,-0.0618519,51.2983,10000000,0
0.25,0.0354975,5.70841e-05,0.000461712,5.75178e-07,-0.0118234,1.90133e-05,-0.000153785,1.91578e-07,0.156986,0.000252452,0.0020419,2.5437e-06,0.226119,-0.0753146,51.1575,10000000,0
0.3,0.0366354,5.89141e-05,0.000476509,5.93613e-07,-0.0141657,2.27801e-05,-0.00018425,2.29531e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.233367,-0.0902354,50.5634,10000000,0
0.35,0.0377567,6.07173e-05,0.000491091,6.1178e-07,-0.0165403,2.65987e-05,-0.000215135,2.68006e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.24051,-0.105361,51.3153,10000000,0
0.4,0.0387386,6.22962e-05,0.00050386,6.27688e-07,-0.0188768,3.03561e-05,-0.000245524,3.05864e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.246764,-0.120245,51.2489,10000000,0
0.45,0.0395934,6.36709e-05,0.000514976,6.41537e-07,-0.0211818,3.40628e-05,-0.000275503,3.43211e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.25221,-0.134928,51.2493,10000000,0
0.5,0.0404047,6.49755e-05,0.000525526,6.54681e-07,-0.0234354,3.76869e-05,-0.000304814,3.79726e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.257377,-0.149283,51.8028,10000000,0
0.55,0.0412503,6.63353e-05,0.000536523,6.68381e-07,-0.0255121,4.10264e-05,-0.000331823,4.13374e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.262764,-0.162512,50.518,10000000,0
0.6,0.0421477,6.77785e-05,0.000548194,6.82921e-07,-0.0271752,4.3701e-05,-0.000353454,4.40321e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.26848,-0.173106,51.638,10000000,0
0.65,0.0430402,6.92138e-05,0.000559801,6.97382e-07,-0.0281707,4.53019e-05,-0.000366402,4.56451e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.274165,-0.179447,51.58,10000000,0
0.7,0.0438596,7.05316e-05,0.000570458,7.10659e-07,-0.0282576,4.54417e-05,-0.000367532,4.57859e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.279385,-0.180001,50.9043,10000000,0
0.75,0.0445358,7.16189e-05,0.000579251,7.21614e-07,-0.0273502,4.39824e-05,-0.000355728,4.43155e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.283692,-0.17422,51.38,10000000,0
0.8,0.0450312,7.24156e-05,0.000585693,7.2964e-07,-0.0255624,4.11075e-05,-0.000332475,4.14188e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.286848,-0.162832,51.3149,10000000,0
0.1,0.0331858,5.33664e-05,0.000431658,5.37729e-07,-0.00792175,1.2739e-05,-0.000103041,1.28361e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.211393,-0.0504614,51.1488,10000000,0
0.15,0.0329621,5.30067e-05,0.000428746,5.34103e-07,-0.0089182,1.43415e-05,-0.000116001,1.44507e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.209968,-0.0568088,51.2192,10000000,0
0.2,0.0333214,5.35847e-05,0.000433413,5.39921e-07,-0.010585,1.70219e-05,-0.000137679,1.71513e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.212257,-0.0674262,51.6805,10000000,0
0.25,0.034206,5.50072e-05,0.000444913,5.5425e-07,-0.0127049,2.0431e-05,-0.000165251,2.05862e-07,0.156986,0.000252452,0.0020419,2.5437e-06,0.217892,-0.0809301,51.358,10000000,0
0.3,0.0353134,5.67881e-05,0.000459314,5.72192e-07,-0.0149925,2.41097e-05,-0.000195004,2.42927e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.224946,-0.0955021,51.1699,10000000,0
0.35,0.036393,5.85242e-05,0.000473353,5.89683e-07,-0.0172608,2.77575e-05,-0.000224507,2.79681e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.231823,-0.109951,50.9445,10000000,0
0.4,0.0373327,6.00354e-05,0.000485573,6.04907e-07,-0.019448,3.12747e-05,-0.000252953,3.15119e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.237809,-0.123884,51.2337,10000000,0
0.45,0.0381461,6.13435e-05,0.000496151,6.18086e-07,-0.0215653,3.46795e-05,-0.000280491,3.49425e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.24299,-0.13737,51.1286,10000000,0
0.5,0.0389113,6.2574e-05,0.000506102,6.30483e-07,-0.0236,3.79516e-05,-0.000306955,3.82393e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.247864,-0.150332,51.2651,10000000,0
