z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0343604,5.52559e-05,0.000446896,5.56736e-07,-0.00415204,6.67701e-06,-5.4002e-05,6.72749e-08,0.156986,0.000252453,0.00204178,2.54362e-06,0.218876,-0.0264485,51.2936,10000000,0
0.15,0.03392,5.45471e-05,0.000441203,5.49622e-07,-0.00507505,8.16125e-06,-6.60121e-05,8.22336e-08,0.156986,0.000252452,0.00204195,2.54373e-06,0.216069,-0.032328,50.6671,10000000,0
0.2,0.0341478,5.49134e-05,0.000444172,5.53318e-07,-0.00656099,1.05508e-05,-8.5341e-05,1.06312e-07,0.156986,0.000252451,0.00204197,2.54375e-06,0.217521,-0.0417934,51.637,10000000,0
0.25,0.0350134,5.63054e-05,0.000455425,5.6734e-07,-0.00839374,1.34981e-05,-0.000109179,1.36008e-07,0.156986,0.000252452,0.00204195,2.54373e-06,0.223035,-0.053468,52.0055,10000000,0
0.3,0.0361809,5.8183e-05,0.000470606,5.86254e-07,-0.0103323,1.66155e-05,-0.000134392,1.67418e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.230472,-0.0658166,51.3616,10000000,0
0.35,0.0373479,6.00597e-05,0.00048578,6.0516e-07,-0.0122395,1.96825e-05,-0.000159198,1.98321e-07,0.156986,0.000252452,0.0020419,2.5437e-06,0.237906,-0.0779654,51.8589,10000000,0
0.4,0.0382548,2.7866e-05,0.000499878,2.86839e-07,-0.0140483,1.02333e-05,-0.00018357,1.05336e-07,0.156547,0.000114034,0.00204561,1.17381e-06,0.244366,-0.0897388,102.465,20000000,0
0.45,0.0391216,2.84684e-05,0.000511199,2.92963e-07,-0.0158482,1.15326e-05,-0.000207088,1.1868e-07,0.156547,0.000113918,0.00204559,1.1723e-06,0.249903,-0.101236,103.462,20000000,0
0.5,0.0399529,2.90526e-05,0.000522057,2.9892e-07,-0.0175687,1.27755e-05,-0.000229567,1.31446e-07,0.156547,0.000113837,0.00204557,1.17126e-06,0.255213,-0.112226,102.705,20000000,0
0.55,0.040985,6.59087e-05,0.000533076,6.64086e-07,-0.0191216,3.07498e-05,-0.000248707,3.0983e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.261074,-0.121804,51.3727,10000000,0
0.6,0.0420496,6.76207e-05,0.000546922,6.81335e-07,-0.0201777,3.24481e-05,-0.000262443,3.26941e-07,0.156986,0.000252452,0.00204185,2.54367e-06,0.267855,-0.128532,51.2995,10000000,0
0.65,0.0432119,6.94898e-05,0.000562037,7.00166e-07,-0.0205845,3.31023e-05,-0.000267734,3.33533e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.275259,-0.131123,51.6528,10000000,0
