z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.7,0.0463479,7.4533e-05,0.000602818,7.50974e-07,-0.0368305,5.92278e-05,-0.000479031,5.96763e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.295235,-0.23461,50.8272,10000000,0
0.75,0.046769,7.52103e-05,0.000608295,7.57797e-07,-0.03658,5.8825e-05,-0.000475772,5.92704e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.297918,-0.233014,51.4462,10000000,0
0.8,0.0470117,7.56005e-05,0.00061145,7.61728e-07,-0.0353128,5.67873e-05,-0.00045929,5.72172e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.299464,-0.224942,51.5791,10000000,0
0.1,0.0385613,6.20108e-05,0.000501577,6.24831e-07,-0.010723,1.72437e-05,-0.000139476,1.7375e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.245635,-0.068305,51.2009,10000000,0
0.15,0.038344,6.16616e-05,0.000498741,6.21303e-07,-0.0115635,1.85954e-05,-0.000150407,1.87368e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.244251,-0.0736594,51.1251,10000000,0
0.2,0.0387488,6.23126e-05,0.000503999,6.27858e-07,-0.0133281,2.14332e-05,-0.000173357,2.15959e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.246829,-0.0848999,51.0873,10000000,0
0.25,0.0397063,6.38524e-05,0.00051645,6.4337e-07,-0.0158101,2.54245e-05,-0.000205638,2.56174e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.252929,-0.10071,51.4359,10000000,0
0.3,0.040893,6.57607e-05,0.000531881,6.62596e-07,-0.0186553,2.99999e-05,-0.000242643,3.02274e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.260488,-0.118834,51.592,10000000,0
0.35,0.0420487,6.76192e-05,0.00054691,6.8132e-07,-0.0215919,3.47223e-05,-0.000280837,3.49856e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.267849,-0.13754,51.7686,10000000,0
0.4,0.0430641,6.92522e-05,0.000560116,6.97772e-07,-0.024496,3.93924e-05,-0.000318609,3.96911e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.274318,-0.156039,52.0695,10000000,0
