z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0415841,6.68724e-05,0.000540848,6.7378e-07,-0.00304033,4.88924e-06,-3.9543e-05,4.9262e-08,0.156986,0.000252453,0.00204178,2.54362e-06,0.26489,-0.0193669,50.7958,10000000,0
0.15,0.0409598,6.58681e-05,0.000532757,6.63683e-07,-0.00384582,6.18452e-06,-5.00219e-05,6.23149e-08,0.156986,0.000252452,0.00204189,2.54369e-06,0.260913,-0.0244978,51.7584,10000000,0
0.2,0.0411403,6.61581e-05,0.000535126,6.66622e-07,-0.00529013,8.50711e-06,-6.88106e-05,8.57193e-08,0.156986,0.000252451,0.00204198,2.54375e-06,0.262063,-0.033698,51.3741,10000000,0
0.25,0.0421039,6.77078e-05,0.000547657,6.82234e-07,-0.00716128,1.15161e-05,-9.31486e-05,1.16038e-07,0.156986,0.000252451,0.00204196,2.54374e-06,0.268201,-0.0456172,51.7311,10000000,0
0.3,0.0434489,6.98708e-05,0.000565144,7.04023e-07,-0.0092056,1.48036e-05,-0.000119738,1.49163e-07,0.156986,0.000252452,0.00204193,2.54372e-06,0.276769,-0.0586395,52.095,10000000,0
0.35,0.0448049,7.20514e-05,0.000582775,7.2599e-07,-0.0112695,1.81227e-05,-0.000146582,1.82604e-07,0.156986,0.000252452,0.00204191,2.5437e-06,0.285407,-0.0717866,51.459,10000000,0
0.4,0.0458522,3.33983e-05,0.00059916,3.43789e-07,-0.0132775,9.67122e-06,-0.0001735,9.95517e-08,0.156547,0.000114027,0.00204563,1.17375e-06,0.292897,-0.084815,104.199,20000000,0
0.45,0.0468527,3.40928e-05,0.000612224,3.50844e-07,-0.0153102,1.11406e-05,-0.000200059,1.14647e-07,0.156547,0.000113913,0.0020456,1.17226e-06,0.299288,-0.0977997,102.335,20000000,0
0.5,0.0478189,3.47716e-05,0.000624844,3.57763e-07,-0.0172937,1.25752e-05,-0.000225975,1.29385e-07,0.156547,0.000113833,0.00204558,1.17123e-06,0.30546,-0.11047,103.7,20000000,0
0.55,0.0490483,7.88754e-05,0.000637954,7.94737e-07,-0.0191206,3.07481e-05,-0.000248695,3.09814e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.312437,-0.121798,52.047,10000000,0
0.6,0.050353,8.09736e-05,0.000654923,8.15877e-07,-0.0204254,3.28465e-05,-0.000265666,3.30956e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.320748,-0.13011,51.9116,10000000,0
0.65,0.0518146,8.3324e-05,0.000673931,8.39558e-07,-0.0210113,3.37886e-05,-0.000273285,3.40448e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.330058,-0.133842,50.9778,10000000,0
0.7,0.0533396,8.57764e-05,0.000693764,8.64267e-07,-0.0206694,3.32388e-05,-0.000268837,3.34908e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.339773,-0.131664,52.1758,10000000,0
0.75,0.0547855,8.81016e-05,0.000712568,8.87693e-07,-0.0193757,3.11585e-05,-0.000252011,3.13947e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.348983,-0.123423,51.6377,10000000,0
0.8,0.0560313,9.0105e-05,0.000728769,9.07877e-07,-0.0173049,2.78284e-05,-0.000225076,2.80392e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.356918,-0.110232,51.559,10000000,0
0.1,0.0337311,5.42439e-05,0.000438712,5.4654e-07,-0.00394587,6.34546e-06,-5.13206e-05,6.39343e-08,0.156986,0.000252453,0.00204178,2.54362e-06,0.214867,-0.0251352,51.8138,10000000,0
0.15,0.0332933,5.35394e-05,0.000433052,5.39469e-07,-0.00483428,7.77406e-06,-6.28803e-05,7.83323e-08,0.156986,0.000252452,0.00204195,2.54373e-06,0.212078,-0.0307943,51.8199,10000000,0
0.2,0.033514,5.38942e-05,0.000435928,5.43048e-07,-0.00629079,1.01163e-05,-8.18265e-05,1.01934e-07,0.156986,0.000252451,0.00204197,2.54375e-06,0.213484,-0.0400722,51.8117,10000000,0
0.25,0.0343638,5.52609e-05,0.000446976,5.56814e-07,-0.00810486,1.30335e-05,-0.000105421,1.31327e-07,0.156986,0.000252452,0.00204195,2.54373e-06,0.218897,-0.0516278,51.3642,10000000,0
