z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0391447,6.2949e-05,0.000509161,6.34281e-07,-0.00604961,9.72845e-06,-7.86883e-05,9.80249e-08,0.156986,0.000252452,0.00204195,2.54373e-06,0.249351,-0.0385359,51.5852,10000000,0
0.15,0.0386929,6.22225e-05,0.000503291,6.26965e-07,-0.0067301,1.08228e-05,-8.75405e-05,1.09052e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.246473,-0.0428706,51.5569,10000000,0
0.2,0.0389356,6.26129e-05,0.000506439,6.30892e-07,-0.0081773,1.315e-05,-0.000106363,1.325e-07,0.156986,0.000252452,0.00204193,2.54372e-06,0.248019,-0.0520893,51.6496,10000000,0
0.25,0.0398372,6.40628e-05,0.000518159,6.45496e-07,-0.0102104,1.64195e-05,-0.000132806,1.65442e-07,0.156986,0.000252452,0.00204191,2.5437e-06,0.253762,-0.06504,50.7684,10000000,0
0.3,0.041046,6.60067e-05,0.000533877,6.65079e-07,-0.0125485,2.01794e-05,-0.000163215,2.03326e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.261462,-0.0799335,51.1865,10000000,0
0.35,0.042253,6.79478e-05,0.000549573,6.84634e-07,-0.01499,2.41057e-05,-0.000194971,2.42886e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.269151,-0.0954862,51.3053,10000000,0
0.4,0.0433103,6.9648e-05,0.000563322,7.01764e-07,-0.0174575,2.80737e-05,-0.000227063,2.82866e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.275886,-0.111204,51.1643,10000000,0
0.45,0.0442289,7.11254e-05,0.000575269,7.16648e-07,-0.0199528,3.20865e-05,-0.000259519,3.23299e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.281738,-0.127099,51.1523,10000000,0
0.5,0.0451108,7.25436e-05,0.000586737,7.30936e-07,-0.0224505,3.6103e-05,-0.000292004,3.63767e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.287355,-0.143009,51.4446,10000000,0
0.55,0.0460588,7.40681e-05,0.000599066,7.46295e-07,-0.0248072,3.98929e-05,-0.000322656,4.01953e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.293394,-0.158022,51.554,10000000,0
0.6,0.0471064,7.57526e-05,0.000612689,7.63267e-07,-0.0267504,4.30178e-05,-0.000347929,4.33438e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.300067,-0.170399,51.2553,10000000,0
0.65,0.0481912,7.74973e-05,0.000626799,7.80845e-07,-0.0279768,4.49901e-05,-0.00036388,4.5331e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.306978,-0.178212,51.4829,10000000,0
0.7,0.0492314,7.917e-05,0.000640327,7.97698e-07,-0.0281885,4.53305e-05,-0.000366633,4.56739e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.313604,-0.17956,51.4441,10000000,0
0.75,0.0501319,8.06182e-05,0.000652038,8.12289e-07,-0.0272562,4.38313e-05,-0.000354506,4.41633e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.31934,-0.173622,52.2367,10000000,0
0.8,0.0508319,8.17439e-05,0.000661141,8.2363e-07,-0.0252809,4.06548e-05,-0.000328814,4.09627e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.323799,-0.161039,51.0307,10000000,0
0.1,0.0314568,5.05859e-05,0.000409169,5.09713e-07,-0.00868918,1.39732e-05,-0.000113023,1.40796e-07,0.156986,0.000252451,0.00204197,2.54375e-06,0.200379,-0.0553499,51.6636,10000000,0
