z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0439403,7.06608e-05,0.000571545,7.11991e-07,-0.0106099,1.70619e-05,-0.000138006,1.71919e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.279899,-0.0675849,51.4209,10000000,0
0.15,0.043612,7.0133e-05,0.000567263,7.06663e-07,-0.0114453,1.84054e-05,-0.00014887,1.85454e-07,0.156986,0.000252452,0.00204193,2.54371e-06,0.277808,-0.0729066,50.9585,10000000,0
0.2,0.0439777,7.07213e-05,0.000572012,7.12584e-07,-0.0132301,2.12755e-05,-0.000172082,2.14371e-07,0.156986,0.000252452,0.0020419,2.54369e-06,0.280138,-0.0842754,50.911,10000000,0
0.25,0.0449749,7.23249e-05,0.000584978,7.28739e-07,-0.0157515,2.53302e-05,-0.000204876,2.55225e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.28649,-0.100337,51.5399,10000000,0
0.3,0.0462423,7.43631e-05,0.000601459,7.49273e-07,-0.0186464,2.99856e-05,-0.000242527,3.0213e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.294563,-0.118777,51.356,10000000,0
0.35,0.0474816,7.63559e-05,0.000617575,7.6935e-07,-0.0216359,3.47931e-05,-0.00028141,3.5057e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.302457,-0.137821,51.0356,10000000,0
0.4,0.0485621,7.80936e-05,0.000631627,7.86857e-07,-0.0245925,3.95476e-05,-0.000319864,3.98474e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.30934,-0.156654,51.3656,10000000,0
0.45,0.0495011,7.96036e-05,0.000643837,8.0207e-07,-0.0275125,4.42433e-05,-0.000357842,4.45787e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.315321,-0.175254,51.4021,10000000,0
0.5,0.0503874,8.1029e-05,0.000655365,8.16431e-07,-0.0304075,4.88989e-05,-0.000395496,4.92695e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.320967,-0.193696,51.2806,10000000,0
0.55,0.0512983,8.24938e-05,0.00066721,8.31188e-07,-0.0331939,5.33797e-05,-0.000431735,5.37842e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.326769,-0.211445,51.1608,10000000,0
0.6,0.0522434,8.40136e-05,0.000679501,8.46501e-07,-0.0356506,5.73305e-05,-0.000463688,5.77648e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.33279,-0.227094,51.2009,10000000,0
0.65,0.0531574,8.54835e-05,0.000691388,8.6131e-07,-0.0374855,6.02812e-05,-0.000487553,6.07378e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.338612,-0.238782,51.4485,10000000,0
0.7,0.0539678,8.67867e-05,0.000701926,8.74439e-07,-0.0383834,6.17251e-05,-0.000499229,6.21926e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.343774,-0.244502,51.116,10000000,0
0.75,0.0546076,8.78156e-05,0.000710247,8.84805e-07,-0.0381485,6.13474e-05,-0.000496173,6.18119e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.34785,-0.243005,51.2264,10000000,0
0.8,0.0550491,8.85256e-05,0.000715988,8.91958e-07,-0.0367943,5.91698e-05,-0.00047856,5.96177e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.350662,-0.234379,51.3266,10000000,0
0.1,0.0397961,6.39965e-05,0.000517639,6.44839e-07,-0.0100517,1.61643e-05,-0.000130746,1.62874e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.2535,-0.0640294,50.774,10000000,0
0.15,0.0395095,6.35358e-05,0.000513901,6.40189e-07,-0.010776,1.7329e-05,-0.000140163,1.74607e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.251675,-0.0686428,51.4701,10000000,0
0.2,0.0398641,6.41061e-05,0.000518506,6.45929e-07,-0.0124266,1.99834e-05,-0.00016163,2.01351e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.253934,-0.0791571,51.6062,10000000,0
0.25,0.0408002,6.56115e-05,0.000530677,6.61094e-07,-0.0148128,2.38207e-05,-0.000192666,2.40015e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.259897,-0.0943573,51.3267,10000000,0
0.3,0.0419865,6.75192e-05,0.000546104,6.80314e-07,-0.0175908,2.82881e-05,-0.000228798,2.85027e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.267453,-0.112053,51.2907,10000000,0
0.35,0.0431507,6.93914e-05,0.000561244,6.99176e-07,-0.0204918,3.29533e-05,-0.000266529,3.32032e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.274869,-0.130533,51.7971,10000000,0
0.4,0.0441747,7.10382e-05,0.000574562,7.15768e-07,-0.0233904,3.76145e-05,-0.000304229,3.78997e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.281393,-0.148997,51.599,10000000,0
0.45,0.0450743,7.24848e-05,0.00058626,7.30342e-07,-0.0262809,4.22628e-05,-0.000341823,4.25831e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.287123,-0.167409,50.9799,10000000,0
0.5,0.0459267,7.38556e-05,0.000597345,7.44153e-07,-0.0291715,4.69113e-05,-0.000379419,4.72667e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.292552,-0.185822,51.3965,10000000,0
0.55,0.0467939,7.52502e-05,0.000608624,7.58204e-07,-0.0319737,5.14175e-05,-0.000415865,5.18071e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.298077,-0.203672,51.4308,10000000,0
0.6,0.0476746,7.66665e-05,0.000620077,7.72473e-07,-0.0344595,5.5415e-05,-0.000448195,5.58348e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.303687,-0.219507,50.9824,10000000,0
0.65,0.0485025,7.79978e-05,0.000630844,7.85886e-07,-0.0363265,5.84174e-05,-0.000472478,5.88599e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.30896,-0.2314,51.2506,10000000,0
0.7,0.0492081,7.91326e-05,0.00064002,7.97319e-07,-0.037246,5.98961e-05,-0.000484436,6.03497e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.313455,-0.237257,51.1093,10000000,0
0.75,0.0497345,7.99791e-05,0.000646865,8.05847e-07,-0.0370087,5.95145e-05,-0.000481349,5.99651e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.316808,-0.235745,51.3409,10000000,0
0.8,0.050065,8.05106e-05,0.000651162,8.112e-07,-0.0356192,5.72799e-05,-0.000463275,5.77136e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.318913,-0.226894,51.6714,10000000,0
0.1,0.0397138,6.38642e-05,0.000516569,6.43506e-07,-0.0104896,1.68684e-05,-0.000136441,1.69969e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.252976,-0.0668185,51.7418,10000000,0
0.15,0.039449,6.34385e-05,0.000513113,6.39208e-07,-0.0112388,1.80733e-05,-0.000146184,1.82108e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.25129,-0.0715913,51.8928,10000000,0
0.2,0.0398295,6.40505e-05,0.000518056,6.45369e-07,-0.0129468,2.082e-05,-0.000168397,2.09781e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.253714,-0.082471,52.0033,10000000,0
0.25,0.0407917,6.55977e-05,0.000530566,6.60956e-07,-0.0154177,2.47934e-05,-0.000200533,2.49816e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.259842,-0.0982103,51.7819,10000000,0
0.3,0.0420022,6.75445e-05,0.000546309,6.80569e-07,-0.0182964,2.94228e-05,-0.000237975,2.9646e-07,0.156986,0.000252452,0.00204187,2.54367e-06,0.267554,-0.116548,51.3489,10000000,0
0.35,0.0431896,6.94541e-05,0.000561751,6.99808e-07,-0.021305,3.42609e-05,-0.000277106,3.45208e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.275118,-0.135713,51.4009,10000000,0
0.4,0.0442376,7.11393e-05,0.000575379,7.16786e-07,-0.0243137,3.90992e-05,-0.000316237,3.93957e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.281793,-0.154878,51.7716,10000000,0
0.45,0.0451621,7.26261e-05,0.000587403,7.31766e-07,-0.0273164,4.3928e-05,-0.000355291,4.42609e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.287682,-0.174005,52.0054,10000000,0
0.5,0.0460381,7.40348e-05,0.000598795,7.45958e-07,-0.030321,4.87597e-05,-0.00039437,4.91292e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.293262,-0.193144,50.8907,10000000,0
0.55,0.046922,7.54563e-05,0.00061029,7.6028e-07,-0.0332344,5.34449e-05,-0.000432262,5.38499e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.298893,-0.211703,51.1792,10000000,0
0.6,0.0478063,7.68783e-05,0.00062179,7.74607e-07,-0.0358186,5.76006e-05,-0.000465872,5.80369e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.304526,-0.228164,51.8044,10000000,0
0.65,0.0486218,7.81898e-05,0.000632396,7.8782e-07,-0.0377579,6.07193e-05,-0.000491096,6.11792e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.30972,-0.240518,51.5253,10000000,0
0.7,0.0492984,7.92779e-05,0.000641195,7.98782e-07,-0.0387096,6.22497e-05,-0.000503472,6.27211e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.31403,-0.24658,51.8246,10000000,0
0.75,0.049783,8.00571e-05,0.000647496,8.06633e-07,-0.0384552,6.18407e-05,-0.000500163,6.23089e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.317117,-0.244959,51.7885,10000000,0
0.8,0.0500648,8.05103e-05,0.00065116,8.11198e-07,-0.0369995,5.94998e-05,-0.000481228,5.99502e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.318912,-0.235687,51.7846,10000000,0
0.1,0.0516913,8.31252e-05,0.000672366,8.37586e-07,-0.00844548,1.35813e-05,-0.000109853,1.36847e-07,0.156986,0.000252451,0.00204198,2.54375e-06,0.329272,-0.0537975,51.793,10000000,0
0.15,0.0511049,8.21824e-05,0.000664727,8.28076e-07,-0.00882546,1.41923e-05,-0.000114794,1.43003e-07,0.156986,0.000252452,0.00204194,2.54372e-06,0.325537,-0.056218,51.8589,10000000,0
0.2,0.0513262,8.25384e-05,0.000667595,8.31655e-07,-0.0101916,1.63893e-05,-0.000132562,1.65139e-07,0.156986,0.000252452,0.00204191,2.5437e-06,0.326947,-0.0649206,51.3744,10000000,0
0.25,0.0523227,8.4141e-05,0.000680551,8.47799e-07,-0.0124043,1.99476e-05,-0.00016134,2.0099e-07,0.156986,0.000252452,0.00204189,2.54369e-06,0.333295,-0.0790154,51.4356,10000000,0
0.3,0.0536818,8.63267e-05,0.000698224,8.69817e-07,-0.0151404,2.43476e-05,-0.000196927,2.45324e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.341953,-0.0964445,51.5288,10000000,0
0.35,0.0550416,8.85134e-05,0.000715907,8.91848e-07,-0.018129,2.91536e-05,-0.000235798,2.93748e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.350615,-0.115482,50.3439,10000000,0
0.4,0.0562325,9.04286e-05,0.000731394,9.11143e-07,-0.0212365,3.41508e-05,-0.000276215,3.44098e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.358201,-0.135276,51.6575,10000000,0
