z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0322681,2.36987e-05,0.000421601,2.44109e-07,-0.0139429,1.02401e-05,-0.000182171,1.05478e-07,0.156534,0.000114964,0.0020452,1.18418e-06,0.206141,-0.0890725,102.856,20000000,0
0.15,0.032434,2.37615e-05,0.000423761,2.44596e-07,-0.0150692,1.10398e-05,-0.000196883,1.13642e-07,0.156534,0.000114679,0.00204517,1.18048e-06,0.2072,-0.0962674,102.339,20000000,0
0.2,0.033017,2.41427e-05,0.000431373,2.48404e-07,-0.0171474,1.25385e-05,-0.000224034,1.29009e-07,0.156535,0.000114462,0.00204516,1.17769e-06,0.210924,-0.109544,103.979,20000000,0
0.25,0.0340046,5.46834e-05,0.000442282,5.50979e-07,-0.0200334,3.22161e-05,-0.000260566,3.24603e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.216609,-0.127613,51.055,10000000,0
0.3,0.0349724,5.62398e-05,0.000454869,5.6666e-07,-0.0232482,3.73859e-05,-0.000302378,3.76692e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.222774,-0.148091,51.5167,10000000,0
0.35,0.0358671,5.76786e-05,0.000466505,5.81157e-07,-0.0265361,4.26733e-05,-0.000345142,4.29966e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.228473,-0.169035,51.6662,10000000,0
0.4,0.03665,5.89375e-05,0.000476686,5.9384e-07,-0.0297382,4.78225e-05,-0.000386788,4.81848e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.23346,-0.189432,52.074,10000000,0
0.45,0.0373435,6.00528e-05,0.000485705,6.05076e-07,-0.0328427,5.2815e-05,-0.000427165,5.3215e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.237877,-0.209207,51.708,10000000,0
0.5,0.0379716,6.10629e-05,0.000493873,6.15254e-07,-0.0359004,5.77321e-05,-0.000466934,5.81693e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.241879,-0.228685,51.8409,10000000,0
0.55,0.0385222,6.19483e-05,0.000501033,6.24173e-07,-0.0389108,6.25733e-05,-0.000506088,6.30471e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.245386,-0.247861,51.2143,10000000,0
0.6,0.0389474,6.26321e-05,0.000506562,6.31062e-07,-0.0417544,6.71461e-05,-0.000543072,6.76544e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.248094,-0.265975,51.9515,10000000,0
0.65,0.0392,6.30383e-05,0.000509847,6.35155e-07,-0.0442057,7.10882e-05,-0.000574954,7.16263e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.249703,-0.28159,51.7126,10000000,0
0.7,0.0392555,6.31277e-05,0.000510569,6.36055e-07,-0.0459848,7.39492e-05,-0.000598092,7.45089e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.250057,-0.292923,51.8579,10000000,0
