z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0368329,0.184832,0.00277278,0.0106851,0.163515,0.820536,0.0123094,0.0474349,0.356536,289.046,100000035,1
,0.15,0.037166,0.186503,0.00279786,0.0107817,0.163515,0.820536,0.0123094,0.0474349,0.35976,317.267,100000035,1
,0.2,0.0387174,0.194288,0.00291465,0.0112317,0.163515,0.820536,0.0123094,0.0474349,0.374778,304.035,100000035,1
,0.25,0.0414066,0.203301,0.00310936,0.0117456,0.164087,0.805649,0.0123219,0.0465459,0.39941,300.247,100000035,1
,0.3,0.043959,0.218615,0.0033242,0.0126406,0.16244,0.807842,0.0122838,0.0467104,0.428331,298.329,100000035,1
,0.35,0.0469702,0.234821,0.00355076,0.0135789,0.162547,0.81263,0.0122879,0.0469918,0.457371,317.808,100000035,1
,0.4,0.0498725,0.249781,0.00376595,0.0144434,0.162827,0.815498,0.0122953,0.0471556,0.484798,301.09,100000035,1
,0.45,0.0526118,0.263691,0.00396965,0.0152469,0.16301,0.817007,0.0122994,0.0472402,0.510851,307.627,100000035,1
,0.5,0.055247,0.276993,0.0041664,0.0160153,0.163117,0.817821,0.0123013,0.0472852,0.536087,301.808,100000035,1
,0.55,0.0577495,0.289591,0.00435374,0.0167432,0.163181,0.818288,0.0123022,0.0473106,0.560149,297.825,100000035,1
,0.6,0.0599314,0.300565,0.00451727,0.0173772,0.163222,0.818582,0.0123027,0.0473265,0.581166,301.486,100000035,1
,0.65,0.0615208,0.308558,0.00463635,0.017839,0.163252,0.81879,0.012303,0.0473376,0.596471,300.8,100000035,1
,0.7,0.0622613,0.312289,0.00469157,0.0180544,0.163275,0.818951,0.0123033,0.0473463,0.603563,303.425,100000035,1
,0.75,0.0620414,0.3112,0.0046745,0.0179913,0.163296,0.819092,0.0123035,0.0473538,0.601356,306.737,100000035,1
,0.8,0.0609501,0.305739,0.00459182,0.0176754,0.163316,0.819229,0.0123038,0.0473612,0.590705,294.041,100000035,1
