z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0654158,3.34612e-05,0.0275151,1.22375e-05,-0.014865,7.60368e-06,-0.0062525,2.78084e-06,0.232317,0.000118834,0.0977169,4.34602e-05,-1.79353e-09,6.45078e-13,-4.16667e-10,1.51547e-13,0.13973,0.103122,0.28158,-0.0639859,55.8648,10000000,0
0.15,0.0656059,3.35592e-05,0.0275949,1.22734e-05,-0.0174274,8.91457e-06,-0.00733021,3.26026e-06,0.232316,0.000118836,0.0977159,4.34611e-05,-1.79351e-09,6.45084e-13,-4.16661e-10,1.51548e-13,0.0654761,0.0498185,0.282399,-0.0750156,55.7845,10000000,0
0.2,0.0661001,3.38126e-05,0.0278025,1.2366e-05,-0.0214619,1.09785e-05,-0.00902716,4.0151e-06,0.232316,0.000118838,0.0977152,4.34618e-05,-1.79349e-09,6.45088e-13,-4.16657e-10,1.51549e-13,0.0364373,0.0271421,0.284526,-0.0923824,55.8566,10000000,0
0.25,0.0667925,3.41672e-05,0.0280936,1.24957e-05,-0.0267899,1.37042e-05,-0.0112681,5.01193e-06,0.232316,0.000118839,0.0977146,4.34623e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0222766,0.0154851,0.287507,-0.115317,55.887,10000000,0
0.3,0.0675128,3.4536e-05,0.0283965,1.26306e-05,-0.0330426,1.69029e-05,-0.013898,6.18177e-06,0.232316,0.000118841,0.0977142,4.34628e-05,-1.79347e-09,6.45094e-13,-4.16651e-10,1.5155e-13,0.0143592,0.00909486,0.290607,-0.142231,55.863,10000000,0
0.35,0.0681676,3.48713e-05,0.0286718,1.27532e-05,-0.0398758,2.03986e-05,-0.0167721,7.46022e-06,0.232316,0.000118842,0.0977139,4.34632e-05,-1.79346e-09,6.45096e-13,-4.16649e-10,1.51551e-13,0.00953535,0.00549203,0.293426,-0.171645,55.912,10000000,0
0.4,0.0687413,3.5165e-05,0.028913,1.28607e-05,-0.047063,2.40753e-05,-0.019795,8.8049e-06,0.232316,0.000118843,0.0977136,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,0.00649255,0.00343323,0.295896,-0.202582,55.843,10000000,0
0.45,0.0692511,3.54259e-05,0.0291274,1.29561e-05,-0.0545593,2.79103e-05,-0.022948,1.02074e-05,0.232316,0.000118843,0.0977134,4.34637e-05,-1.79344e-09,6.45099e-13,-4.16646e-10,1.51552e-13,0.00453029,0.00221667,0.29809,-0.23485,55.9644,10000000,0
0.5,0.0697037,3.56576e-05,0.0293177,1.30408e-05,-0.0624452,3.19445e-05,-0.0262648,1.16828e-05,0.232316,0.000118843,0.0977133,4.34639e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.0032441,0.00146293,0.300038,-0.268794,55.9,10000000,0
0.55,0.0700779,3.58491e-05,0.0294751,1.31109e-05,-0.0707886,3.62126e-05,-0.029774,1.32438e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00238267,0.0009721,0.301649,-0.304708,55.8557,10000000,0
