z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0692217,3.54062e-05,0.0291168,1.29489e-05,-0.0194291,9.93779e-06,-0.00817247,3.6345e-06,0.232318,0.000118828,0.09772,4.34585e-05,-1.79358e-09,6.45067e-13,-4.16681e-10,1.51544e-13,0.585396,0.47972,0.297961,-0.0836315,54.8458,10000000,0
0.15,0.0693036,3.5449e-05,0.0291508,1.29645e-05,-0.0212374,1.0863e-05,-0.00893296,3.97285e-06,0.232317,0.000118831,0.0977183,4.34593e-05,-1.79356e-09,6.45072e-13,-4.16673e-10,1.51545e-13,0.275567,0.230366,0.298315,-0.0914154,55.2191,10000000,0
0.2,0.0701577,3.58865e-05,0.0295098,1.31245e-05,-0.0245916,1.25789e-05,-0.0103437,4.60039e-06,0.232317,0.000118833,0.0977173,4.34599e-05,-1.79354e-09,6.45076e-13,-4.16669e-10,1.51546e-13,0.152858,0.126023,0.301991,-0.105854,55.1358,10000000,0
0.25,0.0716139,3.66319e-05,0.0301221,1.33971e-05,-0.0291972,1.4935e-05,-0.0122809,5.46205e-06,0.232317,0.000118835,0.0977165,4.34605e-05,-1.79352e-09,6.4508e-13,-4.16665e-10,1.51547e-13,0.0925333,0.0729266,0.30826,-0.125679,55.9443,10000000,0
0.3,0.0732573,3.7473e-05,0.0308132,1.37047e-05,-0.0345113,1.76534e-05,-0.014516,6.45626e-06,0.232316,0.000118836,0.097716,4.3461e-05,-1.79351e-09,6.45083e-13,-4.16662e-10,1.51548e-13,0.058916,0.0437194,0.315334,-0.148553,54.916,10000000,0
0.35,0.0748022,3.82637e-05,0.0314628,1.39939e-05,-0.0400876,2.05061e-05,-0.0168614,7.49953e-06,0.232316,0.000118837,0.0977155,4.34614e-05,-1.7935e-09,6.45086e-13,-4.16659e-10,1.51548e-13,0.0386748,0.0270038,0.321984,-0.172556,51.4689,10000000,0
0.4,0.076155,3.89561e-05,0.0320317,1.42471e-05,-0.0456874,2.33708e-05,-0.0192167,8.54724e-06,0.232316,0.000118838,0.0977151,4.34619e-05,-1.79349e-09,6.45088e-13,-4.16656e-10,1.51549e-13,0.0260829,0.0172528,0.327808,-0.196661,53.0275,10000000,0
0.45,0.0773549,3.95702e-05,0.0325363,1.44717e-05,-0.0512853,2.62346e-05,-0.0215712,9.59458e-06,0.232316,0.000118839,0.0977147,4.34623e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0180536,0.011376,0.332972,-0.220757,52.3381,10000000,0
0.5,0.0784738,4.01429e-05,0.0330068,1.46812e-05,-0.0569235,2.9119e-05,-0.0239426,1.06495e-05,0.232316,0.00011884,0.0977144,4.34626e-05,-1.79347e-09,6.45093e-13,-4.16652e-10,1.5155e-13,0.0128265,0.00768582,0.337789,-0.245026,52.0466,10000000,0
0.55,0.0795397,4.06885e-05,0.033455,1.48807e-05,-0.0625372,3.19908e-05,-0.0263036,1.16998e-05,0.232316,0.000118841,0.0977141,4.34629e-05,-1.79346e-09,6.45095e-13,-4.1665e-10,1.51551e-13,0.00933723,0.00526626,0.342377,-0.26919,52.1484,10000000,0
0.6,0.0805156,4.11879e-05,0.0338654,1.50634e-05,-0.0678542,3.4711e-05,-0.02854,1.26946e-05,0.232316,0.000118842,0.0977138,4.34632e-05,-1.79346e-09,6.45097e-13,-4.16649e-10,1.51551e-13,0.00691219,0.00361201,0.346578,-0.292077,52.1847,10000000,0
0.65,0.0813233,4.16013e-05,0.0342051,1.52146e-05,-0.0724286,3.70512e-05,-0.0304639,1.35505e-05,0.232316,0.000118842,0.0977136,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,0.00512762,0.00244723,0.350054,-0.311767,52.2828,10000000,0
0.7,0.0819069,4.19001e-05,0.0344505,1.53238e-05,-0.075726,3.87382e-05,-0.0318508,1.41675e-05,0.232316,0.000118843,0.0977135,4.34637e-05,-1.79345e-09,6.45099e-13,-4.16646e-10,1.51552e-13,0.00375721,0.00161971,0.352567,-0.325961,52.4024,10000000,0
0.75,0.0822457,4.20735e-05,0.034593,1.53873e-05,-0.077272,3.95292e-05,-0.032501,1.44568e-05,0.232316,0.000118843,0.0977133,4.34638e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.00266012,0.0010323,0.354025,-0.332616,52.4245,10000000,0
0.8,0.0823644,4.21344e-05,0.0346429,1.54095e-05,-0.0768282,3.93023e-05,-0.0323143,1.43738e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00176625,0.000620171,0.354536,-0.330706,52.2865,10000000,0
0.1,0.0627007,3.20709e-05,0.0263738,1.17291e-05,-0.0187385,9.58459e-06,-0.00788197,3.50532e-06,0.232318,0.000118829,0.0977198,4.34586e-05,-1.79358e-09,6.45068e-13,-4.1668e-10,1.51544e-13,0.585396,0.47972,0.269892,-0.0806589,52.2449,10000000,0
0.15,0.0628033,3.21242e-05,0.0264166,1.17486e-05,-0.0203264,1.0397e-05,-0.00854977,3.80244e-06,0.232317,0.000118831,0.0977181,4.34594e-05,-1.79355e-09,6.45073e-13,-4.16673e-10,1.51545e-13,0.275567,0.230366,0.270334,-0.0874942,51.5032,10000000,0
0.2,0.0636271,3.25462e-05,0.0267629,1.19029e-05,-0.0234461,1.1993e-05,-0.00986192,4.38613e-06,0.232317,0.000118833,0.0977171,4.346e-05,-1.79353e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.152858,0.126023,0.273881,-0.100923,52.1205,10000000,0
0.25,0.065011,3.32545e-05,0.0273448,1.21619e-05,-0.0278324,1.42369e-05,-0.0117068,5.20674e-06,0.232317,0.000118835,0.0977164,4.34606e-05,-1.79352e-09,6.45081e-13,-4.16664e-10,1.51547e-13,0.0925333,0.0729266,0.279838,-0.119804,51.9637,10000000,0
0.3,0.0665713,3.4053e-05,0.0280009,1.2454e-05,-0.0329641,1.6862e-05,-0.0138652,6.16683e-06,0.232316,0.000118836,0.0977159,4.34611e-05,-1.79351e-09,6.45084e-13,-4.16661e-10,1.51548e-13,0.058916,0.0437194,0.286554,-0.141893,52.3014,10000000,0
0.35,0.0680462,3.48079e-05,0.0286211,1.273e-05,-0.0384052,1.96455e-05,-0.0161538,7.18482e-06,0.232316,0.000118837,0.0977154,4.34616e-05,-1.79349e-09,6.45087e-13,-4.16658e-10,1.51549e-13,0.0386748,0.0270038,0.292903,-0.165314,52.2272,10000000,0
0.4,0.0693512,3.54758e-05,0.0291699,1.29743e-05,-0.043919,2.24662e-05,-0.0184729,8.21642e-06,0.232316,0.000118839,0.097715,4.3462e-05,-1.79348e-09,6.45089e-13,-4.16656e-10,1.51549e-13,0.0260829,0.0172528,0.298521,-0.189048,52.1313,10000000,0
0.45,0.0705205,3.60742e-05,0.0296616,1.31932e-05,-0.0494777,2.531e-05,-0.0208108,9.25643e-06,0.232316,0.00011884,0.0977146,4.34624e-05,-1.79347e-09,6.45092e-13,-4.16653e-10,1.5155e-13,0.0180536,0.011376,0.303554,-0.212976,51.7082,10000000,0
0.5,0.0716116,3.66327e-05,0.0301205,1.33974e-05,-0.0551204,2.81967e-05,-0.0231841,1.03122e-05,0.232316,0.000118841,0.0977143,4.34627e-05,-1.79347e-09,6.45094e-13,-4.16651e-10,1.5155e-13,0.0128265,0.00768582,0.308251,-0.237265,51.5586,10000000,0
0.55,0.072636,3.71569e-05,0.0305513,1.35892e-05,-0.0607771,3.10906e-05,-0.0255633,1.13705e-05,0.232316,0.000118841,0.097714,4.3463e-05,-1.79346e-09,6.45095e-13,-4.1665e-10,1.51551e-13,0.00933723,0.00526626,0.31266,-0.261614,51.9648,10000000,0
0.6,0.0735441,3.76217e-05,0.0309331,1.37591e-05,-0.0661665,3.38477e-05,-0.0278301,1.23789e-05,0.232316,0.000118842,0.0977138,4.34633e-05,-1.79345e-09,6.45097e-13,-4.16648e-10,1.51551e-13,0.00691219,0.00361201,0.316569,-0.284812,51.8988,10000000,0
0.65,0.0742576,3.79869e-05,0.0312332,1.38927e-05,-0.0708262,3.62315e-05,-0.0297899,1.32507e-05,0.232316,0.000118843,0.0977136,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,0.00512762,0.00244723,0.319641,-0.30487,52.0822,10000000,0
0.7,0.0747241,3.82257e-05,0.0314294,1.398e-05,-0.0741982,3.79567e-05,-0.0312082,1.38817e-05,0.232316,0.000118843,0.0977134,4.34637e-05,-1.79344e-09,6.451e-13,-4.16646e-10,1.51552e-13,0.00375721,0.00161971,0.321648,-0.319385,51.7498,10000000,0
0.75,0.0749338,3.83331e-05,0.0315175,1.40193e-05,-0.0757815,3.87668e-05,-0.0318741,1.41779e-05,0.232316,0.000118844,0.0977133,4.34639e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.00266012,0.0010323,0.322551,-0.3262,52.1612,10000000,0
