z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0492886,2.52096e-05,0.0207329,9.21989e-06,-0.0120046,6.14002e-06,-0.00504968,2.24558e-06,0.23232,0.000118825,0.0977239,4.34577e-05,-1.79362e-09,6.45059e-13,-4.16693e-10,1.51541e-13,3.41457,3.04915,0.212158,-0.0516729,54.7277,10000000,0
0.15,0.0493392,2.52359e-05,0.020754,9.22946e-06,-0.0138455,7.08168e-06,-0.00582396,2.58996e-06,0.232319,0.000118826,0.0977223,4.34579e-05,-1.7936e-09,6.45062e-13,-4.16688e-10,1.51542e-13,1.61407,1.45776,0.212377,-0.059597,49.7854,10000000,0
0.2,0.0501737,2.56632e-05,0.0211047,9.38569e-06,-0.0166062,8.49386e-06,-0.0069851,3.10642e-06,0.232318,0.000118828,0.0977205,4.34583e-05,-1.79359e-09,6.45066e-13,-4.16682e-10,1.51543e-13,0.892735,0.799934,0.21597,-0.0714804,55.3655,10000000,0
0.25,0.0516482,2.64178e-05,0.0217247,9.66164e-06,-0.0199586,1.02088e-05,-0.00839516,3.73359e-06,0.232317,0.000118829,0.0977192,4.34588e-05,-1.79357e-09,6.45069e-13,-4.16678e-10,1.51544e-13,0.535557,0.467755,0.222317,-0.0859111,55.5333,10000000,0
0.3,0.0533513,2.72893e-05,0.0224409,9.98035e-06,-0.0235077,1.20243e-05,-0.00988792,4.39755e-06,0.232317,0.000118831,0.0977183,4.34592e-05,-1.79356e-09,6.45072e-13,-4.16674e-10,1.51545e-13,0.337093,0.284544,0.229649,-0.101188,52.8883,10000000,0
0.35,0.0549743,2.81199e-05,0.0231234,1.02841e-05,-0.0270068,1.38142e-05,-0.0113596,5.05218e-06,0.232317,0.000118832,0.0977176,4.34597e-05,-1.79354e-09,6.45075e-13,-4.1667e-10,1.51546e-13,0.218856,0.1785,0.236635,-0.11625,54.763,10000000,0
0.4,0.0563976,2.88482e-05,0.0237219,1.05505e-05,-0.0303724,1.55359e-05,-0.0127752,5.68185e-06,0.232317,0.000118834,0.097717,4.34601e-05,-1.79353e-09,6.45078e-13,-4.16667e-10,1.51547e-13,0.146232,0.1157,0.242762,-0.130737,54.7616,10000000,0
0.45,0.0576582,2.94933e-05,0.024252,1.07864e-05,-0.0336048,1.71895e-05,-0.0141348,6.2866e-06,0.232317,0.000118835,0.0977165,4.34605e-05,-1.79352e-09,6.4508e-13,-4.16664e-10,1.51547e-13,0.10041,0.0773207,0.248188,-0.144651,52.9494,10000000,0
0.5,0.058856,3.01063e-05,0.0247558,1.10106e-05,-0.0366527,1.87488e-05,-0.0154167,6.85685e-06,0.232316,0.000118836,0.097716,4.34609e-05,-1.79351e-09,6.45083e-13,-4.16662e-10,1.51548e-13,0.0707736,0.0529988,0.253344,-0.15777,55.4442,10000000,0
0.55,0.0600613,3.07232e-05,0.0252627,1.12362e-05,-0.0393351,2.01211e-05,-0.0165449,7.35874e-06,0.232316,0.000118837,0.0977156,4.34613e-05,-1.7935e-09,6.45085e-13,-4.1666e-10,1.51548e-13,0.0510532,0.0369775,0.258532,-0.169317,53.1105,10000000,0
0.6,0.0612721,3.13427e-05,0.0257718,1.14628e-05,-0.041347,2.11504e-05,-0.0173911,7.73517e-06,0.232316,0.000118838,0.0977153,4.34616e-05,-1.79349e-09,6.45087e-13,-4.16658e-10,1.51549e-13,0.0373878,0.0259774,0.263744,-0.177977,52.1504,10000000,0
0.65,0.0624079,3.1924e-05,0.0262495,1.16753e-05,-0.0424038,2.16911e-05,-0.0178355,7.93294e-06,0.232316,0.000118839,0.097715,4.3462e-05,-1.79348e-09,6.45089e-13,-4.16656e-10,1.51549e-13,0.0274065,0.0181395,0.268633,-0.182526,52.2164,10000000,0
0.7,0.0633942,3.24288e-05,0.0266643,1.186e-05,-0.0422618,2.16187e-05,-0.0177758,7.90645e-06,0.232316,0.000118839,0.0977146,4.34623e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0198369,0.0124473,0.272879,-0.181915,51.9164,10000000,0
0.75,0.0641659,3.28238e-05,0.0269888,1.20044e-05,-0.0408919,2.09181e-05,-0.0171995,7.65023e-06,0.232316,0.00011884,0.0977143,4.34627e-05,-1.79347e-09,6.45093e-13,-4.16652e-10,1.5155e-13,0.013883,0.00825584,0.276201,-0.176018,51.7323,10000000,0
0.8,0.0647015,3.30981e-05,0.027214,1.21048e-05,-0.0384914,1.96903e-05,-0.0161898,7.20121e-06,0.232316,0.000118842,0.0977139,4.34631e-05,-1.79346e-09,6.45096e-13,-4.16649e-10,1.51551e-13,0.00912584,0.00516431,0.278506,-0.165686,51.7179,10000000,0
0.1,0.0614753,3.14429e-05,0.0258591,1.14996e-05,-0.00790782,4.04464e-06,-0.00332636,1.47924e-06,0.23232,0.000118825,0.0977234,4.34577e-05,-1.79361e-09,6.4506e-13,-4.16691e-10,1.51542e-13,3.41457,3.04915,0.264615,-0.0340385,51.99,10000000,0
0.15,0.061154,3.12787e-05,0.0257239,1.14395e-05,-0.00909788,4.65333e-06,-0.00382694,1.70185e-06,0.232319,0.000118825,0.097723,4.34578e-05,-1.79361e-09,6.45061e-13,-4.1669e-10,1.51542e-13,1.61407,1.45776,0.263233,-0.0391611,51.9809,10000000,0
0.2,0.0618157,3.16177e-05,0.0260018,1.15634e-05,-0.0113239,5.79198e-06,-0.00476322,2.11828e-06,0.232318,0.000118827,0.0977212,4.34581e-05,-1.79359e-09,6.45064e-13,-4.16685e-10,1.51543e-13,0.892735,0.799934,0.266082,-0.048743,52.0981,10000000,0
0.25,0.063341,3.23984e-05,0.0266431,1.18489e-05,-0.0143265,7.32787e-06,-0.00602614,2.67998e-06,0.232318,0.000118829,0.0977198,4.34586e-05,-1.79358e-09,6.45067e-13,-4.1668e-10,1.51544e-13,0.535557,0.467755,0.272648,-0.0616675,51.7821,10000000,0
0.3,0.0652272,3.33637e-05,0.0274363,1.22019e-05,-0.0177354,9.07163e-06,-0.00745996,3.31771e-06,0.232317,0.00011883,0.0977187,4.3459e-05,-1.79356e-09,6.45071e-13,-4.16675e-10,1.51545e-13,0.337093,0.284544,0.280768,-0.0763411,51.5748,10000000,0
0.35,0.0670681,3.43058e-05,0.0282104,1.25464e-05,-0.0212942,1.08921e-05,-0.00895683,3.9835e-06,0.232317,0.000118832,0.0977179,4.34595e-05,-1.79355e-09,6.45074e-13,-4.16672e-10,1.51545e-13,0.218856,0.1785,0.288692,-0.0916601,51.0985,10000000,0
0.4,0.0686896,3.51356e-05,0.0288923,1.28499e-05,-0.0248985,1.27359e-05,-0.0104728,4.65781e-06,0.232317,0.000118833,0.0977173,4.34599e-05,-1.79354e-09,6.45076e-13,-4.16669e-10,1.51546e-13,0.146232,0.1157,0.295672,-0.107175,51.7643,10000000,0
0.45,0.0701348,3.58752e-05,0.0295,1.31204e-05,-0.0285309,1.4594e-05,-0.0120006,5.33737e-06,0.232317,0.000118834,0.0977167,4.34603e-05,-1.79353e-09,6.45079e-13,-4.16666e-10,1.51547e-13,0.10041,0.0773207,0.301893,-0.12281,51.6775,10000000,0
0.5,0.0715539,3.66014e-05,0.0300968,1.3386e-05,-0.0321168,1.64285e-05,-0.0135089,6.00826e-06,0.232317,0.000118835,0.0977163,4.34607e-05,-1.79352e-09,6.45081e-13,-4.16663e-10,1.51547e-13,0.0707736,0.0529988,0.308002,-0.138246,51.6804,10000000,0
0.55,0.073075,3.73798e-05,0.0307365,1.36706e-05,-0.0354269,1.81218e-05,-0.0149011,6.62756e-06,0.232316,0.000118836,0.0977159,4.34611e-05,-1.79351e-09,6.45083e-13,-4.16661e-10,1.51548e-13,0.0510532,0.0369775,0.314549,-0.152494,51.6425,10000000,0
0.6,0.074728,3.82257e-05,0.0314317,1.398e-05,-0.0380671,1.94725e-05,-0.0160116,7.12154e-06,0.232316,0.000118837,0.0977155,4.34614e-05,-1.7935e-09,6.45086e-13,-4.16659e-10,1.51548e-13,0.0373878,0.0259774,0.321665,-0.163859,51.5958,10000000,0
0.65,0.0764081,3.90854e-05,0.0321382,1.42944e-05,-0.0396402,2.02773e-05,-0.0166732,7.41589e-06,0.232316,0.000118838,0.0977152,4.34617e-05,-1.79349e-09,6.45088e-13,-4.16657e-10,1.51549e-13,0.0274065,0.0181395,0.328897,-0.17063,51.5661,10000000,0
0.7,0.0780017,3.99009e-05,0.0328084,1.45927e-05,-0.0397758,2.03469e-05,-0.0167302,7.44132e-06,0.232316,0.000118839,0.0977149,4.34621e-05,-1.79348e-09,6.4509e-13,-4.16655e-10,1.51549e-13,0.0198369,0.0124473,0.335757,-0.171214,51.5526,10000000,0
0.75,0.0793802,4.06064e-05,0.0333881,1.48507e-05,-0.0383538,1.96196e-05,-0.016132,7.17535e-06,0.232316,0.00011884,0.0977145,4.34624e-05,-1.79347e-09,6.45092e-13,-4.16653e-10,1.5155e-13,0.013883,0.00825584,0.34169,-0.165093,51.587,10000000,0
0.8,0.080466,4.11623e-05,0.0338447,1.5054e-05,-0.0355452,1.81831e-05,-0.0149506,6.64997e-06,0.232316,0.000118841,0.0977141,4.34629e-05,-1.79346e-09,6.45094e-13,-4.16651e-10,1.51551e-13,0.00912584,0.00516431,0.346364,-0.153004,51.0762,10000000,0
0.1,0.0600476,3.07127e-05,0.0252586,1.12325e-05,-0.0084044,4.29862e-06,-0.00353524,1.57213e-06,0.23232,0.000118825,0.0977235,4.34577e-05,-1.79361e-09,6.4506e-13,-4.16692e-10,1.51541e-13,3.41457,3.04915,0.25847,-0.036176,51.5237,10000000,0
0.15,0.0597609,3.05662e-05,0.0251378,1.11789e-05,-0.00964594,4.93365e-06,-0.00405747,1.80437e-06,0.232319,0.000118826,0.0977229,4.34578e-05,-1.79361e-09,6.45061e-13,-4.1669e-10,1.51542e-13,1.61407,1.45776,0.257236,-0.0415202,51.7349,10000000,0
0.2,0.0604412,3.09147e-05,0.0254237,1.13063e-05,-0.01195,6.11224e-06,-0.00502659,2.2354e-06,0.232318,0.000118827,0.0977211,4.34581e-05,-1.79359e-09,6.45064e-13,-4.16684e-10,1.51543e-13,0.892735,0.799934,0.260166,-0.0514381,51.5486,10000000,0
0.25,0.0619671,3.16957e-05,0.0260652,1.15919e-05,-0.0150509,7.69842e-06,-0.00633085,2.8155e-06,0.232318,0.000118829,0.0977197,4.34586e-05,-1.79358e-09,6.45068e-13,-4.16679e-10,1.51544e-13,0.535557,0.467755,0.266734,-0.0647858,51.7818,10000000,0
0.3,0.0638448,3.26566e-05,0.0268548,1.19433e-05,-0.0185689,9.49799e-06,-0.00781056,3.47364e-06,0.232317,0.00011883,0.0977187,4.3459e-05,-1.79356e-09,6.45071e-13,-4.16675e-10,1.51545e-13,0.337093,0.284544,0.274817,-0.079929,51.5134,10000000,0
0.35,0.0656774,3.35944e-05,0.0276254,1.22863e-05,-0.0222412,1.13765e-05,-0.00935515,4.16065e-06,0.232317,0.000118832,0.0977179,4.34595e-05,-1.79355e-09,6.45074e-13,-4.16672e-10,1.51546e-13,0.218856,0.1785,0.282706,-0.0957363,51.4717,10000000,0
