z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0809859,4.14253e-05,0.0340643,1.51502e-05,-0.0151114,7.72965e-06,-0.00635615,2.82691e-06,0.232317,0.000118833,0.0977172,4.346e-05,-1.79354e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.13973,0.103122,0.348601,-0.0650463,56.3,10000000,0
0.15,0.0810796,4.14742e-05,0.0341034,1.5168e-05,-0.0175527,8.97863e-06,-0.00738295,3.28369e-06,0.232316,0.000118836,0.0977161,4.34608e-05,-1.79351e-09,6.45082e-13,-4.16662e-10,1.51548e-13,0.0654761,0.0498185,0.349005,-0.0755551,56.5355,10000000,0
0.2,0.0815383,4.17095e-05,0.0342961,1.52541e-05,-0.021574,1.10358e-05,-0.00907431,4.03604e-06,0.232316,0.000118837,0.0977154,4.34615e-05,-1.7935e-09,6.45086e-13,-4.16658e-10,1.51549e-13,0.0364373,0.0271421,0.35098,-0.0928647,56.4629,10000000,0
0.25,0.0822603,4.20793e-05,0.0345996,1.53894e-05,-0.0270039,1.38135e-05,-0.0113581,5.05193e-06,0.232316,0.000118839,0.0977149,4.34621e-05,-1.79348e-09,6.4509e-13,-4.16655e-10,1.51549e-13,0.0222766,0.0154851,0.354087,-0.116238,56.4438,10000000,0
0.3,0.0830427,4.248e-05,0.0349285,1.55359e-05,-0.0334617,1.71172e-05,-0.0140743,6.26014e-06,0.232316,0.00011884,0.0977144,4.34626e-05,-1.79347e-09,6.45093e-13,-4.16652e-10,1.5155e-13,0.0143592,0.00909486,0.357455,-0.144035,56.5765,10000000,0
0.35,0.083762,4.28484e-05,0.035231,1.56707e-05,-0.0405867,2.07621e-05,-0.0170711,7.59318e-06,0.232316,0.000118841,0.0977141,4.3463e-05,-1.79346e-09,6.45095e-13,-4.1665e-10,1.51551e-13,0.00953535,0.00549203,0.360552,-0.174705,56.4832,10000000,0
0.4,0.0843886,4.31693e-05,0.0354944,1.5788e-05,-0.0481395,2.46259e-05,-0.0202478,9.00627e-06,0.232316,0.000118842,0.0977137,4.34633e-05,-1.79345e-09,6.45097e-13,-4.16648e-10,1.51551e-13,0.00649255,0.00343323,0.363249,-0.207215,56.4417,10000000,0
0.45,0.0849429,4.34531e-05,0.0357275,1.58918e-05,-0.0560741,2.86851e-05,-0.0235851,1.04908e-05,0.232316,0.000118843,0.0977135,4.34636e-05,-1.79345e-09,6.45099e-13,-4.16647e-10,1.51552e-13,0.00453029,0.00221667,0.365635,-0.24137,56.4945,10000000,0
0.5,0.0854462,4.37107e-05,0.0359391,1.5986e-05,-0.0644794,3.2985e-05,-0.0271204,1.20634e-05,0.232316,0.000118843,0.0977134,4.34638e-05,-1.79344e-09,6.451e-13,-4.16646e-10,1.51552e-13,0.0032441,0.00146293,0.367802,-0.27755,56.4302,10000000,0
0.55,0.0858927,4.39393e-05,0.0361269,1.60696e-05,-0.0734311,3.75644e-05,-0.0308855,1.37382e-05,0.232316,0.000118844,0.0977133,4.34639e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00238267,0.0009721,0.369724,-0.316083,56.4033,10000000,0
0.6,0.086251,4.41226e-05,0.0362776,1.61367e-05,-0.0828684,4.23922e-05,-0.0348548,1.55038e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.0017822,0.000638625,0.371266,-0.356705,56.3879,10000000,0
0.65,0.0864891,4.42445e-05,0.0363777,1.61813e-05,-0.0924939,4.73163e-05,-0.0389033,1.73047e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16644e-10,1.51552e-13,0.00133694,0.000408045,0.372291,-0.398138,55.2378,10000000,0
0.7,0.0865925,4.42974e-05,0.0364212,1.62006e-05,-0.101808,5.20812e-05,-0.0428209,1.90473e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.000990723,0.000249881,0.372736,-0.438231,54.7874,10000000,0
0.75,0.0865728,4.42873e-05,0.0364129,1.61969e-05,-0.109984,5.62639e-05,-0.0462599,2.0577e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.00070877,0.000144495,0.372651,-0.473426,52.8913,10000000,0
0.8,0.0864608,4.42301e-05,0.0363658,1.6176e-05,-0.115883,5.92814e-05,-0.0487409,2.16806e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.000474796,7.74491e-05,0.372169,-0.498817,56.132,10000000,0
0.1,0.0656727,3.35926e-05,0.0276232,1.22856e-05,-0.0145511,7.44314e-06,-0.00612049,2.72213e-06,0.232317,0.000118834,0.0977169,4.34602e-05,-1.79353e-09,6.45078e-13,-4.16667e-10,1.51547e-13,0.13973,0.103122,0.282686,-0.0626349,56.3186,10000000,0
0.15,0.0658544,3.36863e-05,0.0276994,1.23199e-05,-0.0171882,8.79221e-06,-0.0072296,3.21551e-06,0.232316,0.000118836,0.0977159,4.34611e-05,-1.79351e-09,6.45084e-13,-4.16661e-10,1.51548e-13,0.0654761,0.0498185,0.283469,-0.0739859,56.2811,10000000,0
0.2,0.0663327,3.39315e-05,0.0279004,1.24095e-05,-0.0212204,1.0855e-05,-0.00892559,3.96992e-06,0.232316,0.000118838,0.0977152,4.34618e-05,-1.79349e-09,6.45088e-13,-4.16657e-10,1.51549e-13,0.0364373,0.0271421,0.285527,-0.0913429,55.0941,10000000,0
0.25,0.0670044,3.42756e-05,0.0281828,1.25354e-05,-0.0264641,1.35375e-05,-0.0111311,4.95097e-06,0.232316,0.000118839,0.0977146,4.34623e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0222766,0.0154851,0.288419,-0.113914,56.123,10000000,0
0.3,0.067702,3.46328e-05,0.0284761,1.2666e-05,-0.0325595,1.66557e-05,-0.0136948,6.09138e-06,0.232316,0.000118841,0.0977142,4.34628e-05,-1.79347e-09,6.45094e-13,-4.16651e-10,1.5155e-13,0.0143592,0.00909486,0.291422,-0.140152,54.4941,10000000,0
0.35,0.0683332,3.4956e-05,0.0287414,1.27842e-05,-0.039175,2.004e-05,-0.0164773,7.3291e-06,0.232316,0.000118842,0.0977139,4.34632e-05,-1.79346e-09,6.45096e-13,-4.16649e-10,1.51551e-13,0.00953535,0.00549203,0.294139,-0.168628,56.3725,10000000,0
0.4,0.0688819,3.52369e-05,0.0289722,1.2887e-05,-0.0460937,2.35794e-05,-0.0193873,8.62355e-06,0.232316,0.000118843,0.0977136,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,0.00649255,0.00343323,0.296501,-0.198409,55.7477,10000000,0
0.45,0.0693659,3.54847e-05,0.0291757,1.29776e-05,-0.0532727,2.72521e-05,-0.0224068,9.96673e-06,0.232316,0.000118843,0.0977134,4.34637e-05,-1.79344e-09,6.45099e-13,-4.16646e-10,1.51552e-13,0.00453029,0.00221667,0.298584,-0.229311,52.7104,10000000,0
0.5,0.0697948,3.57042e-05,0.029356,1.30579e-05,-0.0607876,3.10965e-05,-0.0255676,1.13727e-05,0.232316,0.000118843,0.0977133,4.34639e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.0032441,0.00146293,0.30043,-0.261659,52.6929,10000000,0
0.55,0.0701519,3.58869e-05,0.0295062,1.31247e-05,-0.0687018,3.51452e-05,-0.0288963,1.28534e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00238267,0.0009721,0.301968,-0.295726,52.8959,10000000,0
0.6,0.0704034,3.60157e-05,0.029612,1.31718e-05,-0.0769604,3.937e-05,-0.0323699,1.43985e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16644e-10,1.51552e-13,0.0017822,0.000638625,0.30305,-0.331275,52.3634,10000000,0
0.65,0.0705261,3.60784e-05,0.0296636,1.31947e-05,-0.085307,4.36398e-05,-0.0358805,1.59601e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.00133694,0.000408045,0.303578,-0.367202,52.5489,10000000,0
0.7,0.0705152,3.60729e-05,0.029659,1.31927e-05,-0.0933173,4.77376e-05,-0.0392497,1.74588e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.000990723,0.000249881,0.303531,-0.401683,52.223,10000000,0
0.75,0.0703933,3.60106e-05,0.0296077,1.31699e-05,-0.100296,5.13075e-05,-0.0421848,1.87644e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.00070877,0.000144495,0.303007,-0.431721,52.458,10000000,0
0.8,0.0701981,3.59107e-05,0.0295256,1.31334e-05,-0.105293,5.38637e-05,-0.0442865,1.96992e-05,0.232316,0.000118844,0.0977131,4.34641e-05,-1.79344e-09,6.45102e-13,-4.16644e-10,1.51552e-13,0.000474796,7.74491e-05,0.302166,-0.45323,52.4747,10000000,0
