z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0553992,2.83364e-05,0.0233025,1.03633e-05,-0.0200491,1.0255e-05,-0.00843325,3.75051e-06,0.232317,0.000118829,0.0977194,4.34587e-05,-1.79357e-09,6.45068e-13,-4.16678e-10,1.51544e-13,0.585396,0.47972,0.238463,-0.0863006,55.3505,10000000,0
0.15,0.0557566,2.85199e-05,0.0234525,1.04304e-05,-0.0222304,1.1371e-05,-0.00935064,4.15865e-06,0.232317,0.000118832,0.0977179,4.34595e-05,-1.79355e-09,6.45074e-13,-4.16671e-10,1.51546e-13,0.275567,0.230366,0.240002,-0.0956902,55.8985,10000000,0
0.2,0.0567229,2.90146e-05,0.0238587,1.06113e-05,-0.0257798,1.31868e-05,-0.0108435,4.8227e-06,0.232317,0.000118834,0.0977169,4.34602e-05,-1.79353e-09,6.45078e-13,-4.16667e-10,1.51547e-13,0.152858,0.126023,0.244162,-0.110968,56.0088,10000000,0
0.25,0.0581142,2.97267e-05,0.0244438,1.08717e-05,-0.0303867,1.55435e-05,-0.0127811,5.6846e-06,0.232317,0.000118835,0.0977163,4.34607e-05,-1.79351e-09,6.45082e-13,-4.16663e-10,1.51547e-13,0.0925333,0.0729266,0.250151,-0.130799,52.5139,10000000,0
0.3,0.0595933,3.04837e-05,0.0250658,1.11486e-05,-0.035532,1.81757e-05,-0.0149453,6.64725e-06,0.232316,0.000118837,0.0977157,4.34612e-05,-1.7935e-09,6.45085e-13,-4.1666e-10,1.51548e-13,0.058916,0.0437194,0.256518,-0.152947,54.8484,10000000,0
0.35,0.060952,3.11791e-05,0.0256372,1.14029e-05,-0.0408053,2.08733e-05,-0.0171632,7.63384e-06,0.232316,0.000118838,0.0977152,4.34617e-05,-1.79349e-09,6.45087e-13,-4.16657e-10,1.51549e-13,0.0386748,0.0270038,0.262366,-0.175645,56.2424,10000000,0
0.4,0.0621368,3.17854e-05,0.0261354,1.16247e-05,-0.0459958,2.35287e-05,-0.0193464,8.60497e-06,0.232316,0.000118839,0.0977148,4.34621e-05,-1.79348e-09,6.4509e-13,-4.16655e-10,1.51549e-13,0.0260829,0.0172528,0.267467,-0.197988,55.8272,10000000,0
0.45,0.0631818,3.23203e-05,0.0265749,1.18203e-05,-0.051088,2.61338e-05,-0.0214881,9.55772e-06,0.232316,0.00011884,0.0977145,4.34625e-05,-1.79347e-09,6.45092e-13,-4.16653e-10,1.5155e-13,0.0180536,0.011376,0.271965,-0.219907,45.8843,10000000,0
0.5,0.064125,3.2803e-05,0.0269715,1.19968e-05,-0.0561257,2.8711e-05,-0.0236069,1.05003e-05,0.232316,0.000118841,0.0977142,4.34629e-05,-1.79346e-09,6.45094e-13,-4.16651e-10,1.5155e-13,0.0128265,0.00768582,0.276025,-0.241592,51.9536,10000000,0
0.55,0.0649588,3.32298e-05,0.0273221,1.21529e-05,-0.0610582,3.12344e-05,-0.0256815,1.14231e-05,0.232316,0.000118842,0.0977139,4.34631e-05,-1.79346e-09,6.45096e-13,-4.16649e-10,1.51551e-13,0.00933723,0.00526626,0.279614,-0.262824,52.5135,10000000,0
0.6,0.0656306,3.35736e-05,0.0276047,1.22786e-05,-0.0656582,3.35877e-05,-0.0276163,1.22838e-05,0.232316,0.000118842,0.0977137,4.34634e-05,-1.79345e-09,6.45098e-13,-4.16648e-10,1.51551e-13,0.00691219,0.00361201,0.282506,-0.282624,51.9601,10000000,0
0.65,0.0660838,3.38056e-05,0.0277952,1.23635e-05,-0.0695564,3.5582e-05,-0.0292558,1.30132e-05,0.232316,0.000118843,0.0977135,4.34636e-05,-1.79345e-09,6.45099e-13,-4.16647e-10,1.51552e-13,0.00512762,0.00244723,0.284457,-0.299404,52.2182,10000000,0
0.7,0.0662908,3.39116e-05,0.0278823,1.24023e-05,-0.0723183,3.6995e-05,-0.0304174,1.353e-05,0.232316,0.000118843,0.0977134,4.34638e-05,-1.79344e-09,6.451e-13,-4.16646e-10,1.51552e-13,0.00375721,0.00161971,0.285347,-0.311293,52.7243,10000000,0
0.75,0.0662696,3.39009e-05,0.0278733,1.23984e-05,-0.0735709,3.76359e-05,-0.0309443,1.37644e-05,0.232316,0.000118844,0.0977132,4.34639e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00266012,0.0010323,0.285256,-0.316685,52.4799,10000000,0
0.8,0.0660749,3.38014e-05,0.0277914,1.2362e-05,-0.0731467,3.7419e-05,-0.0307658,1.3685e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16644e-10,1.51552e-13,0.00176625,0.000620171,0.284418,-0.314858,52.3065,10000000,0
0.1,0.0690152,3.53006e-05,0.0290299,1.29103e-05,-0.0181419,9.2794e-06,-0.00763103,3.3937e-06,0.232318,0.000118828,0.09772,4.34585e-05,-1.79358e-09,6.45067e-13,-4.16681e-10,1.51544e-13,0.585396,0.47972,0.297072,-0.0780908,52.3855,10000000,0
0.15,0.0689859,3.52865e-05,0.0290172,1.29051e-05,-0.0194709,9.95942e-06,-0.00818994,3.64239e-06,0.232317,0.000118831,0.0977183,4.34593e-05,-1.79356e-09,6.45072e-13,-4.16673e-10,1.51545e-13,0.275567,0.230366,0.296947,-0.0838117,52.3483,10000000,0
0.2,0.069745,3.56754e-05,0.0293362,1.30473e-05,-0.0223812,1.14482e-05,-0.00941398,4.18688e-06,0.232317,0.000118833,0.0977173,4.34599e-05,-1.79354e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.152858,0.126023,0.300215,-0.096339,51.7863,10000000,0
0.25,0.0711419,3.63905e-05,0.0299236,1.33088e-05,-0.0266362,1.36249e-05,-0.0112037,4.98295e-06,0.232317,0.000118835,0.0977165,4.34605e-05,-1.79352e-09,6.4508e-13,-4.16665e-10,1.51547e-13,0.0925333,0.0729266,0.306228,-0.114655,51.3947,10000000,0
0.3,0.0727615,3.72194e-05,0.0306046,1.3612e-05,-0.0317233,1.62273e-05,-0.0133433,5.93469e-06,0.232316,0.000118836,0.097716,4.3461e-05,-1.79351e-09,6.45083e-13,-4.16662e-10,1.51548e-13,0.058916,0.0437194,0.3132,-0.136552,51.9823,10000000,0
0.35,0.074308,3.80109e-05,0.031255,1.39014e-05,-0.0372025,1.90302e-05,-0.0156479,6.95979e-06,0.232316,0.000118837,0.0977155,4.34614e-05,-1.7935e-09,6.45086e-13,-4.16659e-10,1.51548e-13,0.0386748,0.0270038,0.319857,-0.160137,51.7494,10000000,0
0.4,0.075679,3.87126e-05,0.0318315,1.41581e-05,-0.0428303,2.19093e-05,-0.018015,8.01272e-06,0.232316,0.000118838,0.0977151,4.34619e-05,-1.79349e-09,6.45088e-13,-4.16656e-10,1.51549e-13,0.0260829,0.0172528,0.325758,-0.184362,51.8863,10000000,0
0.45,0.0769109,3.93431e-05,0.0323495,1.43887e-05,-0.0485774,2.48494e-05,-0.0204322,9.08797e-06,0.232316,0.000118839,0.0977147,4.34623e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0180536,0.011376,0.331061,-0.2091,52.1316,10000000,0
0.5,0.078078,3.99404e-05,0.0328403,1.46071e-05,-0.0544839,2.7871e-05,-0.0229164,1.01931e-05,0.232316,0.00011884,0.0977143,4.34626e-05,-1.79347e-09,6.45093e-13,-4.16652e-10,1.5155e-13,0.0128265,0.00768582,0.336085,-0.234525,51.6242,10000000,0
0.55,0.0792088,4.05192e-05,0.0333159,1.48188e-05,-0.0604739,3.09354e-05,-0.0254358,1.13138e-05,0.232316,0.000118841,0.0977141,4.34629e-05,-1.79346e-09,6.45095e-13,-4.1665e-10,1.51551e-13,0.00933723,0.00526626,0.340953,-0.260309,51.6966,10000000,0
0.6,0.0802617,4.10581e-05,0.0337587,1.50159e-05,-0.066242,3.38863e-05,-0.0278619,1.2393e-05,0.232316,0.000118842,0.0977138,4.34632e-05,-1.79346e-09,6.45097e-13,-4.16649e-10,1.51551e-13,0.00691219,0.00361201,0.345485,-0.285138,51.7192,10000000,0
0.65,0.0811476,4.15114e-05,0.0341312,1.51817e-05,-0.0712813,3.64643e-05,-0.0299814,1.33359e-05,0.232316,0.000118842,0.0977136,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,0.00512762,0.00244723,0.349298,-0.306829,52.2987,10000000,0
0.7,0.081799,4.18449e-05,0.0344051,1.53037e-05,-0.0749712,3.8352e-05,-0.0315333,1.40262e-05,0.232316,0.000118843,0.0977135,4.34637e-05,-1.79345e-09,6.45099e-13,-4.16646e-10,1.51552e-13,0.00375721,0.00161971,0.352102,-0.322712,52.1542,10000000,0
0.75,0.0821863,4.20432e-05,0.034568,1.53762e-05,-0.0767418,3.9258e-05,-0.032278,1.43576e-05,0.232316,0.000118843,0.0977133,4.34638e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.00266012,0.0010323,0.353769,-0.330334,51.5967,10000000,0
0.8,0.0823304,4.2117e-05,0.0346286,1.54032e-05,-0.0762783,3.9021e-05,-0.032083,1.42709e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00176625,0.000620171,0.35439,-0.328339,51.2558,10000000,0
0.1,0.0674251,3.44873e-05,0.028361,1.26129e-05,-0.0189212,9.67804e-06,-0.00795885,3.5395e-06,0.232318,0.000118828,0.09772,4.34585e-05,-1.79358e-09,6.45067e-13,-4.1668e-10,1.51544e-13,0.585396,0.47972,0.290228,-0.0814455,51.8109,10000000,0
0.15,0.0674427,3.44972e-05,0.0283681,1.26164e-05,-0.0203048,1.0386e-05,-0.00854068,3.79839e-06,0.232317,0.000118831,0.0977182,4.34593e-05,-1.79355e-09,6.45072e-13,-4.16673e-10,1.51545e-13,0.275567,0.230366,0.290305,-0.0874011,51.9946,10000000,0
0.2,0.0682419,3.49066e-05,0.028704,1.27662e-05,-0.0233191,1.1928e-05,-0.0098085,4.36235e-06,0.232317,0.000118833,0.0977172,4.34599e-05,-1.79354e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.152858,0.126023,0.293745,-0.100376,51.8769,10000000,0
0.25,0.0696663,3.56357e-05,0.0293029,1.30328e-05,-0.027721,1.41799e-05,-0.01166,5.18589e-06,0.232317,0.000118835,0.0977165,4.34605e-05,-1.79352e-09,6.4508e-13,-4.16665e-10,1.51547e-13,0.0925333,0.0729266,0.299877,-0.119324,52.1025,10000000,0
0.3,0.0713053,3.64745e-05,0.0299921,1.33396e-05,-0.0329815,1.68709e-05,-0.0138725,6.17008e-06,0.232316,0.000118836,0.0977159,4.3461e-05,-1.79351e-09,6.45083e-13,-4.16661e-10,1.51548e-13,0.058916,0.0437194,0.306932,-0.141968,51.7669,10000000,0
0.35,0.0728704,3.72755e-05,0.0306503,1.36325e-05,-0.0386465,1.97689e-05,-0.0162553,7.22995e-06,0.232316,0.000118837,0.0977155,4.34615e-05,-1.7935e-09,6.45086e-13,-4.16659e-10,1.51549e-13,0.0386748,0.0270038,0.313669,-0.166353,52.3724,10000000,0
0.4,0.0742638,3.79887e-05,0.0312363,1.38933e-05,-0.0444649,2.27454e-05,-0.0187025,8.31852e-06,0.232316,0.000118838,0.097715,4.34619e-05,-1.79349e-09,6.45089e-13,-4.16656e-10,1.51549e-13,0.0260829,0.0172528,0.319667,-0.191398,52.0804,10000000,0
0.45,0.0755209,3.86321e-05,0.0317649,1.41286e-05,-0.0504057,2.57846e-05,-0.0212012,9.43003e-06,0.232316,0.000118839,0.0977147,4.34623e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0180536,0.011376,0.325078,-0.21697,51.9077,10000000,0
0.5,0.0767079,3.92396e-05,0.032264,1.43508e-05,-0.05651,2.89075e-05,-0.0237686,1.05721e-05,0.232316,0.00011884,0.0977143,4.34627e-05,-1.79347e-09,6.45093e-13,-4.16652e-10,1.5155e-13,0.0128265,0.00768582,0.330187,-0.243246,51.7247,10000000,0
0.55,0.077842,3.982e-05,0.032741,1.45631e-05,-0.0626983,3.20733e-05,-0.0263714,1.17299e-05,0.232316,0.000118841,0.097714,4.3463e-05,-1.79346e-09,6.45095e-13,-4.1665e-10,1.51551e-13,0.00933723,0.00526626,0.335069,-0.269883,51.2498,10000000,0
0.6,0.0788717,4.0347e-05,0.033174,1.47558e-05,-0.0686542,3.51202e-05,-0.0288764,1.28443e-05,0.232316,0.000118842,0.0977138,4.34632e-05,-1.79346e-09,6.45097e-13,-4.16649e-10,1.51551e-13,0.00691219,0.00361201,0.339502,-0.29552,51.9438,10000000,0
0.65,0.0797064,4.07742e-05,0.033525,1.49121e-05,-0.0738534,3.77801e-05,-0.0310632,1.38171e-05,0.232316,0.000118842,0.0977136,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,0.00512762,0.00244723,0.343095,-0.3179,51.8055,10000000,0
0.7,0.0802815,4.10686e-05,0.0337668,1.50197e-05,-0.0776546,3.97248e-05,-0.0326619,1.45283e-05,0.232316,0.000118843,0.0977134,4.34637e-05,-1.79345e-09,6.45099e-13,-4.16646e-10,1.51552e-13,0.00375721,0.00161971,0.34557,-0.334263,51.6485,10000000,0
0.75,0.0805764,4.12196e-05,0.0338908,1.5075e-05,-0.0794697,4.06535e-05,-0.0334254,1.48679e-05,0.232316,0.000118843,0.0977133,4.34638e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.00266012,0.0010323,0.346839,-0.342076,51.9645,10000000,0
0.8,0.080623,4.12435e-05,0.0339104,1.50837e-05,-0.0789749,4.04005e-05,-0.0332172,1.47754e-05,0.232316,0.000118844,0.0977132,4.3464e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00176625,0.000620171,0.34704,-0.339946,52.183,10000000,0
0.1,0.0631143,3.22825e-05,0.0265478,1.18065e-05,-0.0193407,9.89259e-06,-0.00813526,3.61796e-06,0.232318,0.000118829,0.0977198,4.34586e-05,-1.79358e-09,6.45067e-13,-4.1668e-10,1.51544e-13,0.585396,0.47972,0.271672,-0.0832509,51.9647,10000000,0
0.15,0.0632129,3.23337e-05,0.0265888,1.18252e-05,-0.0208291,1.06542e-05,-0.00876123,3.89649e-06,0.232317,0.000118831,0.0977181,4.34594e-05,-1.79355e-09,6.45073e-13,-4.16673e-10,1.51545e-13,0.275567,0.230366,0.272097,-0.0896582,51.5443,10000000,0
0.2,0.0640539,3.27645e-05,0.0269424,1.19827e-05,-0.0239396,1.22455e-05,-0.0100695,4.47844e-06,0.232317,0.000118833,0.0977171,4.346e-05,-1.79353e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.152858,0.126023,0.275718,-0.103047,51.7175,10000000,0
0.25,0.0654748,3.34917e-05,0.0275398,1.22487e-05,-0.0284175,1.45362e-05,-0.0119529,5.3162e-06,0.232317,0.000118835,0.0977164,4.34606e-05,-1.79352e-09,6.45081e-13,-4.16664e-10,1.51547e-13,0.0925333,0.0729266,0.281834,-0.122322,52.109,10000000,0
0.3,0.067085,3.43158e-05,0.028217,1.25501e-05,-0.0337278,1.72527e-05,-0.0141864,6.3097e-06,0.232316,0.000118836,0.0977159,4.34611e-05,-1.79351e-09,6.45084e-13,-4.16661e-10,1.51548e-13,0.058916,0.0437194,0.288765,-0.145181,51.9269,10000000,0
0.35,0.0686169,3.50998e-05,0.0288612,1.28368e-05,-0.0394151,2.01621e-05,-0.0165785,7.37374e-06,0.232316,0.000118837,0.0977154,4.34615e-05,-1.79349e-09,6.45086e-13,-4.16658e-10,1.51549e-13,0.0386748,0.0270038,0.29536,-0.169661,51.767,10000000,0
0.4,0.0699842,3.57996e-05,0.0294362,1.30927e-05,-0.0452289,2.31363e-05,-0.0190238,8.46147e-06,0.232316,0.000118839,0.097715,4.3462e-05,-1.79348e-09,6.45089e-13,-4.16656e-10,1.51549e-13,0.0260829,0.0172528,0.301245,-0.194687,51.8303,10000000,0
0.45,0.0712197,3.64319e-05,0.0299558,1.3324e-05,-0.0511384,2.61595e-05,-0.0215093,9.56712e-06,0.232316,0.00011884,0.0977146,4.34624e-05,-1.79348e-09,6.45091e-13,-4.16653e-10,1.5155e-13,0.0180536,0.011376,0.306564,-0.220124,51.951,10000000,0
0.5,0.0723774,3.70244e-05,0.0304426,1.35407e-05,-0.0571838,2.92522e-05,-0.024052,1.06982e-05,0.232316,0.000118841,0.0977143,4.34627e-05,-1.79347e-09,6.45094e-13,-4.16651e-10,1.5155e-13,0.0128265,0.00768582,0.311547,-0.246146,51.8535,10000000,0
