z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0699021,3.5756e-05,0.0294022,1.30768e-05,-0.0147401,7.5398e-06,-0.00619999,2.75748e-06,0.232317,0.000118834,0.097717,4.34601e-05,-1.79353e-09,6.45078e-13,-4.16667e-10,1.51547e-13,0.13973,0.103122,0.300891,-0.0634484,55.8623,10000000,0
0.15,0.070021,3.58176e-05,0.0294519,1.30993e-05,-0.0167677,8.57712e-06,-0.00705276,3.13685e-06,0.232316,0.000118836,0.0977159,4.3461e-05,-1.79351e-09,6.45083e-13,-4.16661e-10,1.51548e-13,0.0654761,0.0498185,0.301404,-0.0721761,55.1107,10000000,0
0.2,0.0704785,3.60522e-05,0.0296442,1.31851e-05,-0.0204053,1.0438e-05,-0.00858275,3.81743e-06,0.232316,0.000118838,0.0977152,4.34617e-05,-1.79349e-09,6.45087e-13,-4.16657e-10,1.51549e-13,0.0364373,0.0271421,0.303373,-0.0878343,55.915,10000000,0
0.25,0.0711767,3.64098e-05,0.0299377,1.33159e-05,-0.0255218,1.30555e-05,-0.0107347,4.77468e-06,0.232316,0.000118839,0.0977147,4.34622e-05,-1.79348e-09,6.45091e-13,-4.16654e-10,1.5155e-13,0.0222766,0.0154851,0.306379,-0.109858,55.7174,10000000,0
0.3,0.0719318,3.67964e-05,0.0302552,1.34573e-05,-0.031757,1.62452e-05,-0.0133573,5.94124e-06,0.232316,0.000118841,0.0977143,4.34627e-05,-1.79347e-09,6.45093e-13,-4.16651e-10,1.5155e-13,0.0143592,0.00909486,0.309629,-0.136697,55.4481,10000000,0
0.35,0.0726346,3.71563e-05,0.0305507,1.35889e-05,-0.0387578,1.98266e-05,-0.0163018,7.25105e-06,0.232316,0.000118842,0.0977139,4.34631e-05,-1.79346e-09,6.45096e-13,-4.16649e-10,1.51551e-13,0.00953535,0.00549203,0.312654,-0.166832,55.9243,10000000,0
0.4,0.073261,3.7477e-05,0.0308141,1.37062e-05,-0.0462871,2.36784e-05,-0.0194686,8.65973e-06,0.232316,0.000118842,0.0977136,4.34634e-05,-1.79345e-09,6.45098e-13,-4.16648e-10,1.51551e-13,0.00649255,0.00343323,0.315351,-0.199242,55.6243,10000000,0
0.45,0.0738275,3.7767e-05,0.0310523,1.38123e-05,-0.0543032,2.77792e-05,-0.0228402,1.01595e-05,0.232316,0.000118843,0.0977134,4.34637e-05,-1.79345e-09,6.45099e-13,-4.16646e-10,1.51552e-13,0.00453029,0.00221667,0.317789,-0.233747,54.9783,10000000,0
0.5,0.0743436,3.80312e-05,0.0312693,1.39089e-05,-0.0629042,3.21792e-05,-0.0264578,1.17687e-05,0.232316,0.000118843,0.0977133,4.34638e-05,-1.79344e-09,6.451e-13,-4.16645e-10,1.51552e-13,0.0032441,0.00146293,0.320011,-0.27077,55.6683,10000000,0
0.55,0.0747878,3.82585e-05,0.0314561,1.3992e-05,-0.072175,3.69218e-05,-0.0303571,1.35032e-05,0.232316,0.000118844,0.0977132,4.34639e-05,-1.79344e-09,6.45101e-13,-4.16645e-10,1.51552e-13,0.00238267,0.0009721,0.321923,-0.310676,54.2864,10000000,0
