z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0533234,2.72827e-05,0.0224266,9.97794e-06,-0.000324995,1.66282e-07,-0.000136685,6.08135e-08,0.232319,0.000118865,0.097708,4.34718e-05,-1.79325e-09,6.45146e-13,-4.16605e-10,1.51561e-13,27.4663,25.8531,0.229527,-0.00139892,54.8112,10000000,0
0.15,0.052847,2.70389e-05,0.0222262,9.88879e-06,-0.00170263,8.71143e-07,-0.000716086,3.18598e-07,0.232319,0.000118865,0.097708,4.34718e-05,-1.79325e-09,6.45146e-13,-4.16605e-10,1.51561e-13,13.018,12.3279,0.227476,-0.00732884,55.8628,10000000,0
0.2,0.0533444,2.72886e-05,0.022437,9.98006e-06,-0.00372974,1.90797e-06,-0.00156875,6.97787e-07,0.232316,0.000118842,0.0977139,4.34635e-05,-1.79345e-09,6.45098e-13,-4.16648e-10,1.51551e-13,7.18591,6.77622,0.22962,-0.0160546,56.0981,10000000,0
0.25,0.0547355,2.79957e-05,0.0230241,1.02388e-05,-0.00612326,3.13188e-06,-0.0025757,1.14542e-06,0.23232,0.000118825,0.0977234,4.34577e-05,-1.79361e-09,6.4506e-13,-4.16692e-10,1.51541e-13,4.2848,3.98547,0.235604,-0.026357,56.2397,10000000,0
0.3,0.0565294,2.89131e-05,0.0237787,1.05744e-05,-0.00862331,4.41058e-06,-0.00362734,1.61307e-06,0.23232,0.000118825,0.0977237,4.34577e-05,-1.79362e-09,6.4506e-13,-4.16693e-10,1.51541e-13,2.67597,2.44399,0.243326,-0.0371183,53.5607,10000000,0
0.35,0.0583025,2.98204e-05,0.0245244,1.09061e-05,-0.011106,5.68045e-06,-0.00467162,2.0775e-06,0.232319,0.000118826,0.0977226,4.34578e-05,-1.79361e-09,6.45061e-13,-4.16689e-10,1.51542e-13,1.72416,1.54601,0.250959,-0.0478049,52.2055,10000000,0
0.4,0.0598542,3.06144e-05,0.0251768,1.11965e-05,-0.013555,6.93314e-06,-0.00570171,2.53563e-06,0.232318,0.000118827,0.0977214,4.34581e-05,-1.7936e-09,6.45064e-13,-4.16685e-10,1.51543e-13,1.1445,1.00972,0.257639,-0.0583466,52.1824,10000000,0
0.45,0.0612258,3.13163e-05,0.0257535,1.14532e-05,-0.015962,8.16438e-06,-0.00671412,2.98592e-06,0.232318,0.000118828,0.0977203,4.34584e-05,-1.79358e-09,6.45066e-13,-4.16682e-10,1.51543e-13,0.781391,0.679467,0.263543,-0.0687076,52.0538,10000000,0
0.5,0.0626053,3.20223e-05,0.0263336,1.17113e-05,-0.0182112,9.31494e-06,-0.00766016,3.4067e-06,0.232317,0.000118829,0.0977194,4.34587e-05,-1.79357e-09,6.45068e-13,-4.16678e-10,1.51544e-13,0.547606,0.469141,0.269482,-0.0783894,52.0283,10000000,0
0.55,0.0641852,3.28307e-05,0.026998,1.2007e-05,-0.0200475,1.02543e-05,-0.00843249,3.75023e-06,0.232317,0.00011883,0.0977187,4.3459e-05,-1.79356e-09,6.45071e-13,-4.16675e-10,1.51545e-13,0.392387,0.330252,0.276283,-0.0862934,52.0653,10000000,0
0.6,0.0660595,3.37897e-05,0.0277862,1.23577e-05,-0.0211237,1.08049e-05,-0.00888514,3.95159e-06,0.232317,0.000118831,0.0977181,4.34593e-05,-1.79355e-09,6.45073e-13,-4.16673e-10,1.51545e-13,0.285048,0.23468,0.28435,-0.0909262,52.1239,10000000,0
0.65,0.068141,3.48547e-05,0.0286616,1.27472e-05,-0.0211918,1.08398e-05,-0.00891373,3.96436e-06,0.232317,0.000118832,0.0977176,4.34597e-05,-1.79354e-09,6.45075e-13,-4.1667e-10,1.51546e-13,0.207063,0.166157,0.29331,-0.0912193,51.9981,10000000,0
0.7,0.0703088,3.59639e-05,0.0295733,1.31528e-05,-0.0200783,1.02703e-05,-0.00844536,3.7561e-06,0.232317,0.000118833,0.0977171,4.346e-05,-1.79353e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.148448,0.11583,0.302642,-0.0864266,52.0891,10000000,0
0.75,0.0723755,3.70215e-05,0.0304425,1.35396e-05,-0.0178665,9.13905e-06,-0.00751497,3.34236e-06,0.232317,0.000118834,0.0977166,4.34604e-05,-1.79352e-09,6.4508e-13,-4.16665e-10,1.51547e-13,0.102942,0.0781038,0.311538,-0.0769058,51.8163,10000000,0
