z2,<dsig|1;0>,err[1],<dsig|2;0>,err[2],<ALL|0;0>,err[3],<ALL|1;0>,err[4],<dsig|0;1>,err[5],<dsig|1;-1>,err[6],<dsig|1;1>,err[7],<dsig|2;1>,err[8],<dsig|2;-1>,err[9],<ALL|0;1>,err[10],<ALL|1;-1>,err[11],<ALL|1;1>,err[12],AUzi,err[13],AUcfqzi,err[14],AUc2fqzi,err[15],ALzi,err[16],ALcfqzi,err[17],BUcf12zi,err[18],BUcfqmf12zi,err[19],BUcfqpf12zi,err[20],BUc2fqmf12zi,err[21],BUc2fqpf12zi,err[22],BLcf12zi,err[23],BLcfqmf12zi,err[24],BLcfqpf12zi,err[25],time[s],neval,fail
,0.1,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000173723,4.73948e-06,0.000120363,5.14564e-06,-0.000120363,5.14564e-06,0.0122087,8.00547e-06,0.0122087,8.00547e-06,-0.000124211,1.07998e-07,0.000129151,7.10078e-08,-0.000129151,7.10078e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.45147,10000000,1
,0.15,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000176622,4.81856e-06,0.000122372,5.23149e-06,-0.000122372,5.23149e-06,0.0124124,8.13905e-06,0.0124124,8.13905e-06,-0.000126283,1.098e-07,0.000131306,7.21926e-08,-0.000131306,7.21926e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.94006,10000000,1
,0.2,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000184934,5.04533e-06,0.000128131,5.4777e-06,-0.000128131,5.4777e-06,0.0129965,8.52209e-06,0.0129965,8.52209e-06,-0.000132226,1.14968e-07,0.000137486,7.55901e-08,-0.000137486,7.55901e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.15064,10000000,1
,0.25,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000197489,5.38786e-06,0.000136829,5.84957e-06,-0.000136829,5.84957e-06,0.0138789,9.10064e-06,0.0138789,9.10064e-06,-0.000141203,1.22773e-07,0.00014682,8.07218e-08,-0.00014682,8.07218e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.15052,10000000,1
,0.3,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000211827,5.77901e-06,0.000146763,6.27425e-06,-0.000146763,6.27425e-06,0.0148865,9.76135e-06,0.0148865,9.76135e-06,-0.000151454,1.31686e-07,0.000157479,8.65822e-08,-0.000157479,8.65822e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.2331,10000000,1
,0.35,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000226119,6.16894e-06,0.000156666,6.69759e-06,-0.000156666,6.69759e-06,0.0158909,1.042e-05,0.0158909,1.042e-05,-0.000161673,1.40571e-07,0.000168104,9.24241e-08,-0.000168104,9.24241e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.75399,10000000,1
,0.4,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000239654,6.5382e-06,0.000166043,7.09849e-06,-0.000166043,7.09849e-06,0.0168421,1.10437e-05,0.0168421,1.10437e-05,-0.000171351,1.48985e-07,0.000178167,9.79564e-08,-0.000178167,9.79564e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.8124,10000000,1
,0.45,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000252509,6.8889e-06,0.00017495,7.47925e-06,-0.00017495,7.47925e-06,0.0177455,1.16361e-05,0.0177455,1.16361e-05,-0.000180542,1.56977e-07,0.000187723,1.03211e-07,-0.000187723,1.03211e-07,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.65896,10000000,1
,0.5,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000264902,7.22701e-06,0.000183536,7.84634e-06,-0.000183536,7.84634e-06,0.0186164,1.22072e-05,0.0186164,1.22072e-05,-0.000189403,1.64681e-07,0.000196937,1.08276e-07,-0.000196937,1.08276e-07,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.62906,10000000,1
,0.55,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000276581,7.54562e-06,0.000191628,8.19224e-06,-0.000191628,8.19224e-06,0.0194372,1.27453e-05,0.0194372,1.27453e-05,-0.000197753,1.71941e-07,0.000205619,1.1305e-07,-0.000205619,1.1305e-07,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.17216,10000000,1
