z2,<dsig|1;0>,err[1],<dsig|2;0>,err[2],<ALL|0;0>,err[3],<ALL|1;0>,err[4],<dsig|0;1>,err[5],<dsig|1;-1>,err[6],<dsig|1;1>,err[7],<dsig|2;1>,err[8],<dsig|2;-1>,err[9],<ALL|0;1>,err[10],<ALL|1;-1>,err[11],<ALL|1;1>,err[12],AUzi,err[13],AUcfqzi,err[14],AUc2fqzi,err[15],ALzi,err[16],ALcfqzi,err[17],BUcf12zi,err[18],BUcfqmf12zi,err[19],BUcfqpf12zi,err[20],BUc2fqmf12zi,err[21],BUc2fqpf12zi,err[22],BLcf12zi,err[23],BLcfqmf12zi,err[24],BLcfqpf12zi,err[25],time[s],neval,fail
,0.1,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000157001,4.28328e-06,0.000108778,4.65034e-06,-0.000108778,4.65034e-06,0.0110335,7.2349e-06,0.0110335,7.2349e-06,-0.000112255,9.76027e-08,0.00011672,6.41729e-08,-0.00011672,6.41729e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.44975,10000000,1
,0.15,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000159591,4.35394e-06,0.000110572,4.72705e-06,-0.000110572,4.72705e-06,0.0112155,7.35425e-06,0.0112155,7.35425e-06,-0.000114107,9.92128e-08,0.000118645,6.52315e-08,-0.000118645,6.52315e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.96126,10000000,1
,0.2,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000167099,4.55876e-06,0.000115774,4.94942e-06,-0.000115774,4.94942e-06,0.0117431,7.70021e-06,0.0117431,7.70021e-06,-0.000119474,1.0388e-07,0.000124227,6.83001e-08,-0.000124227,6.83001e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.1825,10000000,1
,0.25,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000178453,4.86853e-06,0.000123641,5.28574e-06,-0.000123641,5.28574e-06,0.0125411,8.22345e-06,0.0125411,8.22345e-06,-0.000127593,1.10939e-07,0.000132668,7.29411e-08,-0.000132668,7.29411e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.96505,10000000,1
,0.3,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000191409,5.22199e-06,0.000132617,5.6695e-06,-0.000132617,5.6695e-06,0.0134516,8.82048e-06,0.0134516,8.82048e-06,-0.000136856,1.18993e-07,0.0001423,7.82368e-08,-0.0001423,7.82368e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.18988,10000000,1
,0.35,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000204303,5.57375e-06,0.00014155,6.0514e-06,-0.00014155,6.0514e-06,0.0143577,9.41465e-06,0.0143577,9.41465e-06,-0.000146075,1.27009e-07,0.000151885,8.3507e-08,-0.000151885,8.3507e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.08644,10000000,1
,0.4,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000216491,5.90627e-06,0.000149995,6.41241e-06,-0.000149995,6.41241e-06,0.0152143,9.9763e-06,0.0152143,9.9763e-06,-0.000154789,1.34586e-07,0.000160946,8.84888e-08,-0.000160946,8.84888e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,4.05251,10000000,1
,0.45,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000228048,6.22157e-06,0.000158002,6.75473e-06,-0.000158002,6.75473e-06,0.0160265,1.05089e-05,0.0160265,1.05089e-05,-0.000163053,1.4177e-07,0.000169538,9.32126e-08,-0.000169538,9.32126e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.41898,10000000,1
,0.5,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.00023917,6.52498e-06,0.000165708,7.08414e-06,-0.000165708,7.08414e-06,0.016808,1.10214e-05,0.016808,1.10214e-05,-0.000171004,1.48684e-07,0.000177806,9.77584e-08,-0.000177806,9.77584e-08,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.921,10000000,1
,0.55,0.00780844,9.36837e-05,0.0968328,6.58776e-05,-0.0149175,1.20308e-05,-0.002555,1.41072e-06,0.000249617,6.80999e-06,0.000172946,7.39358e-06,-0.000172946,7.39358e-06,0.0175422,1.15028e-05,0.0175422,1.15028e-05,-0.000178474,1.55179e-07,0.000185573,1.02029e-07,-0.000185573,1.02029e-07,1.01139e-05,4.13693e-09,3.94871e-08,4.73481e-10,9.79362e-07,5.32409e-10,-1.50875e-07,1.04868e-10,-1.29206e-08,4.792e-12,7.17701e-09,1.9578e-10,4.97256e-09,2.12571e-10,-4.97256e-09,2.12571e-10,5.04376e-07,2.58495e-10,5.04376e-07,2.58495e-10,-5.13151e-09,3.93717e-12,5.33562e-09,1.96025e-12,-5.33562e-09,1.96025e-12,3.26386,10000000,1
