z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0473708,2.29014e-05,0.0349635,1.60381e-05,-0.0156176,7.5503e-06,-0.011527,5.28756e-06,0.230407,0.00011139,0.170059,7.80076e-05,-1.82736e-10,6.1786e-14,-4.21035e-11,1.45486e-14,1.47833,1.2782,0.205597,-0.0677826,51.9443,10000000,0
0.15,0.047658,2.30411e-05,0.0351752,1.61359e-05,-0.0175177,8.46923e-06,-0.0129294,5.93108e-06,0.230406,0.000111394,0.170057,7.80102e-05,-1.82731e-10,6.17868e-14,-4.21025e-11,1.45488e-14,0.691896,0.606043,0.206843,-0.0760295,51.6797,10000000,0
0.2,0.0486042,2.34993e-05,0.0358733,1.64568e-05,-0.0204819,9.90264e-06,-0.0151171,6.93491e-06,0.230406,0.000111397,0.170056,7.80127e-05,-1.82728e-10,6.17876e-14,-4.21016e-11,1.4549e-14,0.38072,0.329567,0.21095,-0.0888946,52.0323,10000000,0
0.25,0.0500401,2.41943e-05,0.036933,1.69435e-05,-0.0241993,1.17003e-05,-0.0178607,8.19381e-06,0.230406,0.000111401,0.170055,7.80149e-05,-1.82725e-10,6.17883e-14,-4.21008e-11,1.45491e-14,0.228075,0.190763,0.217183,-0.105029,51.5467,10000000,0
0.3,0.0516102,2.49541e-05,0.0380917,1.74755e-05,-0.028233,1.36509e-05,-0.0208378,9.55988e-06,0.230406,0.000111404,0.170055,7.80169e-05,-1.82722e-10,6.17889e-14,-4.21001e-11,1.45493e-14,0.143623,0.114841,0.223997,-0.122536,51.2817,10000000,0
0.35,0.0530785,2.56646e-05,0.0391752,1.79732e-05,-0.0322786,1.56074e-05,-0.0238236,1.093e-05,0.230406,0.000111406,0.170054,7.80188e-05,-1.82719e-10,6.17895e-14,-4.20995e-11,1.45494e-14,0.0933524,0.0713397,0.230369,-0.140095,51.1333,10000000,0
0.4,0.0543663,2.62879e-05,0.0401256,1.84097e-05,-0.0362035,1.75056e-05,-0.0267203,1.22593e-05,0.230406,0.000111409,0.170053,7.80207e-05,-1.82716e-10,6.17901e-14,-4.20989e-11,1.45495e-14,0.0624491,0.0458467,0.235959,-0.157129,50.2444,10000000,0
0.45,0.0555101,2.68416e-05,0.0409697,1.87974e-05,-0.0400035,1.93435e-05,-0.0295249,1.35464e-05,0.230406,0.000111411,0.170053,7.80224e-05,-1.82714e-10,6.17907e-14,-4.20984e-11,1.45497e-14,0.0429299,0.0303971,0.240923,-0.173622,51.4443,10000000,0
0.5,0.0565673,2.73533e-05,0.0417498,1.91558e-05,-0.043661,2.11124e-05,-0.0322243,1.47852e-05,0.230406,0.000111414,0.170052,7.8024e-05,-1.82712e-10,6.17912e-14,-4.20979e-11,1.45498e-14,0.0303006,0.0206656,0.245512,-0.189496,51.4532,10000000,0
0.55,0.0575572,2.78325e-05,0.0424803,1.94913e-05,-0.0470412,2.27473e-05,-0.0347189,1.59302e-05,0.230406,0.000111416,0.170052,7.80254e-05,-1.8271e-10,6.17917e-14,-4.20975e-11,1.45499e-14,0.0218856,0.0142715,0.249808,-0.204167,51.8221,10000000,0
