z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0580216,2.80503e-05,0.0428248,1.9644e-05,-0.0134996,6.52632e-06,-0.00996383,4.57046e-06,0.230407,0.000111389,0.170059,7.80071e-05,-1.82737e-10,6.17859e-14,-4.21037e-11,1.45486e-14,1.47833,1.2782,0.251823,-0.0585903,51.5578,10000000,0
0.15,0.057991,2.80365e-05,0.0428018,1.96342e-05,-0.0148407,7.17492e-06,-0.0109536,5.02467e-06,0.230406,0.000111393,0.170058,7.80095e-05,-1.82733e-10,6.17866e-14,-4.21027e-11,1.45487e-14,0.691896,0.606043,0.25169,-0.064411,51.5237,10000000,0
0.2,0.0587926,2.84249e-05,0.0433932,1.99062e-05,-0.0174311,8.42757e-06,-0.0128654,5.9019e-06,0.230406,0.000111396,0.170056,7.80119e-05,-1.82729e-10,6.17873e-14,-4.21019e-11,1.45489e-14,0.38072,0.329567,0.255169,-0.0756539,51.5583,10000000,0
0.25,0.0602779,2.91439e-05,0.0444893,2.04097e-05,-0.0210099,1.01581e-05,-0.0155068,7.11382e-06,0.230406,0.000111399,0.170055,7.80141e-05,-1.82726e-10,6.1788e-14,-4.21011e-11,1.45491e-14,0.228075,0.190763,0.261616,-0.0911864,51.6346,10000000,0
0.3,0.0620153,2.99847e-05,0.0457714,2.09985e-05,-0.0251376,1.21541e-05,-0.0185532,8.51165e-06,0.230406,0.000111402,0.170055,7.80161e-05,-1.82723e-10,6.17886e-14,-4.21004e-11,1.45492e-14,0.143623,0.114841,0.269157,-0.109101,51.2715,10000000,0
0.35,0.0636895,3.0795e-05,0.0470069,2.1566e-05,-0.029482,1.4255e-05,-0.0217595,9.98292e-06,0.230406,0.000111405,0.170054,7.8018e-05,-1.8272e-10,6.17893e-14,-4.20998e-11,1.45493e-14,0.0933524,0.0713397,0.276423,-0.127957,51.5688,10000000,0
0.4,0.0651774,3.15151e-05,0.0481049,2.20703e-05,-0.0338823,1.63831e-05,-0.0250072,1.14732e-05,0.230406,0.000111408,0.170054,7.80199e-05,-1.82717e-10,6.17899e-14,-4.20992e-11,1.45495e-14,0.0624491,0.0458467,0.282881,-0.147055,51.386,10000000,0
0.45,0.0665201,3.21651e-05,0.0490958,2.25255e-05,-0.0383182,1.85283e-05,-0.0282811,1.29756e-05,0.230406,0.00011141,0.170053,7.80216e-05,-1.82715e-10,6.17904e-14,-4.20986e-11,1.45496e-14,0.0429299,0.0303971,0.288708,-0.166307,51.8436,10000000,0
0.5,0.0678091,3.2789e-05,0.0500469,2.29624e-05,-0.0427508,2.06721e-05,-0.0315525,1.44769e-05,0.230406,0.000111412,0.170053,7.80232e-05,-1.82713e-10,6.1791e-14,-4.20981e-11,1.45497e-14,0.0303006,0.0206656,0.294303,-0.185546,51.3727,10000000,0
0.55,0.0690989,3.34133e-05,0.0509988,2.33996e-05,-0.0469936,2.27241e-05,-0.0346839,1.59139e-05,0.230406,0.000111414,0.170052,7.80246e-05,-1.82711e-10,6.17914e-14,-4.20977e-11,1.45498e-14,0.0218856,0.0142715,0.299901,-0.20396,51.2056,10000000,0
0.6,0.0703597,3.40235e-05,0.0519292,2.3827e-05,-0.0506764,2.45053e-05,-0.0374019,1.71613e-05,0.230406,0.000111416,0.170052,7.8026e-05,-1.82709e-10,6.17919e-14,-4.20973e-11,1.45499e-14,0.0160514,0.00990111,0.305373,-0.219944,51.4558,10000000,0
0.65,0.0714958,3.45734e-05,0.0527677,2.42121e-05,-0.0533524,2.57997e-05,-0.0393769,1.80678e-05,0.230406,0.000111418,0.170052,7.80272e-05,-1.82708e-10,6.17923e-14,-4.2097e-11,1.455e-14,0.011777,0.00680865,0.310304,-0.231558,50.8686,10000000,0
0.7,0.0724256,3.50235e-05,0.0534538,2.45274e-05,-0.0545611,2.63846e-05,-0.0402689,1.84774e-05,0.230406,0.00011142,0.170051,7.80283e-05,-1.82706e-10,6.17927e-14,-4.20966e-11,1.45501e-14,0.00852425,0.00458907,0.314339,-0.236804,51.4446,10000000,0
0.75,0.0730911,3.53458e-05,0.0539449,2.47531e-05,-0.0540492,2.61374e-05,-0.039891,1.83043e-05,0.230406,0.000111421,0.170051,7.80293e-05,-1.82705e-10,6.17931e-14,-4.20963e-11,1.45502e-14,0.00595638,0.002984,0.317228,-0.234582,51.5611,10000000,0
0.8,0.0734884,3.55383e-05,0.0542381,2.48879e-05,-0.0518487,2.50735e-05,-0.0382669,1.75593e-05,0.230406,0.000111422,0.170051,7.80303e-05,-1.82704e-10,6.17934e-14,-4.20961e-11,1.45503e-14,0.0039006,0.00182757,0.318952,-0.225032,51.5126,10000000,0
0.1,0.0520998,2.51875e-05,0.038454,1.76391e-05,-0.0147821,7.14636e-06,-0.0109104,5.00468e-06,0.230407,0.00011139,0.170059,7.80074e-05,-1.82736e-10,6.17859e-14,-4.21036e-11,1.45486e-14,1.47833,1.2782,0.226121,-0.0641565,51.2754,10000000,0
0.15,0.0522358,2.52542e-05,0.038554,1.76858e-05,-0.0164209,7.93895e-06,-0.0121199,5.55972e-06,0.230406,0.000111393,0.170057,7.80099e-05,-1.82732e-10,6.17867e-14,-4.21026e-11,1.45488e-14,0.691896,0.606043,0.226712,-0.0712694,51.3992,10000000,0
0.2,0.0531198,2.56824e-05,0.0392062,1.79856e-05,-0.0192486,9.30635e-06,-0.0142069,6.51732e-06,0.230406,0.000111397,0.170056,7.80123e-05,-1.82728e-10,6.17875e-14,-4.21017e-11,1.45489e-14,0.38072,0.329567,0.230549,-0.0835422,51.6804,10000000,0
0.25,0.0545904,2.63942e-05,0.0402915,1.84841e-05,-0.0229698,1.11058e-05,-0.0169533,7.77747e-06,0.230406,0.0001114,0.170055,7.80145e-05,-1.82725e-10,6.17881e-14,-4.21009e-11,1.45491e-14,0.228075,0.190763,0.236931,-0.0996926,51.4106,10000000,0
0.3,0.0562542,2.71993e-05,0.0415193,1.90479e-05,-0.0271339,1.31195e-05,-0.0200266,9.18768e-06,0.230406,0.000111403,0.170055,7.80165e-05,-1.82722e-10,6.17888e-14,-4.21003e-11,1.45492e-14,0.143623,0.114841,0.244153,-0.117766,51.2602,10000000,0
0.35,0.0578367,2.79652e-05,0.0426871,1.95843e-05,-0.0314136,1.51891e-05,-0.0231852,1.06371e-05,0.230406,0.000111406,0.170054,7.80185e-05,-1.82719e-10,6.17894e-14,-4.20996e-11,1.45494e-14,0.0933524,0.0713397,0.251021,-0.13634,51.6568,10000000,0
0.4,0.0592377,2.86432e-05,0.043721,2.00591e-05,-0.035657,1.72413e-05,-0.026317,1.20742e-05,0.230406,0.000111408,0.170053,7.80203e-05,-1.82717e-10,6.179e-14,-4.2099e-11,1.45495e-14,0.0624491,0.0458467,0.257101,-0.154757,51.5093,10000000,0
0.45,0.0604949,2.92518e-05,0.0446488,2.04853e-05,-0.0398498,1.92691e-05,-0.0294115,1.34943e-05,0.230406,0.000111411,0.170053,7.80221e-05,-1.82714e-10,6.17906e-14,-4.20985e-11,1.45496e-14,0.0429299,0.0303971,0.262558,-0.172955,51.1806,10000000,0
0.5,0.0616795,2.98252e-05,0.0455229,2.08869e-05,-0.0439616,2.12577e-05,-0.0324462,1.4887e-05,0.230406,0.000111413,0.170053,7.80237e-05,-1.82712e-10,6.17911e-14,-4.2098e-11,1.45498e-14,0.0303006,0.0206656,0.267699,-0.190801,51.7234,10000000,0
0.55,0.0628235,3.03789e-05,0.0463672,2.12747e-05,-0.047828,2.31277e-05,-0.0352997,1.61965e-05,0.230406,0.000111415,0.170052,7.80251e-05,-1.82711e-10,6.17916e-14,-4.20976e-11,1.45499e-14,0.0218856,0.0142715,0.272664,-0.207581,51.4058,10000000,0
0.6,0.0638887,3.08945e-05,0.0471533,2.16357e-05,-0.0511229,2.47214e-05,-0.0377314,1.73126e-05,0.230406,0.000111417,0.170052,7.80264e-05,-1.82709e-10,6.1792e-14,-4.20972e-11,1.455e-14,0.0160514,0.00990111,0.277287,-0.221882,51.5053,10000000,0
