z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0557323,2.09914e-05,0.000728129,2.16071e-07,0.148883,5.60764e-05,0.00194513,5.77212e-07,0.592496,110.919,36000000,0
,0.15,0.0568234,3.53839e-05,0.000742629,3.63106e-07,0.148906,9.27235e-05,0.00194606,9.51519e-07,0.604004,43.3948,14000000,0
,0.2,0.0594343,0.000150082,0.000776289,1.51956e-06,0.149065,0.000376417,0.00194699,3.81115e-06,0.631081,6.19909,2000000,0
,0.25,0.0635169,0.000372247,0.000821525,3.68236e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.671681,3.08658,1000000,0
,0.3,0.0681383,0.000399331,0.000881295,3.95028e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.720552,3.09667,1000000,0
,0.35,0.0731152,0.000428499,0.000945663,4.23881e-06,0.149676,0.000877189,0.00193589,8.67734e-06,0.773182,3.1075,1000000,0
,0.4,0.0782049,0.000458328,0.00101149,4.53387e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.827004,3.10935,1000000,0
,0.45,0.0833738,0.000488621,0.00107834,4.83353e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.881664,3.09017,1000000,0
,0.5,0.0887167,0.000519934,0.00114744,5.14327e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.938165,3.04868,1000000,0
,0.55,0.0943094,0.000552711,0.00121977,5.4675e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.997307,3.1126,1000000,0
,0.6,0.100094,0.00058661,0.00129458,5.80283e-06,0.149676,0.000877191,0.00193586,8.67729e-06,1.05847,3.10863,1000000,0
,0.65,0.105839,0.000620281,0.00136889,6.1359e-06,0.149676,0.000877191,0.00193586,8.67728e-06,1.11923,3.11365,1000000,0
,0.7,0.111191,0.000651646,0.00143811,6.44616e-06,0.149676,0.000877191,0.00193586,8.67728e-06,1.17582,3.11172,1000000,0
,0.75,0.115635,0.000677694,0.00149559,6.70382e-06,0.149676,0.000877191,0.00193585,8.67727e-06,1.22282,3.10014,1000000,0
,0.8,0.118546,0.000694754,0.00153323,6.87257e-06,0.149676,0.000877192,0.00193585,8.67726e-06,1.25361,3.09217,1000000,0
