z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0177133,6.21387e-06,0.000231472,6.44914e-08,0.148826,5.22088e-05,0.00194482,5.41855e-07,0.188384,134.112,43000000,0
,0.15,0.0179659,6.35641e-06,0.000234796,6.58702e-08,0.148824,5.26543e-05,0.00194497,5.45646e-07,0.191074,130.674,42000000,0
,0.2,0.0186878,6.6764e-06,0.000244221,6.90992e-08,0.148821,5.31678e-05,0.00194486,5.50274e-07,0.198755,128.004,41000000,0
,0.25,0.0197627,7.13308e-06,0.000258229,7.37344e-08,0.148817,5.37136e-05,0.00194452,5.55236e-07,0.210193,124.641,40000000,0
,0.3,0.0209617,7.54775e-06,0.000273864,7.79389e-08,0.148814,5.35837e-05,0.00194424,5.53311e-07,0.222951,124.864,40000000,0
,0.35,0.0221318,8.0577e-06,0.000289126,8.3131e-08,0.148812,5.4179e-05,0.00194405,5.58962e-07,0.235399,121.703,39000000,0
,0.4,0.0232298,8.44253e-06,0.00030345,8.70397e-08,0.14881,5.40828e-05,0.0019439,5.57576e-07,0.24708,122.45,39000000,0
,0.45,0.0242735,8.8083e-06,0.000317066,9.07562e-08,0.148809,5.39994e-05,0.00194378,5.56382e-07,0.258183,120.436,39000000,0
,0.5,0.0252648,9.15451e-06,0.000330002,9.42705e-08,0.148808,5.39195e-05,0.00194369,5.55247e-07,0.268729,121.304,39000000,0
,0.55,0.026143,1.14729e-05,0.000341472,1.18031e-07,0.148817,6.53089e-05,0.00194381,6.71885e-07,0.278052,84.4014,27000000,0
,0.6,0.026786,1.74878e-05,0.000349972,1.79557e-07,0.148843,9.71755e-05,0.00194471,9.97755e-07,0.284842,40.4737,13000000,0
,0.65,0.0270769,2.82191e-05,0.000354068,2.88684e-07,0.148898,0.000155179,0.00194705,1.5875e-06,0.287828,18.7636,6000000,0
,0.7,0.0269408,6.81254e-05,0.000351888,6.89797e-07,0.149055,0.000376916,0.00194688,3.81642e-06,0.286081,6.25143,2000000,0
,0.75,0.0264526,0.000155028,0.000342137,1.53358e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.279732,3.11164,1000000,0
,0.8,0.0255245,0.000149589,0.000330131,1.47977e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.269917,3.11424,1000000,0
