z2,<dsig|1;0>U,err[1],<dsig|1;0>L,err[2],<dsig|2;0>U,err[3],<dsig|2;0>L,err[4],<ALL|0;0>U,err[5],<ALL|0;0>L,err[6],<ALL|1;0>U,err[7],<ALL|1;0>L,err[8],<dsig|0;1>U,err[9],<dsig|0;1>L,err[10],<dsig|1;-1>U,err[11],<dsig|1;-1>L,err[12],<dsig|1;1>U,err[13],<dsig|1;1>L,err[14],<dsig|2;1>U,err[15],<dsig|2;1>L,err[16],<dsig|2;-1>U,err[17],<dsig|2;-1>L,err[18],<ALL|0;1>U,err[19],<ALL|0;1>L,err[20],<ALL|1;-1>U,err[21],<ALL|1;-1>L,err[22],<ALL|1;1>U,err[23],<ALL|1;1>L,err[24],time[s],neval,fail
,0.1,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0144012,2.42386e-05,-0.00146574,2.42386e-05,-0.0140798,2.4115e-05,0.00143303,2.4115e-05,0.0140798,2.4115e-05,-0.00143303,2.4115e-05,0.00409743,7.62736e-06,-0.000417032,7.62736e-06,0.00409743,7.62736e-06,-0.000417032,7.62736e-06,-0.000277473,3.71972e-07,2.82409e-05,3.71972e-07,6.88122e-05,9.33703e-08,-7.00363e-06,9.33703e-08,-6.88122e-05,9.33703e-08,7.00363e-06,9.33703e-08,2.93736,10000000,1
,0.15,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0138068,2.42386e-05,-0.00160265,2.42386e-05,-0.0134987,2.4115e-05,0.00156688,2.4115e-05,0.0134987,2.4115e-05,-0.00156688,2.4115e-05,0.00392832,7.62736e-06,-0.000455985,7.62736e-06,0.00392832,7.62736e-06,-0.000455985,7.62736e-06,-0.000266021,3.71972e-07,3.08787e-05,3.71972e-07,6.5972e-05,9.33703e-08,-7.6578e-06,9.33703e-08,-6.5972e-05,9.33703e-08,7.6578e-06,9.33703e-08,2.94775,10000000,1
,0.2,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0136084,2.42386e-05,-0.00206203,2.42386e-05,-0.0133048,2.4115e-05,0.00201602,2.4115e-05,0.0133048,2.4115e-05,-0.00201602,2.4115e-05,0.00387187,7.62736e-06,-0.00058669,7.62736e-06,0.00387187,7.62736e-06,-0.00058669,7.62736e-06,-0.000262199,3.71972e-07,3.97299e-05,3.71972e-07,6.50241e-05,9.33703e-08,-9.85285e-06,9.33703e-08,-6.50241e-05,9.33703e-08,9.85285e-06,9.33703e-08,2.9423,10000000,1
,0.25,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.013807,2.42386e-05,-0.00273809,2.42386e-05,-0.0134989,2.4115e-05,0.00267699,2.4115e-05,0.0134989,2.4115e-05,-0.00267699,2.4115e-05,0.00392836,7.62736e-06,-0.000779043,7.62736e-06,0.00392836,7.62736e-06,-0.000779043,7.62736e-06,-0.000266024,3.71972e-07,5.27558e-05,3.71972e-07,6.59728e-05,9.33703e-08,-1.30832e-05,9.33703e-08,-6.59728e-05,9.33703e-08,1.30832e-05,9.33703e-08,2.98186,10000000,1
,0.3,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0142242,2.42386e-05,-0.00350207,2.42386e-05,-0.0139068,2.4115e-05,0.00342392,2.4115e-05,0.0139068,2.4115e-05,-0.00342392,2.4115e-05,0.00404707,7.62736e-06,-0.00099641,7.62736e-06,0.00404707,7.62736e-06,-0.00099641,7.62736e-06,-0.000274063,3.71972e-07,6.74757e-05,3.71972e-07,6.79664e-05,9.33703e-08,-1.67337e-05,9.33703e-08,-6.79664e-05,9.33703e-08,1.67337e-05,9.33703e-08,2.98985,10000000,1
,0.35,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.014674,2.42386e-05,-0.00427612,2.42386e-05,-0.0143465,2.4115e-05,0.00418069,2.4115e-05,0.0143465,2.4115e-05,-0.00418069,2.4115e-05,0.00417504,7.62736e-06,-0.00121664,7.62736e-06,0.00417504,7.62736e-06,-0.00121664,7.62736e-06,-0.000282729,3.71972e-07,8.23895e-05,3.71972e-07,7.01155e-05,9.33703e-08,-2.04322e-05,9.33703e-08,-7.01155e-05,9.33703e-08,2.04322e-05,9.33703e-08,2.99668,10000000,1
,0.4,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0150532,2.42386e-05,-0.0050458,2.42386e-05,-0.0147173,2.4115e-05,0.0049332,2.4115e-05,0.0147173,2.4115e-05,-0.0049332,2.4115e-05,0.00428294,7.62736e-06,-0.00143563,7.62736e-06,0.00428294,7.62736e-06,-0.00143563,7.62736e-06,-0.000290036,3.71972e-07,9.72193e-05,3.71972e-07,7.19276e-05,9.33703e-08,-2.411e-05,9.33703e-08,-7.19276e-05,9.33703e-08,2.411e-05,9.33703e-08,2.96108,10000000,1
,0.45,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.015343,2.42386e-05,-0.00583184,2.42386e-05,-0.0150006,2.4115e-05,0.00570169,2.4115e-05,0.0150006,2.4115e-05,-0.00570169,2.4115e-05,0.0043654,7.62736e-06,-0.00165927,7.62736e-06,0.0043654,7.62736e-06,-0.00165927,7.62736e-06,-0.00029562,3.71972e-07,0.000112364,3.71972e-07,7.33125e-05,9.33703e-08,-2.78658e-05,9.33703e-08,-7.33125e-05,9.33703e-08,2.78658e-05,9.33703e-08,3.05923,10000000,1
,0.5,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0155896,2.42386e-05,-0.0066426,2.42386e-05,-0.0152417,2.4115e-05,0.00649437,2.4115e-05,0.0152417,2.4115e-05,-0.00649437,2.4115e-05,0.00443554,7.62736e-06,-0.00188995,7.62736e-06,0.00443554,7.62736e-06,-0.00188995,7.62736e-06,-0.00030037,3.71972e-07,0.000127985,3.71972e-07,7.44904e-05,9.33703e-08,-3.17398e-05,9.33703e-08,-7.44904e-05,9.33703e-08,3.17398e-05,9.33703e-08,2.96325,10000000,1
,0.55,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0158689,2.42386e-05,-0.00742789,2.42386e-05,-0.0155148,2.4115e-05,0.00726213,2.4115e-05,0.0155148,2.4115e-05,-0.00726213,2.4115e-05,0.00451502,7.62736e-06,-0.00211338,7.62736e-06,0.00451502,7.62736e-06,-0.00211338,7.62736e-06,-0.000305752,3.71972e-07,0.000143116,3.71972e-07,7.58251e-05,9.33703e-08,-3.54921e-05,9.33703e-08,-7.58251e-05,9.33703e-08,3.54921e-05,9.33703e-08,3.02147,10000000,1
,0.6,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0162393,2.42386e-05,-0.00807064,2.42386e-05,-0.0158769,2.4115e-05,0.00789054,2.4115e-05,0.0158769,2.4115e-05,-0.00789054,2.4115e-05,0.00462041,7.62736e-06,-0.00229626,7.62736e-06,0.00462041,7.62736e-06,-0.00229626,7.62736e-06,-0.000312889,3.71972e-07,0.0001555,3.71972e-07,7.7595e-05,9.33703e-08,-3.85633e-05,9.33703e-08,-7.7595e-05,9.33703e-08,3.85633e-05,9.33703e-08,2.9753,10000000,1
