z2,<dsig|1;0>,err[1],<dsig|2;0>,err[2],<ALL|0;0>,err[3],<ALL|1;0>,err[4],<dsig|0;1>,err[5],<dsig|1;-1>,err[6],<dsig|1;1>,err[7],<dsig|2;1>,err[8],<dsig|2;-1>,err[9],<ALL|0;1>,err[10],<ALL|1;-1>,err[11],<ALL|1;1>,err[12],AUzi,err[13],AUcfqzi,err[14],AUc2fqzi,err[15],ALzi,err[16],ALcfqzi,err[17],BUcf12zi,err[18],BUcfqmf12zi,err[19],BUcfqpf12zi,err[20],BUc2fqmf12zi,err[21],BUc2fqpf12zi,err[22],BLcf12zi,err[23],BLcfqmf12zi,err[24],BLcfqpf12zi,err[25],time[s],neval,fail
0.1,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000693336,2.58531e-06,-0.000891137,2.88609e-06,0.000891137,2.88609e-06,0.00707958,3.52037e-06,0.00707958,3.52037e-06,-0.000309553,2.01232e-07,0.000366411,1.51639e-07,-0.000366411,1.51639e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,2.95503,10000000,1
0.15,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000731158,2.72635e-06,-0.00093975,3.04353e-06,0.00093975,3.04353e-06,0.00746578,3.71241e-06,0.00746578,3.71241e-06,-0.000326439,2.12209e-07,0.000386399,1.59911e-07,-0.000386399,1.59911e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.30989,10000000,1
0.2,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000763682,2.84762e-06,-0.000981553,3.17892e-06,0.000981553,3.17892e-06,0.00779788,3.87755e-06,0.00779788,3.87755e-06,-0.00034096,2.21649e-07,0.000403587,1.67025e-07,-0.000403587,1.67025e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.57674,10000000,1
0.25,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000785924,2.93056e-06,-0.00101014,3.2715e-06,0.00101014,3.2715e-06,0.008025,3.99048e-06,0.008025,3.99048e-06,-0.000350891,2.28104e-07,0.000415342,1.71889e-07,-0.000415342,1.71889e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.76828,10000000,1
0.3,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000800052,2.98324e-06,-0.0010283,3.33031e-06,0.0010283,3.33031e-06,0.00816925,4.06221e-06,0.00816925,4.06221e-06,-0.000357198,2.32205e-07,0.000422808,1.74979e-07,-0.000422808,1.74979e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.60322,10000000,1
0.35,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000811582,3.02623e-06,-0.00104312,3.37831e-06,0.00104312,3.37831e-06,0.00828698,4.12075e-06,0.00828698,4.12075e-06,-0.000362346,2.35551e-07,0.000428901,1.77501e-07,-0.000428901,1.77501e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.26593,10000000,1
0.4,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000825518,3.07819e-06,-0.00106103,3.43631e-06,0.00106103,3.43631e-06,0.00842928,4.19151e-06,0.00842928,4.19151e-06,-0.000368568,2.39596e-07,0.000436266,1.80549e-07,-0.000436266,1.80549e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.19677,10000000,1
0.45,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000842083,3.13997e-06,-0.00108232,3.50527e-06,0.00108232,3.50527e-06,0.00859843,4.27562e-06,0.00859843,4.27562e-06,-0.000375964,2.44404e-07,0.00044502,1.84172e-07,-0.00044502,1.84172e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.07836,10000000,1
0.5,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.000856371,3.19324e-06,-0.00110068,3.56475e-06,0.00110068,3.56475e-06,0.00874432,4.34817e-06,0.00874432,4.34817e-06,-0.000382343,2.48551e-07,0.000452571,1.87297e-07,-0.000452571,1.87297e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.05214,10000000,1
0.55,0.046725,7.29912e-05,0.134824,7.17439e-05,-0.0406747,2.48104e-05,-0.0106998,4.47186e-06,-0.00085904,3.20319e-06,-0.00110411,3.57586e-06,0.00110411,3.57586e-06,0.00877157,4.36172e-06,0.00877157,4.36172e-06,-0.000383534,2.49325e-07,0.000453982,1.8788e-07,-0.000453982,1.8788e-07,8.44977e-05,2.57624e-08,1.97408e-06,3.02449e-09,1.13923e-05,4.96848e-09,-3.43692e-06,1.81575e-09,-4.52055e-07,1.29224e-10,-3.81136e-07,1.41642e-09,-4.8987e-07,1.57948e-09,4.8987e-07,1.57948e-09,3.89174e-06,1.52875e-09,3.89174e-06,1.52875e-09,-1.70165e-07,9.76987e-11,2.01421e-07,5.63672e-11,-2.01421e-07,5.63672e-11,3.09146,10000000,1
