z2,<dsig|1;0>U,err[1],<dsig|1;0>L,err[2],<dsig|2;0>U,err[3],<dsig|2;0>L,err[4],<ALL|0;0>U,err[5],<ALL|0;0>L,err[6],<ALL|1;0>U,err[7],<ALL|1;0>L,err[8],<dsig|0;1>U,err[9],<dsig|0;1>L,err[10],<dsig|1;-1>U,err[11],<dsig|1;-1>L,err[12],<dsig|1;1>U,err[13],<dsig|1;1>L,err[14],<dsig|2;1>U,err[15],<dsig|2;1>L,err[16],<dsig|2;-1>U,err[17],<dsig|2;-1>L,err[18],<ALL|0;1>U,err[19],<ALL|0;1>L,err[20],<ALL|1;-1>U,err[21],<ALL|1;-1>L,err[22],<ALL|1;1>U,err[23],<ALL|1;1>L,err[24],time[s],neval,fail
,0.1,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00449093,1.75437e-05,-0.000439435,1.75437e-05,-0.0121354,2.2998e-05,0.00118744,2.2998e-05,0.0121354,2.2998e-05,-0.00118744,2.2998e-05,0.00653085,1.3761e-05,-0.000639039,1.3761e-05,0.00653085,1.3761e-05,-0.000639039,1.3761e-05,-0.000290502,4.64251e-07,2.84254e-05,4.64251e-07,0.00011195,1.77676e-07,-1.09542e-05,1.77676e-07,-0.00011195,1.77676e-07,1.09542e-05,1.77676e-07,2.98364,10000000,1
,0.15,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.0043599,1.75437e-05,-0.000509961,1.75437e-05,-0.0117813,2.2998e-05,0.00137801,2.2998e-05,0.0117813,2.2998e-05,-0.00137801,2.2998e-05,0.0063403,1.3761e-05,-0.000741601,1.3761e-05,0.0063403,1.3761e-05,-0.000741601,1.3761e-05,-0.000282026,4.64251e-07,3.29875e-05,4.64251e-07,0.000108684,1.77676e-07,-1.27123e-05,1.77676e-07,-0.000108684,1.77676e-07,1.27123e-05,1.77676e-07,2.98483,10000000,1
,0.2,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00433548,1.75437e-05,-0.000669164,1.75437e-05,-0.0117153,2.2998e-05,0.00180821,2.2998e-05,0.0117153,2.2998e-05,-0.00180821,2.2998e-05,0.00630479,1.3761e-05,-0.00097312,1.3761e-05,0.00630479,1.3761e-05,-0.00097312,1.3761e-05,-0.000280446,4.64251e-07,4.32858e-05,4.64251e-07,0.000108075,1.77676e-07,-1.6681e-05,1.77676e-07,-0.000108075,1.77676e-07,1.6681e-05,1.77676e-07,3.08176,10000000,1
,0.25,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00441801,1.75437e-05,-0.000888209,1.75437e-05,-0.0119383,2.2998e-05,0.00240011,2.2998e-05,0.0119383,2.2998e-05,-0.00240011,2.2998e-05,0.00642481,1.3761e-05,-0.00129166,1.3761e-05,0.00642481,1.3761e-05,-0.00129166,1.3761e-05,-0.000285785,4.64251e-07,5.7455e-05,4.64251e-07,0.000110132,1.77676e-07,-2.21413e-05,1.77676e-07,-0.000110132,1.77676e-07,2.21413e-05,1.77676e-07,3.02282,10000000,1
,0.3,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00455715,1.75437e-05,-0.00113154,1.75437e-05,-0.0123143,2.2998e-05,0.00305763,2.2998e-05,0.0123143,2.2998e-05,-0.00305763,2.2998e-05,0.00662715,1.3761e-05,-0.00164552,1.3761e-05,0.00662715,1.3761e-05,-0.00164552,1.3761e-05,-0.000294785,4.64251e-07,7.3195e-05,4.64251e-07,0.000113601,1.77676e-07,-2.8207e-05,1.77676e-07,-0.000113601,1.77676e-07,2.8207e-05,1.77676e-07,3.13139,10000000,1
,0.35,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.0047022,1.75437e-05,-0.00137788,1.75437e-05,-0.0127062,2.2998e-05,0.00372331,2.2998e-05,0.0127062,2.2998e-05,-0.00372331,2.2998e-05,0.00683808,1.3761e-05,-0.00200376,1.3761e-05,0.00683808,1.3761e-05,-0.00200376,1.3761e-05,-0.000304168,4.64251e-07,8.91303e-05,4.64251e-07,0.000117217,1.77676e-07,-3.4348e-05,1.77676e-07,-0.000117217,1.77676e-07,3.4348e-05,1.77676e-07,3.11102,10000000,1
,0.4,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00482666,1.75437e-05,-0.00162264,1.75437e-05,-0.0130426,2.2998e-05,0.00438469,2.2998e-05,0.0130426,2.2998e-05,-0.00438469,2.2998e-05,0.00701908,1.3761e-05,-0.0023597,1.3761e-05,0.00701908,1.3761e-05,-0.0023597,1.3761e-05,-0.000312219,4.64251e-07,0.000104963,4.64251e-07,0.000120319,1.77676e-07,-4.04493e-05,1.77676e-07,-0.000120319,1.77676e-07,4.04493e-05,1.77676e-07,3.22542,10000000,1
,0.45,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00492726,1.75437e-05,-0.0018702,1.75437e-05,-0.0133144,2.2998e-05,0.00505364,2.2998e-05,0.0133144,2.2998e-05,-0.00505364,2.2998e-05,0.00716538,1.3761e-05,-0.0027197,1.3761e-05,0.00716538,1.3761e-05,-0.0027197,1.3761e-05,-0.000318727,4.64251e-07,0.000120976,4.64251e-07,0.000122827,1.77676e-07,-4.66204e-05,1.77676e-07,-0.000122827,1.77676e-07,4.66204e-05,1.77676e-07,3.08752,10000000,1
,0.5,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00501851,1.75437e-05,-0.00211995,1.75437e-05,-0.013561,2.2998e-05,0.00572852,2.2998e-05,0.013561,2.2998e-05,-0.00572852,2.2998e-05,0.00729808,1.3761e-05,-0.0030829,1.3761e-05,0.00729808,1.3761e-05,-0.0030829,1.3761e-05,-0.000324629,4.64251e-07,0.000137132,4.64251e-07,0.000125102,1.77676e-07,-5.28463e-05,1.77676e-07,-0.000125102,1.77676e-07,5.28463e-05,1.77676e-07,3.08927,10000000,1
,0.55,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00512209,1.75437e-05,-0.00235307,1.75437e-05,-0.0138409,2.2998e-05,0.00635845,2.2998e-05,0.0138409,2.2998e-05,-0.00635845,2.2998e-05,0.0074487,1.3761e-05,-0.00342191,1.3761e-05,0.0074487,1.3761e-05,-0.00342191,1.3761e-05,-0.00033133,4.64251e-07,0.000152212,4.64251e-07,0.000127684,1.77676e-07,-5.86575e-05,1.77676e-07,-0.000127684,1.77676e-07,5.86575e-05,1.77676e-07,3.34611,10000000,1
,0.6,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.005251,1.75437e-05,-0.00253591,1.75437e-05,-0.0141892,2.2998e-05,0.00685252,2.2998e-05,0.0141892,2.2998e-05,-0.00685252,2.2998e-05,0.00763617,1.3761e-05,-0.0036878,1.3761e-05,0.00763617,1.3761e-05,-0.0036878,1.3761e-05,-0.000339668,4.64251e-07,0.000164039,4.64251e-07,0.000130897,1.77676e-07,-6.32152e-05,1.77676e-07,-0.000130897,1.77676e-07,6.32152e-05,1.77676e-07,3.18297,10000000,1
,0.65,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00540308,1.75437e-05,-0.00263018,1.75437e-05,-0.0146002,2.2998e-05,0.00710727,2.2998e-05,0.0146002,2.2998e-05,-0.00710727,2.2998e-05,0.00785733,1.3761e-05,-0.0038249,1.3761e-05,0.00785733,1.3761e-05,-0.0038249,1.3761e-05,-0.000349506,4.64251e-07,0.000170137,4.64251e-07,0.000134688,1.77676e-07,-6.55654e-05,1.77676e-07,-0.000134688,1.77676e-07,6.55654e-05,1.77676e-07,3.35143,10000000,1
,0.7,0.190923,0.000131186,0.190923,0.000131186,0.130186,0.000111629,0.130186,0.000111629,-0.0170175,1.09821e-05,-0.0170175,1.09821e-05,-0.00189569,1.1049e-06,-0.00189569,1.1049e-06,0.00556738,1.75437e-05,-0.00260323,1.75437e-05,-0.0150441,2.2998e-05,0.00703443,2.2998e-05,0.0150441,2.2998e-05,-0.00703443,2.2998e-05,0.00809626,1.3761e-05,-0.0037857,1.3761e-05,0.00809626,1.3761e-05,-0.0037857,1.3761e-05,-0.000360134,4.64251e-07,0.000168394,4.64251e-07,0.000138784,1.77676e-07,-6.48934e-05,1.77676e-07,-0.000138784,1.77676e-07,6.48934e-05,1.77676e-07,3.00947,10000000,1
