z2,<dsig|1;0>,err[1],<dsig|2;0>,err[2],<ALL|0;0>,err[3],<ALL|1;0>,err[4],<dsig|0;1>,err[5],<dsig|1;-1>,err[6],<dsig|1;1>,err[7],<dsig|2;1>,err[8],<dsig|2;-1>,err[9],<ALL|0;1>,err[10],<ALL|1;-1>,err[11],<ALL|1;1>,err[12],AUzi,err[13],AUcfqzi,err[14],AUc2fqzi,err[15],ALzi,err[16],ALcfqzi,err[17],BUcf12zi,err[18],BUcfqmf12zi,err[19],BUcfqpf12zi,err[20],BUc2fqmf12zi,err[21],BUc2fqpf12zi,err[22],BLcf12zi,err[23],BLcfqmf12zi,err[24],BLcfqpf12zi,err[25],time[s],neval,fail
0.1,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00195045,4.8487e-06,-0.00434191,4.77889e-06,0.00434191,4.77889e-06,0.0106812,5.84459e-06,0.0106812,5.84459e-06,-0.000427261,2.37794e-07,0.000353298,1.55914e-07,-0.000353298,1.55914e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,2.97931,10000000,1
0.15,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00195856,4.86886e-06,-0.00435997,4.79877e-06,0.00435997,4.79877e-06,0.0107257,5.86889e-06,0.0107257,5.86889e-06,-0.000429038,2.38783e-07,0.000354767,1.56562e-07,-0.000354767,1.56562e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,2.99096,10000000,1
0.2,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00203412,5.05668e-06,-0.00452815,4.98388e-06,0.00452815,4.98388e-06,0.0111394,6.09528e-06,0.0111394,6.09528e-06,-0.000445588,2.47994e-07,0.000368452,1.62602e-07,-0.000368452,1.62602e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,2.99923,10000000,1
0.25,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00216566,5.38368e-06,-0.00482098,5.30618e-06,0.00482098,5.30618e-06,0.0118598,6.48945e-06,0.0118598,6.48945e-06,-0.000474404,2.64031e-07,0.000392279,1.73117e-07,-0.000392279,1.73117e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.00246,10000000,1
0.3,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00232278,5.77427e-06,-0.00517074,5.69114e-06,0.00517074,5.69114e-06,0.0127202,6.96027e-06,0.0127202,6.96027e-06,-0.000508822,2.83186e-07,0.000420739,1.85676e-07,-0.000420739,1.85676e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.00539,10000000,1
0.35,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.0024815,6.16885e-06,-0.00552408,6.08004e-06,0.00552408,6.08004e-06,0.0135894,7.43589e-06,0.0135894,7.43589e-06,-0.000543592,3.02538e-07,0.00044949,1.98364e-07,-0.00044949,1.98364e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,2.99384,10000000,1
0.4,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00263158,6.54193e-06,-0.00585817,6.44775e-06,0.00585817,6.44775e-06,0.0144113,7.8856e-06,0.0144113,7.8856e-06,-0.000576467,3.20835e-07,0.000476675,2.10361e-07,-0.000476675,2.10361e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.3606,10000000,1
0.45,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00277382,6.89553e-06,-0.0061748,6.79626e-06,0.0061748,6.79626e-06,0.0151902,8.31182e-06,0.0151902,8.31182e-06,-0.000607626,3.38176e-07,0.000502439,2.21731e-07,-0.000502439,2.21731e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.37975,10000000,1
0.5,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00291221,7.23957e-06,-0.00648289,7.13535e-06,0.00648289,7.13535e-06,0.0159481,8.72653e-06,0.0159481,8.72653e-06,-0.000637943,3.55049e-07,0.000527508,2.32794e-07,-0.000527508,2.32794e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.30289,10000000,1
0.55,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00304575,7.57155e-06,-0.00678016,7.46255e-06,0.00678016,7.46255e-06,0.0166794,9.12669e-06,0.0166794,9.12669e-06,-0.000667196,3.7133e-07,0.000551697,2.43469e-07,-0.000551697,2.43469e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.72396,10000000,1
0.6,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00316487,7.86767e-06,-0.00704533,7.7544e-06,0.00704533,7.7544e-06,0.0173318,9.48363e-06,0.0173318,9.48363e-06,-0.00069329,3.85852e-07,0.000573274,2.52991e-07,-0.000573274,2.52991e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.68397,10000000,1
0.65,0.0950428,7.43738e-05,0.148119,8.95096e-05,-0.0300516,1.72746e-05,-0.00614372,2.71189e-06,-0.00325489,8.09146e-06,-0.00724573,7.97497e-06,0.00724573,7.97497e-06,0.0178247,9.75338e-06,0.0178247,9.75338e-06,-0.000713009,3.96827e-07,0.00058958,2.60187e-07,-0.00058958,2.60187e-07,0.000352665,1.18008e-07,1.67591e-05,1.1855e-08,5.22363e-05,2.62858e-08,-1.05981e-05,4.95356e-09,-1.08334e-06,3.11866e-10,-2.76226e-06,6.8043e-09,-6.14907e-06,6.44758e-09,6.14907e-06,6.44758e-09,1.51269e-05,6.54907e-09,1.51269e-05,6.54907e-09,-6.05093e-07,2.69101e-10,5.00345e-07,1.43961e-10,-5.00345e-07,1.43961e-10,3.78783,10000000,1
