z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0484617,3.40923e-05,-0,-nan,-0.00721928,5.07869e-06,0,-nan,0.174072,0.000122458,-0,-nan,3.62675,3.22789,0.278401,-0.041473,247.352,20000000,0
0.15,0.0481367,3.38302e-05,-0,-nan,-0.00826184,5.80638e-06,0,-nan,0.174074,0.000122338,-0,-nan,1.74467,1.57498,0.276531,-0.0474618,247.316,20000000,0
0.2,0.0486064,3.41406e-05,-0,-nan,-0.0101296,7.11488e-06,0,-nan,0.174069,0.000122264,-0,-nan,0.97784,0.877926,0.279236,-0.0581927,249.981,20000000,0
0.25,0.0497929,3.49559e-05,-0,-nan,-0.0125904,8.8388e-06,0,-nan,0.174069,0.000122201,-0,-nan,0.592957,0.519743,0.286053,-0.0723302,248.682,20000000,0
0.3,0.0512852,3.59839e-05,-0,-nan,-0.0153275,1.07545e-05,0,-nan,0.174069,0.000122134,-0,-nan,0.376567,0.319296,0.294626,-0.0880545,249.437,20000000,0
0.35,0.0527446,3.69909e-05,-0,-nan,-0.0181256,1.27119e-05,0,-nan,0.174069,0.000122078,-0,-nan,0.246268,0.201892,0.30301,-0.104129,248.843,20000000,0
0.4,0.0540214,3.78723e-05,-0,-nan,-0.0209024,1.46538e-05,0,-nan,0.174069,0.000122033,-0,-nan,0.16548,0.131701,0.310345,-0.120081,250.601,20000000,0
0.45,0.0551428,3.86464e-05,-0,-nan,-0.0236538,1.65776e-05,0,-nan,0.174069,0.000121995,-0,-nan,0.114159,0.0885279,0.316787,-0.135888,250.943,20000000,0
0.5,0.0562316,3.93956e-05,-0,-nan,-0.0263374,1.84519e-05,0,-nan,0.174069,0.000121952,-0,-nan,0.0808133,0.0610326,0.323043,-0.151305,250.056,20000000,0
0.55,0.0573978,4.01985e-05,-0,-nan,-0.0287948,2.01664e-05,0,-nan,0.174069,0.000121909,-0,-nan,0.058587,0.0428626,0.329742,-0.165422,249.387,20000000,0
0.6,0.0586757,4.10732e-05,-0,-nan,-0.0307399,2.15181e-05,0,-nan,0.17407,0.00012185,-0,-nan,0.0431724,0.0303378,0.337081,-0.176595,247.727,20000000,0
0.65,0.0599865,4.19644e-05,-0,-nan,-0.0318873,2.23072e-05,0,-nan,0.174071,0.000121774,-0,-nan,0.0319105,0.0213772,0.344609,-0.183185,251.138,20000000,0
0.7,0.0612414,4.28087e-05,-0,-nan,-0.0319687,2.23467e-05,0,-nan,0.174073,0.00012168,-0,-nan,0.0233391,0.0148254,0.351814,-0.183651,252.587,20000000,0
0.75,0.0623372,4.35326e-05,-0,-nan,-0.0308985,2.15777e-05,0,-nan,0.174075,0.000121564,-0,-nan,0.0165489,0.00995835,0.358105,-0.177501,252.071,20000000,0
0.8,0.0632063,4.40887e-05,-0,-nan,-0.0288216,2.01041e-05,0,-nan,0.174079,0.000121426,-0,-nan,0.0110551,0.0063264,0.363091,-0.165567,249.778,20000000,0
